,3TKH_07S,4HYH_1AM,4HYI_1AO,4JIK_1KO,3OT3_22K,2HY0_306,2HXQ_373,2CGU_3A3,2CGW_3C3,2CGX_3D3,4QYE_3DL,4QYG_3DW,4QYH_3DX,5OP5_3FE,4RVM_3X7,4RVK_3XK,4RVL_3XL,2HXL_422,5OQ5_4K4,2XF0_4UB,2YM4_4YM,2QHN_582,3NLB_5BE,5DLS_5CV,5F4N_5UY,2HOG_710,2E9N_76A,2QHM_7CS,5OP2_A0Q,5OP4_A0T,5OPB_A1N,5OPR_A3E,5OPV_A3H,5OPU_A3K,5OPS_A3Q,2E9O_A58,3PA3_C70,3PA4_C72,3PA5_C73,6FC8_D4Q,6FCK_D4Z,6FCF_D58,2C3J_DBQ,2BRO_DF2,2BRH_DFW,2BRG_DFY,2BRM_DFZ,2C3L_IDZ,2R0U_M54,3OT8_MI5,2BR1_PFP,2BRB_PFQ,3TKI_S25,1NVR_STU,2YER_TQ1,1NVS_UCM,1NVQ_UCN,2X8D_X8D,2X8E_X8E,2X8I_X8I,2XEZ_XEZ,2YDJ_YDJ,2YDK_YDK,2YEX_YEX,2YM3_YM3,2YM5_YM5,2YM6_YM6,2YM7_YM7,2YM8_YM8,2WMX_ZY6,2WMR_ZYR,2WMV_ZYV,2WMW_ZYW
3TKH_07S,0.0,0.8363636363636364,0.8484848484848485,0.8613861386138614,0.9320388349514563,0.87,0.89,0.8902439024390244,0.9318181818181819,0.8953488372093024,0.8125,0.7727272727272727,0.8131868131868132,0.7840909090909091,0.8526315789473684,0.851063829787234,0.8777777777777778,0.8867924528301887,0.8363636363636364,0.872093023255814,0.7962962962962963,0.8977272727272727,0.854368932038835,0.8760330578512396,0.8080808080808081,0.8640776699029127,0.87,0.8222222222222222,0.7111111111111111,0.78,0.87,0.7849462365591398,0.88,0.8913043478260869,0.8235294117647058,0.8627450980392157,0.8367346938775511,0.826530612244898,0.84375,0.7959183673469388,0.8556701030927836,0.8020833333333334,0.9111111111111111,0.8681318681318682,0.8372093023255813,0.8791208791208791,0.8735632183908046,0.9024390243902439,0.8640776699029127,0.8899082568807339,0.8924731182795699,0.8604651162790697,0.4025974025974026,0.8909090909090909,0.8478260869565217,0.8977272727272727,0.8928571428571429,0.8795180722891567,0.8636363636363636,0.8426966292134832,0.8863636363636364,0.8020833333333334,0.8152173913043479,0.8804347826086957,0.8247422680412371,0.8144329896907216,0.8131868131868132,0.8586956521739131,0.8484848484848485,0.8043478260869565,0.891566265060241,0.8666666666666667,0.8444444444444444
4HYH_1AM,0.8363636363636364,0.0,0.5185185185185186,0.8252427184466019,0.9056603773584906,0.8217821782178218,0.8529411764705882,0.8588235294117648,0.8888888888888888,0.8777777777777778,0.8390804597701149,0.8125,0.8367346938775511,0.846938775510204,0.8613861386138614,0.8367346938775511,0.8736842105263158,0.8928571428571429,0.7592592592592593,0.9042553191489362,0.8275862068965517,0.9042553191489362,0.8411214953271028,0.7863247863247863,0.8076923076923077,0.8918918918918919,0.8333333333333334,0.8333333333333334,0.7676767676767677,0.8363636363636364,0.8333333333333334,0.8666666666666667,0.8653846153846154,0.851063829787234,0.8478260869565217,0.8380952380952381,0.8461538461538461,0.8252427184466019,0.83,0.8411214953271028,0.8640776699029127,0.8365384615384616,0.8571428571428572,0.9313725490196079,0.9183673469387755,0.9411764705882353,0.9278350515463918,0.9333333333333333,0.8504672897196262,0.8660714285714286,0.8526315789473684,0.9387755102040817,0.8272727272727273,0.8468468468468469,0.8910891089108911,0.9042553191489362,0.8695652173913043,0.8876404494382022,0.8478260869565217,0.8762886597938144,0.9052631578947369,0.8137254901960784,0.8383838383838383,0.8877551020408163,0.8461538461538461,0.8476190476190476,0.8367346938775511,0.8556701030927836,0.8679245283018868,0.8737864077669903,0.8604651162790697,0.9090909090909091,0.8888888888888888
4HYI_1AO,0.8484848484848485,0.5185185185185186,0.0,0.7840909090909091,0.8791208791208791,0.8461538461538461,0.8426966292134832,0.922077922077922,0.8831168831168831,0.8701298701298701,0.84,0.8235294117647058,0.8764044943820225,0.8488372093023255,0.8651685393258427,0.8636363636363636,0.8795180722891567,0.8888888888888888,0.7878787878787878,0.8734177215189873,0.8490566037735849,0.858974358974359,0.8541666666666666,0.8037383177570093,0.8541666666666666,0.8877551020408163,0.8586956521739131,0.8470588235294118,0.8131868131868132,0.8712871287128713,0.8947368421052632,0.8829787234042553,0.8936170212765957,0.8809523809523809,0.891566265060241,0.875,0.8351648351648352,0.8111111111111111,0.8160919540229885,0.8172043010752688,0.8295454545454546,0.8241758241758241,0.8888888888888888,0.8953488372093024,0.8780487804878049,0.9195402298850575,0.8888888888888888,0.8918918918918919,0.8762886597938144,0.846938775510204,0.9204545454545454,0.9024390243902439,0.8383838383838383,0.86,0.8863636363636364,0.8441558441558441,0.8514851485148515,0.8513513513513513,0.891566265060241,0.8690476190476191,0.8888888888888888,0.797752808988764,0.7976190476190477,0.8953488372093024,0.8602150537634409,0.8617021276595744,0.8764044943820225,0.8850574712643678,0.8723404255319149,0.8539325842696629,0.8648648648648649,0.9069767441860466,0.8837209302325582
4JIK_1KO,0.8613861386138614,0.8252427184466019,0.7840909090909091,0.0,0.8295454545454546,0.8351648351648352,0.8695652173913043,0.8947368421052632,0.9259259259259259,0.8421052631578947,0.8266666666666667,0.8255813953488372,0.8651685393258427,0.8636363636363636,0.8409090909090909,0.8651685393258427,0.8809523809523809,0.8556701030927836,0.8365384615384616,0.8311688311688312,0.8173076923076923,0.8888888888888888,0.8315789473684211,0.8482142857142857,0.8191489361702128,0.8541666666666666,0.8222222222222222,0.8352941176470589,0.8762886597938144,0.85,0.8723404255319149,0.8351648351648352,0.90625,0.8953488372093024,0.8928571428571429,0.8021978021978022,0.5138888888888888,0.47887323943661975,0.5555555555555556,0.6125,0.6133333333333333,0.6829268292682926,0.8765432098765432,0.8837209302325582,0.8795180722891567,0.9204545454545454,0.8765432098765432,0.9078947368421053,0.8541666666666666,0.7472527472527473,0.8837209302325582,0.9036144578313253,0.84,0.8942307692307693,0.875,0.8607594936708861,0.875,0.8974358974358975,0.8795180722891567,0.8705882352941177,0.8333333333333334,0.6829268292682926,0.6578947368421053,0.8837209302325582,0.8241758241758241,0.8631578947368421,0.8651685393258427,0.8604651162790697,0.8854166666666666,0.8426966292134832,0.8666666666666667,0.8953488372093024,0.8588235294117648
3OT3_22K,0.9320388349514563,0.9056603773584906,0.8791208791208791,0.8295454545454546,0.0,0.8777777777777778,0.8876404494382022,0.9605263157894737,0.8918918918918919,0.9078947368421053,0.922077922077922,0.8837209302325582,0.8837209302325582,0.8953488372093024,0.8977272727272727,0.9333333333333333,0.927710843373494,0.8958333333333334,0.8627450980392157,0.8961038961038961,0.8761904761904762,0.9375,0.8842105263157894,0.9122807017543859,0.9183673469387755,0.90625,0.8901098901098901,0.8809523809523809,0.9052631578947369,0.9108910891089109,0.925531914893617,0.8522727272727273,0.8888888888888888,0.875,0.9397590361445783,0.9052631578947369,0.8666666666666667,0.8681318681318682,0.9,0.8723404255319149,0.875,0.8681318681318682,0.8974358974358975,0.9294117647058824,0.9523809523809523,0.9411764705882353,0.925,0.9459459459459459,0.9175257731958762,0.6025641025641026,0.9166666666666666,0.9382716049382716,0.9223300970873787,0.9215686274509804,0.9438202247191011,0.9102564102564102,0.912621359223301,0.92,0.9,0.9166666666666666,0.8831168831168831,0.9042553191489362,0.8977272727272727,0.9166666666666666,0.8913043478260869,0.9042553191489362,0.9090909090909091,0.8928571428571429,0.9263157894736842,0.8735632183908046,0.904109589041096,0.9156626506024097,0.8641975308641976
2HY0_306,0.87,0.8217821782178218,0.8461538461538461,0.8351648351648352,0.8777777777777778,0.0,0.4776119402985075,0.8611111111111112,0.9240506329113924,0.8831168831168831,0.8378378378378378,0.7926829268292683,0.8072289156626506,0.8470588235294118,0.6301369863013699,0.8352941176470589,0.8354430379746836,0.6375,0.8217821782178218,0.7777777777777778,0.8584905660377359,0.8717948717948718,0.8404255319148937,0.6907216494845361,0.8877551020408163,0.5205479452054795,0.8695652173913043,0.872093023255814,0.8617021276595744,0.8811881188118812,0.8314606741573034,0.7619047619047619,0.8804347826086957,0.8795180722891567,0.8902439024390244,0.8241758241758241,0.8586956521739131,0.8478260869565217,0.8666666666666667,0.8645833333333334,0.8539325842696629,0.8723404255319149,0.8734177215189873,0.8941176470588236,0.9036144578313253,0.9186046511627907,0.8875,0.8591549295774648,0.7294117647058824,0.8571428571428572,0.8674698795180723,0.9146341463414634,0.8823529411764706,0.9029126213592233,0.8313253012048193,0.8860759493670887,0.9047619047619048,0.8648648648648649,0.8333333333333334,0.825,0.7808219178082192,0.8958333333333334,0.8764044943820225,0.8395061728395061,0.8709677419354839,0.8351648351648352,0.8488372093023255,0.8705882352941177,0.8829787234042553,0.8522727272727273,0.8142857142857143,0.8928571428571429,0.8823529411764706
2HXQ_373,0.89,0.8529411764705882,0.8426966292134832,0.8695652173913043,0.8876404494382022,0.4776119402985075,0.0,0.8888888888888888,0.9078947368421053,0.88,0.88,0.8588235294117648,0.8588235294117648,0.8571428571428572,0.759493670886076,0.872093023255814,0.8461538461538461,0.4714285714285714,0.8181818181818181,0.8974358974358975,0.8446601941747574,0.868421052631579,0.8369565217391304,0.7244897959183674,0.9081632653061225,0.6582278481012658,0.8913043478260869,0.8554216867469879,0.8709677419354839,0.900990099009901,0.8791208791208791,0.8,0.9021739130434783,0.8902439024390244,0.9146341463414634,0.8333333333333334,0.8681318681318682,0.8571428571428572,0.8636363636363636,0.8494623655913979,0.7951807228915663,0.8444444444444444,0.8846153846153846,0.8780487804878049,0.9012345679012346,0.9166666666666666,0.8701298701298701,0.8382352941176471,0.8478260869565217,0.8888888888888888,0.9176470588235294,0.9125,0.8910891089108911,0.8787878787878788,0.8690476190476191,0.8378378378378378,0.8811881188118812,0.8611111111111112,0.9012345679012346,0.8780487804878049,0.9259259259259259,0.8571428571428572,0.8333333333333334,0.8780487804878049,0.8555555555555556,0.8045977011494253,0.8170731707317074,0.8809523809523809,0.9042553191489362,0.8214285714285714,0.8591549295774648,0.8481012658227848,0.8658536585365854
2CGU_3A3,0.8902439024390244,0.8588235294117648,0.922077922077922,0.8947368421052632,0.9605263157894737,0.8611111111111112,0.8888888888888888,0.0,0.9672131147540983,0.8771929824561404,0.8363636363636364,0.8507462686567164,0.9,0.9142857142857143,0.8857142857142857,0.8507462686567164,0.8709677419354839,0.9259259259259259,0.8850574712643678,0.8813559322033898,0.875,0.8813559322033898,0.8987341772151899,0.8333333333333334,0.8701298701298701,0.9113924050632911,0.8611111111111112,0.8805970149253731,0.8513513513513513,0.8902439024390244,0.8767123287671232,0.8767123287671232,0.92,0.9076923076923077,0.8688524590163934,0.8356164383561644,0.8783783783783784,0.8947368421052632,0.8888888888888888,0.8987341772151899,0.8732394366197183,0.88,0.9016393442622951,0.875,0.7894736842105263,0.890625,0.864406779661017,0.9074074074074074,0.868421052631579,0.9411764705882353,0.8387096774193549,0.864406779661017,0.891566265060241,0.9166666666666666,0.8805970149253731,0.9180327868852459,0.9186046511627907,0.8928571428571429,0.9047619047619048,0.8923076923076922,0.9016393442622951,0.8947368421052632,0.8695652173913043,0.9090909090909091,0.8933333333333333,0.8947368421052632,0.9305555555555556,0.8787878787878788,0.9078947368421053,0.9027777777777778,0.9107142857142857,0.9242424242424242,0.9420289855072463
2CGW_3C3,0.9318181818181819,0.8888888888888888,0.8831168831168831,0.9259259259259259,0.8918918918918919,0.9240506329113924,0.9078947368421053,0.9672131147540983,0.0,0.864406779661017,0.9365079365079365,0.9189189189189189,0.9189189189189189,0.9178082191780822,0.9342105263157895,0.9333333333333333,0.9571428571428572,0.9156626506024097,0.9010989010989011,0.9384615384615385,0.8913043478260869,0.8688524590163934,0.875,0.8979591836734694,0.9285714285714286,0.9146341463414634,0.9240506329113924,0.9166666666666666,0.9,0.9069767441860466,0.9240506329113924,0.8666666666666667,0.8648648648648649,0.8615384615384616,0.9411764705882353,0.9135802469135803,0.9382716049382716,0.9390243902439024,0.922077922077922,0.9411764705882353,0.9493670886075949,0.9390243902439024,0.9230769230769231,0.9285714285714286,0.9411764705882353,0.927536231884058,0.9230769230769231,0.9310344827586207,0.9404761904761905,0.9058823529411765,0.9130434782608696,0.9393939393939394,0.8953488372093024,0.9195402298850575,0.9166666666666666,0.9384615384615385,0.9333333333333333,0.8983050847457628,0.9090909090909091,0.9130434782608696,0.9393939393939394,0.9259259259259259,0.92,0.9130434782608696,0.868421052631579,0.9125,0.904109589041096,0.9452054794520548,0.8533333333333333,0.9066666666666666,0.9333333333333333,0.8955223880597015,0.8985507246376812
2CGX_3D3,0.8953488372093024,0.8777777777777778,0.8701298701298701,0.8421052631578947,0.9078947368421053,0.8831168831168831,0.88,0.8771929824561404,0.864406779661017,0.0,0.8852459016393442,0.8428571428571429,0.8904109589041096,0.8571428571428572,0.8918918918918919,0.8591549295774648,0.8955223880597015,0.8765432098765432,0.8777777777777778,0.8888888888888888,0.8681318681318682,0.8709677419354839,0.8481012658227848,0.8526315789473684,0.8902439024390244,0.8888888888888888,0.8831168831168831,0.8714285714285714,0.8441558441558441,0.8690476190476191,0.8974358974358975,0.868421052631579,0.9240506329113924,0.8970588235294118,0.9104477611940298,0.8875,0.84,0.8421052631578947,0.8493150684931507,0.8481012658227848,0.8333333333333334,0.8421052631578947,0.873015873015873,0.8307692307692307,0.8225806451612903,0.8636363636363636,0.8166666666666667,0.8947368421052632,0.9024390243902439,0.9318181818181819,0.8484848484848485,0.8548387096774194,0.8837209302325582,0.9325842696629214,0.8714285714285714,0.9230769230769231,0.9222222222222223,0.8620689655172413,0.8769230769230769,0.8656716417910448,0.890625,0.8717948717948718,0.8450704225352113,0.8823529411764706,0.84,0.8571428571428572,0.8260869565217391,0.8857142857142857,0.8987341772151899,0.8783783783783784,0.8983050847457628,0.7903225806451613,0.8507462686567164
