,4KP5_E1F,4KP8_E1G,6R6Y_EA3,6G5L_EM5,6G7A_EOQ,6R71_JTW,5MSB_V13,4Q0L_V14,4QJO_V1F,4WW8_VD9,4QJW_WWO,4QJ0_WWX
4KP5_E1F,0.0,0.34782608695652173,0.7205882352941176,0.7121212121212122,0.6875,0.6612903225806452,0.8363636363636364,0.855072463768116,0.8181818181818181,0.7777777777777778,0.803030303030303,0.8169014084507042
4KP8_E1G,0.34782608695652173,0.0,0.8142857142857143,0.8088235294117647,0.7878787878787878,0.746031746031746,0.8235294117647058,0.8461538461538461,0.8253968253968254,0.7083333333333333,0.8095238095238095,0.8059701492537313
6R6Y_EA3,0.7205882352941176,0.8142857142857143,0.0,0.32727272727272727,0.4833333333333333,0.4482758620689655,0.8166666666666667,0.7164179104477613,0.8513513513513513,0.8412698412698413,0.8055555555555556,0.8181818181818181
6G5L_EM5,0.7121212121212122,0.8088235294117647,0.32727272727272727,0.0,0.4107142857142857,0.45614035087719296,0.8103448275862069,0.6229508196721312,0.8472222222222222,0.8548387096774194,0.8,0.8289473684210527
6G7A_EOQ,0.6875,0.7878787878787878,0.4833333333333333,0.4107142857142857,0.0,0.32692307692307687,0.7857142857142857,0.7971014492753623,0.6774193548387097,0.8333333333333334,0.6166666666666667,0.7428571428571429
6R71_JTW,0.6612903225806452,0.746031746031746,0.4482758620689655,0.45614035087719296,0.32692307692307687,0.0,0.8035714285714286,0.8115942028985508,0.7727272727272727,0.8103448275862069,0.71875,0.7571428571428571
5MSB_V13,0.8363636363636364,0.8235294117647058,0.8166666666666667,0.8103448275862069,0.7857142857142857,0.8035714285714286,0.0,0.42500000000000004,0.5909090909090908,0.8095238095238095,0.42500000000000004,0.48888888888888893
4Q0L_V14,0.855072463768116,0.8461538461538461,0.7164179104477613,0.6229508196721312,0.7971014492753623,0.8115942028985508,0.42500000000000004,0.0,0.6,0.8596491228070176,0.47058823529411764,0.5178571428571428
4QJO_V1F,0.8181818181818181,0.8253968253968254,0.8513513513513513,0.8472222222222222,0.6774193548387097,0.7727272727272727,0.5909090909090908,0.6,0.0,0.8148148148148149,0.2093023255813954,0.509090909090909
4WW8_VD9,0.7777777777777778,0.7083333333333333,0.8412698412698413,0.8548387096774194,0.8333333333333334,0.8103448275862069,0.8095238095238095,0.8596491228070176,0.8148148148148149,0.0,0.8181818181818181,0.8135593220338984
4QJW_WWO,0.803030303030303,0.8095238095238095,0.8055555555555556,0.8,0.6166666666666667,0.71875,0.42500000000000004,0.47058823529411764,0.2093023255813954,0.8181818181818181,0.0,0.37254901960784315
4QJ0_WWX,0.8169014084507042,0.8059701492537313,0.8181818181818181,0.8289473684210527,0.7428571428571429,0.7571428571428571,0.48888888888888893,0.5178571428571428,0.509090909090909,0.8135593220338984,0.37254901960784315,0.0
