,4KAK_06U,4KEB_1QZ,4KFJ_1R0,4KBN_25U,3NU0_3TU,3NTZ_3TZ,3GYF_51P,6A7C_9QO,6A7E_9QR,3NXO_D2B,3FS6_DH1,1DRF_FOL,3GHC_GHC,3GHW_GHW,4QJC_IXE,4DDR_MMV,1HFQ_MOT,3EIG_MTX,1DLR_MXA,4G95_OAG,1BOZ_PRD,3S3V_TOP
4KAK_06U,0.0,0.28125,0.5138888888888888,0.6176470588235294,0.8990825688073394,0.912621359223301,0.7948717948717949,0.6714285714285715,0.6911764705882353,0.7721518987341772,0.7901234567901234,0.9072164948453608,0.8556701030927836,0.8877551020408163,0.8243243243243243,0.7564102564102564,0.8369565217391304,0.8369565217391304,0.7466666666666666,0.8333333333333334,0.736842105263158,0.782608695652174
4KEB_1QZ,0.28125,0.0,0.27941176470588236,0.6133333333333333,0.8695652173913043,0.8909090909090909,0.8045977011494253,0.6447368421052632,0.7142857142857143,0.7840909090909091,0.8,0.8952380952380953,0.8691588785046729,0.8981481481481481,0.8024691358024691,0.7558139534883721,0.8529411764705882,0.83,0.7619047619047619,0.8255813953488372,0.7228915662650602,0.7792207792207793
4KFJ_1R0,0.5138888888888888,0.27941176470588236,0.0,0.4696969696969697,0.8761061946902655,0.8981481481481481,0.8117647058823529,0.6301369863013699,0.7027027027027026,0.8181818181818181,0.7931034482758621,0.9029126213592233,0.8761904761904762,0.9056603773584906,0.7948717948717949,0.7469879518072289,0.8712871287128713,0.8484848484848485,0.7530864197530864,0.8048780487804879,0.7283950617283951,0.7361111111111112
4KBN_25U,0.6176470588235294,0.6133333333333333,0.4696969696969697,0.0,0.8712871287128713,0.8723404255319149,0.8266666666666667,0.640625,0.703125,0.8333333333333334,0.8051948051948052,0.8888888888888888,0.8586956521739131,0.8804347826086957,0.791044776119403,0.7361111111111112,0.8390804597701149,0.8255813953488372,0.7777777777777778,0.7857142857142857,0.7671232876712328,0.7619047619047619
3NU0_3TU,0.8990825688073394,0.8695652173913043,0.8761061946902655,0.8712871287128713,0.0,0.35,0.9038461538461539,0.8811881188118812,0.898989898989899,0.8857142857142857,0.8080808080808081,0.6451612903225806,0.6354166666666667,0.6276595744680851,0.8736842105263158,0.8061224489795918,0.7788461538461539,0.7788461538461539,0.8712871287128713,0.84375,0.8737864077669903,0.8817204301075269
3NTZ_3TZ,0.912621359223301,0.8909090909090909,0.8981481481481481,0.8723404255319149,0.35,0.0,0.8958333333333334,0.8829787234042553,0.9139784946236559,0.8762886597938144,0.8043478260869565,0.42666666666666664,0.42307692307692313,0.4078947368421053,0.8876404494382022,0.8021978021978022,0.6162790697674418,0.6162790697674418,0.8602150537634409,0.8426966292134832,0.875,0.8837209302325582
3GYF_51P,0.7948717948717949,0.8045977011494253,0.8117647058823529,0.8266666666666667,0.9038461538461539,0.8958333333333334,0.0,0.8082191780821918,0.8142857142857143,0.25,0.7733333333333333,0.9010989010989011,0.8829787234042553,0.8924731182795699,0.8260869565217391,0.7534246575342466,0.7215189873417722,0.8390804597701149,0.7246376811594203,0.8513513513513513,0.7671232876712328,0.7419354838709677
6A7C_9QO,0.6714285714285715,0.6447368421052632,0.6301369863013699,0.640625,0.8811881188118812,0.8829787234042553,0.8082191780821918,0.0,0.25531914893617025,0.8157894736842105,0.7183098591549295,0.875,0.8695652173913043,0.8913043478260869,0.6885245901639344,0.5245901639344263,0.8372093023255813,0.8095238095238095,0.7391304347826086,0.7462686567164178,0.6911764705882353,0.7580645161290323
6A7E_9QR,0.6911764705882353,0.7142857142857143,0.7027027027027026,0.703125,0.898989898989899,0.9139784946236559,0.8142857142857143,0.25531914893617025,0.0,0.821917808219178,0.7205882352941176,0.8823529411764706,0.8764044943820225,0.898876404494382,0.7333333333333334,0.5172413793103448,0.8433734939759037,0.8292682926829268,0.7424242424242424,0.7692307692307692,0.7121212121212122,0.7627118644067796
3NXO_D2B,0.7721518987341772,0.7840909090909091,0.8181818181818181,0.8333333333333334,0.8857142857142857,0.8762886597938144,0.25,0.8157894736842105,0.821917808219178,0.0,0.7662337662337663,0.8924731182795699,0.875,0.8842105263157894,0.8333333333333334,0.7466666666666666,0.7,0.8314606741573034,0.7183098591549295,0.8571428571428572,0.76,0.734375
