,1D9I_00P,1D6W_00R,3QX5_02P,1ZRB_062,3QTV_06P,3TU7_0BM,3QTO_10P,1GHV_120,1GHY_121,1T4V_14A,4HFP_15U,1NZQ_162,1O0D_163,1SB1_165,1SL3_170,1TA2_176,1TA6_177,2ZFP_19U,3UTU_1TS,2ZGB_21U,2ZC9_22U,3DHK_23U,2ZI2_24U,2ZHQ_27U,2ZGX_29U,6EO8_2FN,6EO9_2OJ,2ZNK_31U,2ZO3_33U,2CF9_348,2FEQ_34P,1ZGI_382,2FES_3SP,3DA9_44U,4YES_45S,3DUX_64U,1O2G_696,4LOY_6XS,2JH0_701,4LXB_7R9,2JH6_894,2JH5_895,3F68_91U,3QWC_98P,3P17_99P,3SHC_B01,3SI3_B03,3SI4_B04,1C1V_BAB,4UEH_BEN,1JWT_BLI,1GHW_BMZ,1KTT_C02,2C90_C1M,1KTS_C24,2C8Y_C3M,2C93_C4M,2C8X_C5M,2C8W_C7M,1MU6_CDA,1MU8_CDB,1MUE_CDD,2ANM_CDO,1O5G_CR9,2CF8_ESH,1C5N_ESI,6GBW_EU5,2CN0_F25,4UD9_FQI,1OYT_FSN,2PKS_G44,2R2M_I50,1K21_IGN,1C4U_IH1,1C4V_IH2,6T4A_J5K,1WAY_L02,1WBG_L03,1Z71_L17,1NM6_L86,6TDT_LXW,3EGK_M18,4BAQ_M4Z,4BAK_M67,6T3Q_M6Q,4BAN_M6S,1K22_MEL,1TOM_MIN,3PO1_MKY,4BAM_MM9,4UE7_MRZ,4BAO_MVF,2ANK_N12,4AX9_N5N,4UDW_N6L,2A2X_NA9,6GWE_ODB,1RIW_OSC,3SV2_P05,3SHA_P97,1BCU_PRL,1A4W_QWE,1G32_R11,1BHX_R56,1YPM_RA4,1YPL_RA8,1VZQ_SHY,5AF9_SJR,3C1K_T15,1NT1_T76,1G30_T87,5AFZ_UET,1YPJ_UIB,1YPE_UIP,1YPG_UIR,2BDY_UNB
1D9I_00P,0.0,0.4177215189873418,0.7872340425531915,0.8173076923076923,0.7727272727272727,0.7065217391304348,0.7613636363636364,0.8977272727272727,0.9090909090909091,0.8541666666666666,0.8165137614678899,0.7878787878787878,0.7835051546391752,0.8,0.8717948717948718,0.7934782608695652,0.8333333333333334,0.8111111111111111,0.8135593220338984,0.8152173913043479,0.7727272727272727,0.7912087912087912,0.797752808988764,0.7640449438202247,0.8021978021978022,0.85,0.8292682926829268,0.8064516129032258,0.7717391304347826,0.8557692307692308,0.8173076923076923,0.8818181818181818,0.8118811881188119,0.7738095238095238,0.84375,0.8043478260869565,0.872093023255814,0.8468468468468469,0.8383838383838383,0.8189655172413793,0.8367346938775511,0.86,0.8,0.7741935483870968,0.7727272727272727,0.7849462365591398,0.7727272727272727,0.7777777777777778,0.9111111111111111,0.8484848484848485,0.7065217391304348,0.8928571428571429,0.8021978021978022,0.9473684210526316,0.8504672897196262,0.8048780487804879,0.8314606741573034,0.8571428571428572,0.8532110091743119,0.826530612244898,0.8431372549019608,0.8557692307692308,0.7373737373737373,0.883495145631068,0.8627450980392157,0.8974358974358975,0.8,0.8775510204081632,0.8676470588235294,0.8586956521739131,0.8723404255319149,0.8282828282828283,0.8260869565217391,0.2753623188405797,0.5731707317073171,0.7777777777777778,0.927710843373494,0.962962962962963,0.8878504672897196,0.875,0.7840909090909091,0.8247422680412371,0.8217821782178218,0.8252427184466019,0.7666666666666666,0.8200000000000001,0.8064516129032258,0.65,0.8695652173913043,0.8217821782178218,0.9295774647887324,0.8125,0.8365384615384616,0.7352941176470589,0.7802197802197802,0.8380952380952381,0.8376068376068376,0.794392523364486,0.7674418604651163,0.7849462365591398,0.9285714285714286,0.859504132231405,0.8627450980392157,0.7303370786516854,0.839622641509434,0.7777777777777778,0.8627450980392157,0.8607594936708861,0.8118811881188119,0.9056603773584906,0.8547008547008547,0.8222222222222222,0.8712871287128713,0.875,0.8737864077669903,0.8282828282828283
1D6W_00R,0.4177215189873418,0.0,0.8207547169811321,0.8448275862068966,0.81,0.8073394495412844,0.8,0.875,0.8854166666666666,0.8584905660377359,0.8135593220338984,0.8090909090909091,0.8055555555555556,0.7982456140350878,0.8650793650793651,0.8269230769230769,0.8495575221238938,0.8431372549019608,0.8560606060606061,0.8461538461538461,0.81,0.8252427184466019,0.854368932038835,0.8252427184466019,0.8461538461538461,0.8449612403100775,0.8345864661654135,0.8490566037735849,0.819047619047619,0.8596491228070176,0.8347826086956522,0.8739495798319328,0.8303571428571428,0.8125,0.8490566037735849,0.8476190476190476,0.851063829787234,0.860655737704918,0.8333333333333334,0.8160000000000001,0.8317757009345794,0.8532110091743119,0.8425925925925926,0.8095238095238095,0.7857142857142857,0.7843137254901961,0.7857142857142857,0.8137254901960784,0.8877551020408163,0.8846153846153846,0.8073394495412844,0.8817204301075269,0.8118811881188119,0.9418604651162791,0.864406779661017,0.8279569892473118,0.8613861386138614,0.8715596330275229,0.847457627118644,0.822429906542056,0.8378378378378378,0.8495575221238938,0.7522935779816513,0.8849557522123894,0.8558558558558559,0.9101123595505618,0.8083333333333333,0.8476190476190476,0.8860759493670887,0.8514851485148515,0.8640776699029127,0.8660714285714286,0.8446601941747574,0.5057471264367817,0.72,0.7653061224489796,0.8764044943820225,0.9204545454545454,0.8983050847457628,0.8363636363636364,0.8080808080808081,0.8738738738738738,0.8495575221238938,0.8521739130434782,0.7676767676767677,0.8482142857142857,0.8155339805825242,0.8217821782178218,0.8942307692307693,0.8495575221238938,0.9390243902439024,0.8425925925925926,0.831858407079646,0.8034188034188035,0.8155339805825242,0.8333333333333334,0.8515625,0.8235294117647058,0.7938144329896908,0.7961165048543689,0.925,0.8538461538461538,0.8761061946902655,0.76,0.864406779661017,0.8,0.8660714285714286,0.8651685393258427,0.8198198198198199,0.8956521739130435,0.8582677165354331,0.8415841584158416,0.8532110091743119,0.8571428571428572,0.8558558558558559,0.8660714285714286
3QX5_02P,0.7872340425531915,0.8207547169811321,0.0,0.6022727272727273,0.2857142857142857,0.5833333333333333,0.296875,0.872093023255814,0.8837209302325582,0.8172043010752688,0.7830188679245282,0.75,0.7708333333333334,0.6595744680851063,0.8108108108108107,0.4794520547945206,0.5662650602409638,0.3787878787878788,0.6666666666666667,0.3970588235294118,0.25806451612903225,0.4285714285714286,0.6282051282051282,0.5897435897435898,0.527027027027027,0.8205128205128205,0.819672131147541,0.5394736842105263,0.5512820512820513,0.7857142857142857,0.6630434782608696,0.8715596330275229,0.6666666666666667,0.5492957746478873,0.5949367088607596,0.4285714285714286,0.8452380952380952,0.8256880733944953,0.8144329896907216,0.808695652173913,0.8,0.8247422680412371,0.5,0.29850746268656714,0.3880597014925373,0.31343283582089554,0.3880597014925373,0.19672131147540983,0.8735632183908046,0.8823529411764706,0.7340425531914894,0.8658536585365854,0.8021978021978022,0.904109589041096,0.8285714285714285,0.7435897435897436,0.7619047619047619,0.7415730337078652,0.7623762376237624,0.8383838383838383,0.8431372549019608,0.8217821782178218,0.7623762376237624,0.8725490196078431,0.7659574468085106,0.9113924050632911,0.5806451612903225,0.8043478260869565,0.8676470588235294,0.7931034482758621,0.8351648351648352,0.8163265306122449,0.7142857142857143,0.8217821782178218,0.7938144329896908,0.4057971014492754,0.858974358974359,0.9090909090909091,0.797979797979798,0.8061224489795918,0.5342465753424658,0.6744186046511628,0.6777777777777778,0.6847826086956521,0.3913043478260869,0.6741573033707865,0.6463414634146342,0.5205479452054795,0.8571428571428572,0.6777777777777778,0.9142857142857143,0.6744186046511628,0.8252427184466019,0.7714285714285715,0.29230769230769227,0.8155339805825242,0.8376068376068376,0.71,0.36923076923076925,0.3857142857142857,0.8970588235294118,0.8103448275862069,0.8282828282828283,0.7582417582417582,0.6914893617021276,0.625,0.8627450980392157,0.8461538461538461,0.8235294117647058,0.84,0.8347826086956522,0.7674418604651163,0.8484848484848485,0.8061224489795918,0.8041237113402062,0.8282828282828283
1ZRB_062,0.8173076923076923,0.8448275862068966,0.6022727272727273,0.0,0.6395348837209303,0.7070707070707071,0.6436781609195402,0.8958333333333334,0.9175257731958762,0.81,0.8403361344537815,0.8165137614678899,0.8348623853211009,0.75,0.7739130434782608,0.5542168674698795,0.6086956521739131,0.6190476190476191,0.7372881355932204,0.627906976744186,0.6071428571428572,0.6162790697674418,0.7111111111111111,0.6923076923076923,0.7173913043478262,0.8240000000000001,0.8046875,0.7234042553191489,0.7021276595744681,0.8468468468468469,0.7547169811320755,0.8813559322033898,0.7352941176470589,0.6976744186046512,0.5,0.6162790697674418,0.8602150537634409,0.8583333333333334,0.8301886792452831,0.8412698412698413,0.8173076923076923,0.839622641509434,0.6483516483516483,0.6022727272727273,0.6704545454545454,0.6136363636363636,0.6704545454545454,0.6629213483146068,0.8969072164948454,0.9102564102564102,0.7692307692307692,0.8791208791208791,0.854368932038835,0.9012345679012346,0.8620689655172413,0.8617021276595744,0.8811881188118812,0.8476190476190476,0.8245614035087719,0.8411214953271028,0.8859649122807017,0.7924528301886793,0.8141592920353982,0.8518518518518519,0.8095238095238095,0.9204545454545454,0.5612244897959184,0.8446601941747574,0.8831168831168831,0.8247422680412371,0.883495145631068,0.8532110091743119,0.78125,0.8256880733944953,0.8333333333333334,0.6777777777777778,0.8470588235294118,0.9058823529411765,0.8148148148148149,0.8648648648648649,0.6818181818181819,0.71875,0.7692307692307692,0.7735849056603774,0.6813186813186813,0.7669902912621359,0.75,0.7,0.892156862745098,0.7572815533980582,0.9102564102564102,0.7575757575757576,0.8392857142857143,0.7787610619469026,0.5542168674698795,0.8508771929824561,0.84,0.8205128205128205,0.6781609195402298,0.6444444444444444,0.9367088607594937,0.8333333333333334,0.8839285714285714,0.7920792079207921,0.7663551401869159,0.7378640776699029,0.8738738738738738,0.9,0.868421052631579,0.8095238095238095,0.856,0.8613861386138614,0.8504672897196262,0.822429906542056,0.8207547169811321,0.8636363636363636
3QTV_06P,0.7727272727272727,0.81,0.2857142857142857,0.6395348837209303,0.0,0.5512820512820513,0.1607142857142857,0.8902439024390244,0.8888888888888888,0.8571428571428572,0.77,0.7333333333333334,0.7555555555555555,0.6363636363636364,0.8545454545454545,0.5211267605633803,0.6049382716049383,0.421875,0.6599999999999999,0.43939393939393945,0.30000000000000004,0.47058823529411764,0.5571428571428572,0.5142857142857142,0.43939393939393945,0.8421052631578947,0.8403361344537815,0.4558823529411765,0.4714285714285714,0.7849462365591398,0.6395348837209303,0.8640776699029127,0.6428571428571428,0.5076923076923077,0.6363636363636364,0.47058823529411764,0.8481012658227848,0.8490566037735849,0.8279569892473118,0.8198198198198199,0.8,0.8387096774193549,0.5405405405405406,0.2295081967213115,0.30000000000000004,0.3787878787878788,0.3278688524590164,0.23728813559322037,0.8780487804878049,0.8709677419354839,0.7159090909090908,0.8701298701298701,0.8023255813953488,0.927536231884058,0.83,0.7567567567567568,0.775,0.8089887640449438,0.797979797979798,0.8279569892473118,0.845360824742268,0.8350515463917526,0.7340425531914894,0.8645833333333334,0.7777777777777778,0.9189189189189189,0.6153846153846154,0.8045977011494253,0.890625,0.7926829268292683,0.8235294117647058,0.8421052631578947,0.6923076923076923,0.8229166666666666,0.7666666666666666,0.32258064516129037,0.8933333333333333,0.9315068493150684,0.8585858585858586,0.8191489361702128,0.4461538461538461,0.7294117647058824,0.6219512195121951,0.6309523809523809,0.33333333333333337,0.617283950617284,0.5810810810810811,0.4776119402985075,0.8604651162790697,0.6219512195121951,0.90625,0.6153846153846154,0.8020833333333334,0.7575757575757576,0.33333333333333337,0.7916666666666666,0.8181818181818181,0.7052631578947368,0.24561403508771928,0.3787878787878788,0.921875,0.7889908256880733,0.8421052631578947,0.7411764705882353,0.6704545454545454,0.5975609756097561,0.865979381443299,0.8333333333333334,0.8125,0.8775510204081632,0.8468468468468469,0.7012987012987013,0.851063829787234,0.8064516129032258,0.7912087912087912,0.7912087912087912
3TU7_0BM,0.7065217391304348,0.8073394495412844,0.5833333333333333,0.7070707070707071,0.5512820512820513,0.0,0.5384615384615384,0.9148936170212766,0.9139784946236559,0.8144329896907216,0.6599999999999999,0.711340206185567,0.71875,0.6210526315789473,0.8861788617886179,0.6511627906976745,0.6808510638297872,0.6,0.6057692307692308,0.6097560975609756,0.5696202531645569,0.6144578313253012,0.5641025641025641,0.5443037974683544,0.5384615384615384,0.856,0.8538461538461538,0.55,0.5432098765432098,0.7474747474747474,0.6086956521739131,0.8468468468468469,0.5632183908045977,0.5789473684210527,0.7252747252747253,0.6309523809523809,0.8539325842696629,0.7798165137614679,0.8,0.7321428571428572,0.797979797979798,0.8217821782178218,0.6162790697674418,0.5662650602409638,0.5696202531645569,0.5952380952380952,0.5696202531645569,0.5625,0.9042553191489362,0.791044776119403,0.5909090909090908,0.898876404494382,0.8,0.9240506329113924,0.8363636363636364,0.788235294117647,0.7752808988764045,0.8061224489795918,0.8181818181818181,0.8571428571428572,0.8715596330275229,0.8828828828828829,0.7,0.8679245283018868,0.7525773195876289,0.9036144578313253,0.5578947368421052,0.8383838383838383,0.8611111111111112,0.8172043010752688,0.8064516129032258,0.7777777777777778,0.6385542168674698,0.7474747474747474,0.6739130434782609,0.5802469135802469,0.9318181818181819,0.9404761904761905,0.8928571428571429,0.8269230769230769,0.617283950617284,0.7473684210526316,0.6373626373626373,0.6451612903225806,0.5853658536585367,0.6483516483516483,0.6818181818181819,0.3857142857142857,0.8021978021978022,0.6521739130434783,0.7538461538461538,0.6477272727272727,0.7647058823529411,0.5894736842105264,0.5853658536585367,0.7425742574257426,0.7844827586206897,0.6599999999999999,0.5584415584415585,0.5952380952380952,0.9473684210526316,0.7345132743362832,0.8137254901960784,0.7173913043478262,0.6086956521739131,0.46341463414634143,0.8137254901960784,0.8690476190476191,0.8095238095238095,0.8899082568807339,0.811965811965812,0.7093023255813953,0.8333333333333334,0.7920792079207921,0.801980198019802,0.7777777777777778
3QTO_10P,0.7613636363636364,0.8,0.296875,0.6436781609195402,0.1607142857142857,0.5384615384615384,0.0,0.891566265060241,0.8902439024390244,0.8586956521739131,0.7474747474747474,0.7362637362637363,0.7582417582417582,0.6404494382022472,0.8660714285714286,0.547945205479452,0.6265060240963856,0.4307692307692308,0.6633663366336633,0.4477611940298507,0.3114754098360656,0.4782608695652174,0.5833333333333333,0.5416666666666667,0.47058823529411764,0.8434782608695652,0.8319327731092436,0.48571428571428577,0.5,0.7872340425531915,0.6436781609195402,0.8761904761904762,0.6470588235294117,0.5151515151515151,0.6582278481012658,0.4782608695652174,0.85,0.839622641509434,0.8172043010752688,0.8108108108108107,0.8021978021978022,0.8279569892473118,0.5466666666666666,0.21311475409836067,0.3114754098360656,0.3880597014925373,0.33870967741935487,0.25,0.8795180722891567,0.873015873015873,0.7045454545454546,0.8717948717948718,0.7906976744186046,0.9436619718309859,0.8316831683168316,0.7432432432432432,0.7625,0.797752808988764,0.8118811881188119,0.8541666666666666,0.8585858585858586,0.8484848484848485,0.736842105263158,0.8775510204081632,0.7934782608695652,0.92,0.6195652173913043,0.8068181818181819,0.8923076923076922,0.7951807228915663,0.8390804597701149,0.84375,0.6962025316455696,0.8125,0.7692307692307692,0.33333333333333337,0.9090909090909091,0.9466666666666667,0.86,0.8085106382978724,0.4776119402985075,0.7325581395348837,0.6428571428571428,0.6511627906976745,0.34375,0.6385542168674698,0.6052631578947368,0.4852941176470589,0.8620689655172413,0.6428571428571428,0.9076923076923077,0.6375,0.8041237113402062,0.7474747474747474,0.36923076923076925,0.7938144329896908,0.8198198198198199,0.7083333333333333,0.288135593220339,0.3880597014925373,0.9230769230769231,0.7798165137614679,0.84375,0.7294117647058824,0.6741573033707865,0.5853658536585367,0.8673469387755102,0.8356164383561644,0.8020833333333334,0.89,0.8482142857142857,0.7051282051282051,0.8526315789473684,0.8085106382978724,0.8064516129032258,0.7934782608695652
1GHV_120,0.8977272727272727,0.875,0.872093023255814,0.8958333333333334,0.8902439024390244,0.9148936170212766,0.891566265060241,0.0,0.4509803921568627,0.8928571428571429,0.912621359223301,0.9042553191489362,0.9139784946236559,0.8877551020408163,0.8942307692307693,0.9069767441860466,0.9263157894736842,0.8888888888888888,0.911504424778761,0.891566265060241,0.8902439024390244,0.9058823529411765,0.8888888888888888,0.8795180722891567,0.8780487804878049,0.9196428571428571,0.923728813559322,0.8809523809523809,0.8837209302325582,0.8791208791208791,0.9183673469387755,0.9183673469387755,0.9270833333333334,0.9113924050632911,0.8941176470588236,0.8928571428571429,0.6206896551724138,0.9223300970873787,0.9230769230769231,0.9285714285714286,0.9222222222222223,0.9101123595505618,0.9222222222222223,0.8977272727272727,0.8902439024390244,0.8837209302325582,0.8902439024390244,0.8928571428571429,0.6271186440677966,0.8431372549019608,0.8913043478260869,0.3111111111111111,0.8205128205128205,0.8947368421052632,0.8351648351648352,0.8591549295774648,0.8846153846153846,0.9204545454545454,0.8865979381443299,0.8863636363636364,0.9139784946236559,0.9148936170212766,0.92,0.6756756756756757,0.8876404494382022,0.7894736842105263,0.9150943396226415,0.9186046511627907,0.8679245283018868,0.8108108108108107,0.8441558441558441,0.9120879120879121,0.9540229885057472,0.9148936170212766,0.9010989010989011,0.8928571428571429,0.8923076923076922,0.864406779661017,0.9263157894736842,0.9130434782608696,0.9024390243902439,0.8977272727272727,0.9032258064516129,0.9052631578947369,0.8809523809523809,0.9021739130434783,0.8941176470588236,0.8902439024390244,0.8987341772151899,0.9032258064516129,0.9464285714285714,0.8977272727272727,0.9166666666666666,0.9019607843137255,0.8941176470588236,0.90625,0.908256880733945,0.912621359223301,0.8875,0.896551724137931,0.84,0.9,0.8488372093023255,0.896551724137931,0.8958333333333334,0.9166666666666666,0.875,0.8412698412698413,0.9042553191489362,0.9120879120879121,0.8640776699029127,0.8734177215189873,0.872093023255814,0.8764044943820225,0.8620689655172413,0.8620689655172413
1GHY_121,0.9090909090909091,0.8854166666666666,0.8837209302325582,0.9175257731958762,0.8888888888888888,0.9139784946236559,0.8902439024390244,0.4509803921568627,0.0,0.891566265060241,0.900990099009901,0.9032258064516129,0.9130434782608696,0.8865979381443299,0.8932038834951457,0.9058823529411765,0.9139784946236559,0.8734177215189873,0.9107142857142857,0.8765432098765432,0.875,0.891566265060241,0.8875,0.8780487804878049,0.8765432098765432,0.9189189189189189,0.9137931034482758,0.8795180722891567,0.8823529411764706,0.8901098901098901,0.9175257731958762,0.8947368421052632,0.9263157894736842,0.9102564102564102,0.8928571428571429,0.8780487804878049,0.6610169491525424,0.9320388349514563,0.9456521739130435,0.9375,0.945054945054945,0.945054945054945,0.9090909090909091,0.896551724137931,0.8607594936708861,0.8554216867469879,0.8461538461538461,0.891566265060241,0.5964912280701755,0.84,0.9021739130434783,0.33333333333333337,0.8181818181818181,0.8928571428571429,0.7931034482758621,0.8571428571428572,0.8831168831168831,0.9069767441860466,0.8854166666666666,0.8588235294117648,0.9010989010989011,0.9139784946236559,0.9081632653061225,0.7236842105263157,0.898876404494382,0.8070175438596492,0.9142857142857143,0.9302325581395349,0.8653846153846154,0.8243243243243243,0.8108108108108107,0.9111111111111111,0.9534883720930233,0.9139784946236559,0.9,0.8780487804878049,0.9076923076923077,0.8620689655172413,0.925531914893617,0.9,0.8875,0.896551724137931,0.9021739130434783,0.9042553191489362,0.8375,0.9010989010989011,0.8928571428571429,0.9024390243902439,0.8831168831168831,0.9021739130434783,0.9454545454545454,0.896551724137931,0.9042553191489362,0.900990099009901,0.8928571428571429,0.9052631578947369,0.897196261682243,0.900990099009901,0.8717948717948718,0.8823529411764706,0.8367346938775511,0.8785046728971962,0.8470588235294118,0.9080459770114943,0.8947368421052632,0.9157894736842105,0.8863636363636364,0.7796610169491526,0.9032258064516129,0.898876404494382,0.8282828282828283,0.8717948717948718,0.8705882352941177,0.8876404494382022,0.8735632183908046,0.8604651162790697
1T4V_14A,0.8541666666666666,0.8584905660377359,0.8172043010752688,0.81,0.8571428571428572,0.8144329896907216,0.8586956521739131,0.8928571428571429,0.891566265060241,0.0,0.8317757009345794,0.8041237113402062,0.8,0.8598130841121495,0.8571428571428572,0.8111111111111111,0.7765957446808511,0.8023255813953488,0.7636363636363637,0.8068181818181819,0.8045977011494253,0.8089887640449438,0.7738095238095238,0.7816091954022988,0.7931034482758621,0.8448275862068966,0.8429752066115702,0.797752808988764,0.8021978021978022,0.8144329896907216,0.797979797979798,0.8666666666666667,0.8041237113402062,0.8488372093023255,0.8111111111111111,0.7816091954022988,0.8928571428571429,0.8623853211009174,0.8556701030927836,0.8230088495575221,0.865979381443299,0.865979381443299,0.8043478260869565,0.8421052631578947,0.8571428571428572,0.8021978021978022,0.8444444444444444,0.8602150537634409,0.8809523809523809,0.8571428571428572,0.8613861386138614,0.9012345679012346,0.8333333333333334,0.8823529411764706,0.8333333333333334,0.8674698795180723,0.8764044943820225,0.875,0.8796296296296297,0.8787878787878788,0.8932038834951457,0.883495145631068,0.801980198019802,0.8787878787878788,0.8085106382978724,0.9210526315789473,0.7924528301886793,0.8958333333333334,0.8412698412698413,0.8390804597701149,0.8275862068965517,0.7692307692307692,0.7906976744186046,0.8383838383838383,0.8229166666666666,0.8478260869565217,0.8513513513513513,0.9189189189189189,0.8725490196078431,0.87,0.8555555555555556,0.7912087912087912,0.7765957446808511,0.78125,0.8369565217391304,0.7741935483870968,0.7840909090909091,0.8444444444444444,0.8636363636363636,0.7765957446808511,0.875,0.7777777777777778,0.7938144329896908,0.7623762376237624,0.8111111111111111,0.7835051546391752,0.8214285714285714,0.8532110091743119,0.8539325842696629,0.8404255319148937,0.9402985074626866,0.8347826086956522,0.88,0.8152173913043479,0.797979797979798,0.8181818181818181,0.845360824742268,0.868421052631579,0.8952380952380953,0.8333333333333334,0.8392857142857143,0.8275862068965517,0.8541666666666666,0.8350515463917526,0.8333333333333334,0.8333333333333334
