,2PHB_230,2PR3_237,2Y80_439,3KL6_443,2XBW_455,2WYG_461,4Y79_4O6,1XKA_4PP,2G00_4QC,2FZZ_5QC,5K0H_6PK,4BTU_6XS,2UWO_701,2BOK_784,4BTI_7R9,1F0R_815,2UWP_894,2UWL_895,2WYJ_898,2XC0_8NC,2Y82_930,2Y81_931,2P3T_993,4A7I_A7I,2JKH_BI7,2Y7Z_C0Z,1LPK_CBB,1LPZ_CMB,1V3X_D76,3Q3K_D90,2EI6_D92,2EI7_D93,3ENS_ENS,3FFG_FFG,3SW2_FI1,2Y5G_FJD,3CEN_FXA,2Q1J_FXI,1KSN_FXV,2J94_G15,2P16_GG2,2J38_GS5,2J34_GS6,2J4I_GSJ,2CJI_GSK,2J2U_GSQ,2VH6_GSV,2J95_GSX,2BOH_IIA,2BQ7_IID,1Z6E_IK8,1LPG_IMA,2XC4_IVK,2RA0_JNJ,2W3I_L1C,2W3K_L1D,3CS7_LG0,3KQB_LGJ,3KQC_LGK,3KQE_LGM,3K9X_MBM,2P93_ME1,2P94_ME4,2P95_ME5,2Y7X_MZA,2XC5_OYJ,1F0S_PR2,1NFX_RDR,2W26_RIV,1EZQ_RPR,2XBX_RR8,1NFU_RRP,1NFW_RRR,1NFY_RTR,3LIW_RUP,1G2L_T87,2XBV_XBV,1MQ5_XLC,1MQ6_XLD,2Y5F_XWG,2Y5H_Y5H,3HPT_YET,1FJS_Z34
2PHB_230,0.0,0.33333333333333337,0.81,0.8415841584158416,0.4027777777777778,0.8380952380952381,0.8041237113402062,0.8762886597938144,0.822429906542056,0.8362068965517242,0.908256880733945,0.8620689655172413,0.8446601941747574,0.8877551020408163,0.8536585365853658,0.9017857142857143,0.8431372549019608,0.8431372549019608,0.8380952380952381,0.475,0.8235294117647058,0.8235294117647058,0.8095238095238095,0.8645833333333334,0.8761904761904762,0.81,0.8648648648648649,0.8613861386138614,0.8058252427184466,0.7604166666666666,0.801980198019802,0.801980198019802,0.8073394495412844,0.8376068376068376,0.780952380952381,0.8773584905660378,0.7045454545454546,0.6947368421052631,0.86,0.8532110091743119,0.8571428571428572,0.79,0.801980198019802,0.7941176470588236,0.7938144329896908,0.79,0.8113207547169812,0.8431372549019608,0.8532110091743119,0.8415841584158416,0.7777777777777778,0.8636363636363636,0.42666666666666664,0.8090909090909091,0.5287356321839081,0.36,0.8679245283018868,0.787037037037037,0.8571428571428572,0.8761061946902655,0.8706896551724138,0.7317073170731707,0.7011494252873562,0.7176470588235294,0.8235294117647058,0.46153846153846156,0.8928571428571429,0.8545454545454545,0.8229166666666666,0.8686868686868687,0.3972602739726028,0.8333333333333334,0.8773584905660378,0.8383838383838383,0.8514851485148515,0.85,0.5301204819277108,0.7222222222222222,0.8055555555555556,0.8818181818181818,0.8571428571428572,0.8818181818181818,0.8706896551724138
2PR3_237,0.33333333333333337,0.0,0.8269230769230769,0.8349514563106796,0.5952380952380952,0.8317757009345794,0.797979797979798,0.8571428571428572,0.8272727272727273,0.85,0.8909090909090909,0.8362068965517242,0.8380952380952381,0.8910891089108911,0.819672131147541,0.8947368421052632,0.8365384615384616,0.8365384615384616,0.8317757009345794,0.6263736263736264,0.8173076923076923,0.8173076923076923,0.8256880733944953,0.845360824742268,0.8691588785046729,0.8269230769230769,0.8584070796460177,0.854368932038835,0.7884615384615384,0.7551020408163265,0.7961165048543689,0.7961165048543689,0.8230088495575221,0.8512396694214877,0.7981651376146789,0.8807339449541285,0.78125,0.48809523809523814,0.8415841584158416,0.8468468468468469,0.8942307692307693,0.7843137254901961,0.7961165048543689,0.7766990291262136,0.7878787878787878,0.7843137254901961,0.65625,0.8252427184466019,0.8363636363636364,0.8349514563106796,0.8461538461538461,0.8672566371681416,0.6404494382022472,0.8739495798319328,0.6767676767676767,0.5842696629213483,0.9017857142857143,0.6464646464646464,0.7641509433962264,0.8793103448275862,0.8739495798319328,0.8617021276595744,0.8282828282828283,0.845360824742268,0.8173076923076923,0.6179775280898876,0.8859649122807017,0.8482142857142857,0.8514851485148515,0.8613861386138614,0.5714285714285714,0.8269230769230769,0.8703703703703703,0.8316831683168316,0.8666666666666667,0.8536585365853658,0.711340206185567,0.7311827956989247,0.8214285714285714,0.875,0.8818181818181818,0.875,0.864406779661017
2Y80_439,0.81,0.8269230769230769,0.0,0.7191011235955056,0.8085106382978724,0.6923076923076923,0.7444444444444445,0.9292929292929293,0.8173076923076923,0.8214285714285714,0.9259259259259259,0.8165137614678899,0.7659574468085106,0.8222222222222222,0.7894736842105263,0.736842105263158,0.7765957446808511,0.7765957446808511,0.6923076923076923,0.8333333333333334,0.5189873417721519,0.5189873417721519,0.8703703703703703,0.8222222222222222,0.8020833333333334,0.0,0.8715596330275229,0.8571428571428572,0.736842105263158,0.8041237113402062,0.7959183673469388,0.7959183673469388,0.8240740740740741,0.8230088495575221,0.6111111111111112,0.8163265306122449,0.8064516129032258,0.8584905660377359,0.9117647058823529,0.7551020408163265,0.8279569892473118,0.6741573033707865,0.6741573033707865,0.5542168674698795,0.5384615384615384,0.6436781609195402,0.731958762886598,0.75,0.8490566037735849,0.8247422680412371,0.8482142857142857,0.8807339449541285,0.8383838383838383,0.8468468468468469,0.8317757009345794,0.8349514563106796,0.8415841584158416,0.8468468468468469,0.8317757009345794,0.8518518518518519,0.8571428571428572,0.8777777777777778,0.8421052631578947,0.8478260869565217,0.48051948051948057,0.8181818181818181,0.7777777777777778,0.8173076923076923,0.8421052631578947,0.91,0.8,0.7789473684210526,0.84,0.7956989247311828,0.8811881188118812,0.9112903225806451,0.8446601941747574,0.8085106382978724,0.8545454545454545,0.8235294117647058,0.8061224489795918,0.8461538461538461,0.8468468468468469
3KL6_443,0.8415841584158416,0.8349514563106796,0.7191011235955056,0.0,0.8172043010752688,0.83,0.7386363636363636,0.8936170212765957,0.8691588785046729,0.8695652173913043,0.8932038834951457,0.7904761904761904,0.7741935483870968,0.8181818181818181,0.7964601769911505,0.8080808080808081,0.7582417582417582,0.7717391304347826,0.83,0.8640776699029127,0.6627906976744187,0.6627906976744187,0.8571428571428572,0.7764705882352941,0.8105263157894737,0.7191011235955056,0.8137254901960784,0.8421052631578947,0.7311827956989247,0.8,0.7789473684210526,0.7789473684210526,0.8317757009345794,0.8706896551724138,0.6774193548387097,0.8247422680412371,0.8404255319148937,0.8446601941747574,0.8877551020408163,0.7628865979381443,0.8617021276595744,0.696629213483146,0.696629213483146,0.6741573033707865,0.6,0.6818181818181819,0.8365384615384616,0.7717391304347826,0.7878787878787878,0.782608695652174,0.8660714285714286,0.8679245283018868,0.8350515463917526,0.8648648648648649,0.8611111111111112,0.854368932038835,0.883495145631068,0.8648648648648649,0.8918918918918919,0.8909090909090909,0.822429906542056,0.8488372093023255,0.8131868131868132,0.8181818181818181,0.6931818181818181,0.8383838383838383,0.8333333333333334,0.79,0.8387096774193549,0.8854166666666666,0.8210526315789474,0.7741935483870968,0.8125,0.7777777777777778,0.89,0.8916666666666666,0.8181818181818181,0.8172043010752688,0.8727272727272728,0.8080808080808081,0.8144329896907216,0.8200000000000001,0.875
2XBW_455,0.4027777777777778,0.5952380952380952,0.8085106382978724,0.8172043010752688,0.0,0.8144329896907216,0.7752808988764045,0.8539325842696629,0.81,0.8037383177570093,0.88,0.8425925925925926,0.8210526315789474,0.8791208791208791,0.8448275862068966,0.8627450980392157,0.8191489361702128,0.8191489361702128,0.8144329896907216,0.33333333333333337,0.7978723404255319,0.7978723404255319,0.8316831683168316,0.8409090909090909,0.8787878787878788,0.8085106382978724,0.8557692307692308,0.8387096774193549,0.7916666666666666,0.7956989247311828,0.8247422680412371,0.8247422680412371,0.839622641509434,0.8055555555555556,0.7653061224489796,0.88,0.6455696202531646,0.6704545454545454,0.8854166666666666,0.8200000000000001,0.8709677419354839,0.7872340425531915,0.7872340425531915,0.7916666666666666,0.7777777777777778,0.7872340425531915,0.7857142857142857,0.8191489361702128,0.8431372549019608,0.8541666666666666,0.75,0.8653846153846154,0.265625,0.7961165048543689,0.5930232558139534,0.43243243243243246,0.892156862745098,0.7346938775510203,0.8137254901960784,0.8571428571428572,0.8727272727272728,0.7066666666666667,0.675,0.6753246753246753,0.7978723404255319,0.2615384615384615,0.8640776699029127,0.8333333333333334,0.8222222222222222,0.8829787234042553,0.13559322033898302,0.7956989247311828,0.8571428571428572,0.8,0.8526315789473684,0.8608695652173913,0.4246575342465754,0.7294117647058824,0.8380952380952381,0.8737864077669903,0.846938775510204,0.8846153846153846,0.8518518518518519
2WYG_461,0.8380952380952381,0.8317757009345794,0.6923076923076923,0.83,0.8144329896907216,0.0,0.6352941176470588,0.898989898989899,0.8545454545454545,0.884297520661157,0.9181818181818182,0.7663551401869159,0.6477272727272727,0.8404255319148937,0.7631578947368421,0.77,0.6888888888888889,0.5063291139240507,0.0,0.8269230769230769,0.6206896551724138,0.6206896551724138,0.8839285714285714,0.7325581395348837,0.7708333333333334,0.6923076923076923,0.875,0.8942307692307693,0.839622641509434,0.8557692307692308,0.8365384615384616,0.8365384615384616,0.8495575221238938,0.8852459016393442,0.780952380952381,0.7857142857142857,0.8823529411764706,0.8411214953271028,0.9142857142857143,0.711340206185567,0.8910891089108911,0.7127659574468085,0.7127659574468085,0.731958762886598,0.7282608695652174,0.7395833333333333,0.5681818181818181,0.6888888888888889,0.7864077669902912,0.8529411764705882,0.8717948717948718,0.9130434782608696,0.8431372549019608,0.8706896551724138,0.8468468468468469,0.839622641509434,0.8888888888888888,0.8706896551724138,0.8672566371681416,0.9051724137931034,0.8508771929824561,0.8444444444444444,0.87,0.8152173913043479,0.6666666666666667,0.8118811881188119,0.7843137254901961,0.8333333333333334,0.8105263157894737,0.912621359223301,0.8061224489795918,0.8217821782178218,0.7065217391304348,0.8144329896907216,0.8952380952380953,0.9302325581395349,0.8269230769230769,0.8613861386138614,0.868421052631579,0.7941176470588236,0.7878787878787878,0.839622641509434,0.8608695652173913
4Y79_4O6,0.8041237113402062,0.797979797979798,0.7444444444444445,0.7386363636363636,0.7752808988764045,0.6352941176470588,0.0,0.8804347826086957,0.8461538461538461,0.8584070796460177,0.892156862745098,0.8113207547169812,0.3623188405797102,0.8426966292134832,0.8053097345132744,0.8181818181818181,0.4225352112676056,0.25,0.6352941176470588,0.8282828282828283,0.7608695652173914,0.7608695652173914,0.8217821782178218,0.7590361445783133,0.8333333333333334,0.7444444444444445,0.8349514563106796,0.8645833333333334,0.8061224489795918,0.8229166666666666,0.8144329896907216,0.8144329896907216,0.7961165048543689,0.8495575221238938,0.7157894736842105,0.8350515463917526,0.8131868131868132,0.8316831683168316,0.8865979381443299,0.47435897435897434,0.8842105263157894,0.4027777777777778,0.4027777777777778,0.6235294117647059,0.36764705882352944,0.4027777777777778,0.75,0.4225352112676056,0.81,0.8315789473684211,0.9043478260869565,0.8981481481481481,0.8085106382978724,0.8938053097345133,0.8155339805825242,0.8181818181818181,0.8932038834951457,0.8532110091743119,0.8490566037735849,0.8899082568807339,0.8207547169811321,0.8470588235294118,0.8111111111111111,0.8160919540229885,0.7608695652173914,0.8,0.8200000000000001,0.8571428571428572,0.7840909090909091,0.8842105263157894,0.7666666666666666,0.846938775510204,0.8350515463917526,0.8404255319148937,0.8775510204081632,0.9,0.8041237113402062,0.8021978021978022,0.8173076923076923,0.8415841584158416,0.8367346938775511,0.8061224489795918,0.9035087719298246
1XKA_4PP,0.8762886597938144,0.8571428571428572,0.9292929292929293,0.8936170212765957,0.8539325842696629,0.898989898989899,0.8804347826086957,0.0,0.8229166666666666,0.8703703703703703,0.7954545454545454,0.8666666666666667,0.8842105263157894,0.8433734939759037,0.8571428571428572,0.8888888888888888,0.8829787234042553,0.8829787234042553,0.898989898989899,0.8645833333333334,0.9299999999999999,0.9299999999999999,0.88,0.8705882352941177,0.90625,0.9292929292929293,0.87,0.7710843373493976,0.8888888888888888,0.8842105263157894,0.8979591836734694,0.8979591836734694,0.8857142857142857,0.8504672897196262,0.8725490196078431,0.9183673469387755,0.8651685393258427,0.84375,0.7976190476190477,0.88,0.8876404494382022,0.8865979381443299,0.8865979381443299,0.865979381443299,0.8817204301075269,0.8865979381443299,0.892156862745098,0.8829787234042553,0.8571428571428572,0.8444444444444444,0.8773584905660378,0.782608695652174,0.8586956521739131,0.8761904761904762,0.8725490196078431,0.865979381443299,0.9191919191919192,0.8431372549019608,0.8613861386138614,0.86,0.8431372549019608,0.8481012658227848,0.8764044943820225,0.8837209302325582,0.9191919191919192,0.8617021276595744,0.8787878787878788,0.892156862745098,0.8888888888888888,0.7142857142857143,0.8695652173913043,0.8089887640449438,0.8958333333333334,0.8539325842696629,0.7283950617283951,0.8095238095238095,0.8404255319148937,0.8913043478260869,0.8952380952380953,0.9,0.9081632653061225,0.9,0.7835051546391752
2G00_4QC,0.822429906542056,0.8272727272727273,0.8173076923076923,0.8691588785046729,0.81,0.8545454545454545,0.8461538461538461,0.8229166666666666,0.0,0.4382022471910112,0.8504672897196262,0.8571428571428572,0.8715596330275229,0.8350515463917526,0.8114754098360656,0.8454545454545455,0.8598130841121495,0.8703703703703703,0.8545454545454545,0.8333333333333334,0.8828828828828829,0.8828828828828829,0.868421052631579,0.8811881188118812,0.8703703703703703,0.8173076923076923,0.8392857142857143,0.81,0.8558558558558559,0.839622641509434,0.8532110091743119,0.8532110091743119,0.8448275862068966,0.4269662921348315,0.8421052631578947,0.8818181818181818,0.854368932038835,0.8256880733944953,0.8080808080808081,0.868421052631579,0.6352941176470588,0.8636363636363636,0.8636363636363636,0.8454545454545455,0.8584905660377359,0.8532110091743119,0.8073394495412844,0.8703703703703703,0.8378378378378378,0.8252427184466019,0.7407407407407407,0.8272727272727273,0.7920792079207921,0.7142857142857143,0.831858407079646,0.8240740740740741,0.5747126436781609,0.7264150943396226,0.4651162790697675,0.5444444444444445,0.8260869565217391,0.8387096774193549,0.83,0.8350515463917526,0.8623853211009174,0.819047619047619,0.8771929824561404,0.8888888888888888,0.8415841584158416,0.8163265306122449,0.8137254901960784,0.839622641509434,0.9017857142857143,0.8666666666666667,0.8,0.8548387096774194,0.822429906542056,0.8557692307692308,0.8434782608695652,0.8660714285714286,0.8828828828828829,0.8558558558558559,0.7946428571428572
2FZZ_5QC,0.8362068965517242,0.85,0.8214285714285714,0.8695652173913043,0.8037383177570093,0.884297520661157,0.8584070796460177,0.8703703703703703,0.4382022471910112,0.0,0.8907563025210083,0.875968992248062,0.8717948717948718,0.8490566037735849,0.8421052631578947,0.8070175438596492,0.8608695652173913,0.8706896551724138,0.884297520661157,0.8461538461538461,0.8728813559322034,0.8728813559322034,0.8780487804878049,0.9009009009009009,0.8508771929824561,0.8214285714285714,0.8512396694214877,0.8571428571428572,0.8760330578512396,0.8620689655172413,0.864406779661017,0.864406779661017,0.856,0.30681818181818177,0.8442622950819672,0.8813559322033898,0.8660714285714286,0.8677685950413223,0.8859649122807017,0.8688524590163934,0.7244897959183674,0.8547008547008547,0.864406779661017,0.8571428571428572,0.8495575221238938,0.8547008547008547,0.811965811965812,0.8706896551724138,0.8205128205128205,0.8392857142857143,0.6818181818181819,0.8688524590163934,0.787037037037037,0.6788990825688073,0.8442622950819672,0.8376068376068376,0.6145833333333333,0.7899159663865546,0.5612244897959184,0.5567010309278351,0.819672131147541,0.8529411764705882,0.822429906542056,0.8380952380952381,0.853448275862069,0.8333333333333334,0.8677685950413223,0.888,0.8440366972477065,0.8938053097345133,0.8288288288288288,0.8620689655172413,0.9,0.8771929824561404,0.8584070796460177,0.8897058823529411,0.8157894736842105,0.8468468468468469,0.8818897637795275,0.8376068376068376,0.8728813559322034,0.847457627118644,0.848
