,5ZC5_09I,1GI7_120,1GI9_123,1GJC_130,1GJ7_132,1GJ8_133,1GJ9_134,1GJA_135,1GJD_136,1OWH_239,5ZA8_27I,5ZAF_28I,1SC8_2IN,5ZAJ_32I,3IG6_438,1OWD_497,2R2W_4PG,5ZA9_50I,1VJ9_5IN,1O3P_655,1OWE_675,1O5A_696,1VJA_7IN,5ZAG_94I,1EJN_AGB,6NMB_AMH,1F5L_AMR,1O5C_CR9,2VIQ_D55,2VIW_D56,5ZAE_EAU,1C5X_ESI,1C5Y_ESP,5ZA7_HMX,2VIO_L1O,2VIP_L1R,2VNT_QGG,1W0Z_SI1,1W11_SK1,1W13_SM1,1SQA_UI1,1SQO_UI2,1SQT_UI3,2VIV_VG2
5ZC5_09I,0.0,0.8636363636363636,0.8804347826086957,0.8181818181818181,0.8791208791208791,0.8163265306122449,0.797979797979798,0.810126582278481,0.8222222222222222,0.7777777777777778,0.4225352112676056,0.3913043478260869,0.8762886597938144,0.4871794871794872,0.8256880733944953,0.8526315789473684,0.7948717948717949,0.23076923076923073,0.8737864077669903,0.8404255319148937,0.7662337662337663,0.8636363636363636,0.875,0.3970588235294118,0.8,0.904109589041096,0.7101449275362319,0.8316831683168316,0.8709677419354839,0.7872340425531915,0.34328358208955223,0.8734177215189873,0.8441558441558441,0.6712328767123288,0.8571428571428572,0.8333333333333334,0.8191489361702128,0.86,0.85,0.84,0.7934782608695652,0.8125,0.8191489361702128,0.7752808988764045
1GI7_120,0.8636363636363636,0.0,0.4629629629629629,0.5517241379310345,0.7384615384615385,0.72,0.8214285714285714,0.84375,0.8974358974358975,0.8382352941176471,0.891566265060241,0.8765432098765432,0.858974358974359,0.8863636363636364,0.8979591836734694,0.8441558441558441,0.8615384615384616,0.8554216867469879,0.8571428571428572,0.4655172413793104,0.8095238095238095,0.6206896551724138,0.8571428571428572,0.8875,0.9066666666666666,0.9473684210526316,0.85,0.6756756756756757,0.881578947368421,0.9069767441860466,0.8481012658227848,0.7894736842105263,0.7678571428571428,0.9,0.8852459016393442,0.8666666666666667,0.8625,0.8809523809523809,0.8690476190476191,0.896551724137931,0.8181818181818181,0.7903225806451613,0.8481012658227848,0.9012345679012346
1GI9_123,0.8804347826086957,0.4629629629629629,0.0,0.5967741935483871,0.7681159420289855,0.7142857142857143,0.813953488372093,0.8333333333333334,0.8734177215189873,0.8285714285714285,0.8823529411764706,0.8809523809523809,0.891566265060241,0.8390804597701149,0.8556701030927836,0.8205128205128205,0.8840579710144928,0.8735632183908046,0.875,0.5161290322580645,0.8181818181818181,0.6825396825396826,0.8902439024390244,0.891566265060241,0.9102564102564102,0.95,0.875,0.6883116883116883,0.8421052631578947,0.8977272727272727,0.8536585365853658,0.8387096774193549,0.8,0.904109589041096,0.873015873015873,0.8571428571428572,0.8674698795180723,0.872093023255814,0.8863636363636364,0.9120879120879121,0.8536585365853658,0.835820895522388,0.7792207792207793,0.891566265060241
1GJC_130,0.8181818181818181,0.5517241379310345,0.5967741935483871,0.0,0.6129032258064516,0.5507246376811594,0.6962025316455696,0.7,0.8,0.703125,0.8433734939759037,0.8271604938271605,0.8076923076923077,0.8539325842696629,0.845360824742268,0.8227848101265822,0.78125,0.8072289156626506,0.8095238095238095,0.5909090909090908,0.6379310344827587,0.6229508196721312,0.8051948051948052,0.8375,0.868421052631579,0.9333333333333333,0.8769230769230769,0.725,0.9146341463414634,0.9347826086956522,0.8271604938271605,0.859375,0.8412698412698413,0.92,0.8923076923076922,0.8875,0.8690476190476191,0.7901234567901234,0.7468354430379747,0.8235294117647058,0.7974683544303798,0.7258064516129032,0.7162162162162162,0.9186046511627907
1GJ7_132,0.8791208791208791,0.7384615384615385,0.7681159420289855,0.6129032258064516,0.0,0.759493670886076,0.6351351351351351,0.8484848484848485,0.8108108108108107,0.8591549295774648,0.9195402298850575,0.9058823529411765,0.8481012658227848,0.9247311827956989,0.8421052631578947,0.8765432098765432,0.8656716417910448,0.8850574712643678,0.8604651162790697,0.7183098591549295,0.8153846153846154,0.4814814814814815,0.8461538461538461,0.9166666666666666,0.9230769230769231,0.9491525423728814,0.890625,0.7341772151898734,0.9125,0.9090909090909091,0.8928571428571429,0.7758620689655172,0.7966101694915254,0.8873239436619719,0.8524590163934427,0.8552631578947368,0.8227848101265822,0.9090909090909091,0.872093023255814,0.8735632183908046,0.8658536585365854,0.8153846153846154,0.8518518518518519,0.9036144578313253
1GJ8_133,0.8163265306122449,0.72,0.7142857142857143,0.5507246376811594,0.759493670886076,0.0,0.5443037974683544,0.8,0.7710843373493976,0.7974683544303798,0.875,0.8736842105263158,0.8709677419354839,0.8484848484848485,0.8076923076923077,0.8586956521739131,0.8461538461538461,0.8556701030927836,0.8686868686868687,0.6875,0.8026315789473684,0.8148148148148149,0.8817204301075269,0.8829787234042553,0.8735632183908046,0.9589041095890412,0.8961038961038961,0.575,0.8522727272727273,0.8888888888888888,0.8617021276595744,0.8513513513513513,0.8513513513513513,0.9186046511627907,0.88,0.8117647058823529,0.8854166666666666,0.8297872340425532,0.8191489361702128,0.845360824742268,0.8369565217391304,0.7866666666666666,0.7701149425287357,0.8947368421052632
1GJ9_134,0.797979797979798,0.8214285714285714,0.813953488372093,0.6962025316455696,0.6351351351351351,0.5443037974683544,0.0,0.7922077922077921,0.7647058823529411,0.7901234567901234,0.8556701030927836,0.8541666666666666,0.875,0.8415841584158416,0.8130841121495327,0.8387096774193549,0.8658536585365854,0.8367346938775511,0.883495145631068,0.6829268292682926,0.7792207792207793,0.7142857142857143,0.8854166666666666,0.8631578947368421,0.8651685393258427,0.9324324324324325,0.926829268292683,0.5,0.8817204301075269,0.892156862745098,0.8421052631578947,0.8571428571428572,0.8860759493670887,0.896551724137931,0.9125,0.8695652173913043,0.8421052631578947,0.8585858585858586,0.8484848484848485,0.883495145631068,0.8541666666666666,0.825,0.8043478260869565,0.8979591836734694
1GJA_135,0.810126582278481,0.84375,0.8333333333333334,0.7,0.8484848484848485,0.8,0.7922077922077921,0.0,0.5964912280701755,0.5102040816326531,0.821917808219178,0.8028169014084507,0.7424242424242424,0.8354430379746836,0.8791208791208791,0.7230769230769231,0.5833333333333333,0.7808219178082192,0.7671232876712328,0.863013698630137,0.43181818181818177,0.8253968253968254,0.7384615384615385,0.8142857142857143,0.711864406779661,0.8979591836734694,0.8333333333333334,0.9047619047619048,0.8382352941176471,0.8717948717948718,0.7857142857142857,0.875,0.875,0.9076923076923077,0.8727272727272728,0.7846153846153846,0.8961038961038961,0.6865671641791045,0.6515151515151515,0.6956521739130435,0.6923076923076923,0.7894736842105263,0.7681159420289855,0.8309859154929577
1GJD_136,0.8222222222222222,0.8974358974358975,0.8734177215189873,0.8,0.8108108108108107,0.7710843373493976,0.7647058823529411,0.5964912280701755,0.0,0.671875,0.8333333333333334,0.8313253012048193,0.8554216867469879,0.8444444444444444,0.8712871287128713,0.75,0.75,0.8255813953488372,0.8666666666666667,0.8953488372093024,0.6721311475409837,0.8974358974358975,0.8536585365853658,0.8414634146341463,0.7777777777777778,0.935483870967742,0.828125,0.8936170212765957,0.8026315789473684,0.7951807228915663,0.8313253012048193,0.8461538461538461,0.8970588235294118,0.8933333333333333,0.84375,0.7534246575342466,0.8588235294117648,0.7804878048780488,0.7976190476190477,0.7857142857142857,0.7875,0.8591549295774648,0.8170731707317074,0.7974683544303798
1OWH_239,0.7777777777777778,0.8382352941176471,0.8285714285714285,0.703125,0.8591549295774648,0.7974683544303798,0.7901234567901234,0.5102040816326531,0.671875,0.0,0.8026315789473684,0.7837837837837838,0.7605633802816901,0.8170731707317074,0.7840909090909091,0.5573770491803278,0.5961538461538461,0.7792207792207793,0.782051282051282,0.8266666666666667,0.2790697674418605,0.7846153846153846,0.7571428571428571,0.7945205479452055,0.6271186440677966,0.8431372549019608,0.8070175438596492,0.8850574712643678,0.7647058823529411,0.8076923076923077,0.7837837837837838,0.8666666666666667,0.8666666666666667,0.8823529411764706,0.8245614035087719,0.7076923076923076,0.875,0.6901408450704225,0.6944444444444444,0.7162162162162162,0.4482758620689655,0.7017543859649122,0.6956521739130435,0.7605633802816901
5ZA8_27I,0.4225352112676056,0.891566265060241,0.8823529411764706,0.8433734939759037,0.9195402298850575,0.875,0.8556701030927836,0.821917808219178,0.8333333333333334,0.8026315789473684,0.0,0.3114754098360656,0.9021739130434783,0.38235294117647056,0.8571428571428572,0.8522727272727273,0.8055555555555556,0.3787878787878788,0.8865979381443299,0.8777777777777778,0.7916666666666666,0.891566265060241,0.8888888888888888,0.2586206896551724,0.810126582278481,0.8923076923076922,0.6721311475409837,0.8888888888888888,0.8977272727272727,0.8089887640449438,0.33870967741935487,0.9342105263157895,0.8591549295774648,0.6515151515151515,0.904109589041096,0.8977272727272727,0.8426966292134832,0.8478260869565217,0.8494623655913979,0.8387096774193549,0.8426966292134832,0.8701298701298701,0.7590361445783133,0.7976190476190477
