,2CLH_F19,2CLE_F6F,2CLI_F9F,1A5S_FIP,2CLK_G3H,1WBJ_G3P,1C8V_HE1,1C9D_HF1,1CW2_HSP,1CX9_NHP
2CLH_F19,0.0,0.6153846153846154,0.37777777777777777,0.7241379310344828,0.7872340425531915,0.782608695652174,0.8035714285714286,0.8387096774193549,0.8,0.8
2CLE_F6F,0.6153846153846154,0.0,0.37777777777777777,0.7241379310344828,0.7872340425531915,0.782608695652174,0.8245614035087719,0.819672131147541,0.8421052631578947,0.8421052631578947
2CLI_F9F,0.37777777777777777,0.37777777777777777,0.0,0.728813559322034,0.7916666666666666,0.7872340425531915,0.847457627118644,0.8412698412698413,0.8448275862068966,0.8448275862068966
1A5S_FIP,0.7241379310344828,0.7241379310344828,0.728813559322034,0.0,0.7959183673469388,0.7916666666666666,0.85,0.7457627118644068,0.8275862068965517,0.8275862068965517
2CLK_G3H,0.7872340425531915,0.7872340425531915,0.7916666666666666,0.7959183673469388,0.0,0.4814814814814815,0.8181818181818181,0.8367346938775511,0.8666666666666667,0.8409090909090909
1WBJ_G3P,0.782608695652174,0.782608695652174,0.7872340425531915,0.7916666666666666,0.4814814814814815,0.0,0.8409090909090909,0.8571428571428572,0.8636363636363636,0.8372093023255813
1C8V_HE1,0.8035714285714286,0.8245614035087719,0.847457627118644,0.85,0.8181818181818181,0.8409090909090909,0.0,0.32499999999999996,0.7291666666666667,0.6136363636363636
1C9D_HF1,0.8387096774193549,0.819672131147541,0.8412698412698413,0.7457627118644068,0.8367346938775511,0.8571428571428572,0.32499999999999996,0.0,0.8,0.7307692307692308
1CW2_HSP,0.8,0.8421052631578947,0.8448275862068966,0.8275862068965517,0.8666666666666667,0.8636363636363636,0.7291666666666667,0.8,0.0,0.6046511627906976
1CX9_NHP,0.8,0.8421052631578947,0.8448275862068966,0.8275862068965517,0.8409090909090909,0.8372093023255813,0.6136363636363636,0.7307692307692308,0.6046511627906976,0.0
