,4HIQ_16V,4HJS_18J,3D2T_1FL,3CFN_2AN,4HIS_3MI,5BOJ_4TX,4DES_57D,3CFT_5NS,5IHH_6B5,5L4F_6J1,5L4I_6J3,5L4J_6JD,5EN3_7LU,1TYR_9CR,4DER_AGI,6GRP_F4Z,6GR7_F52,1BM7_FLF,4ABU_FT1,4ABV_FT2,4N87_GBJ,3KGU_GEN,3FC8_IFA,3FCB_IFB,3IPB_JZD,3IPE_JZE,4DET_KMP,5AYT_L6Y,4DEW_LU2,4Y9E_MKT,4DEU_NAR,1DVZ_OFL,1U21_P2C,1E4H_PBR,2G5U_PCQ,5L4M_SBK,1E5A_TBP,4D7B_TCW
4HIQ_16V,0.0,0.8636363636363636,0.8032786885245902,0.9104477611940298,0.7580645161290323,0.6896551724137931,0.8787878787878788,0.8813559322033898,0.8714285714285714,0.875,0.8208955223880597,0.9056603773584906,0.8823529411764706,0.9054054054054054,0.8939393939393939,0.9090909090909091,0.7777777777777778,0.8307692307692307,0.84375,0.8412698412698413,0.9259259259259259,0.8955223880597015,0.8289473684210527,0.8378378378378378,0.7692307692307692,0.7692307692307692,0.8955223880597015,0.8636363636363636,0.8970588235294118,0.8529411764705882,0.8985507246376812,0.8360655737704918,0.8529411764705882,0.96,0.9230769230769231,0.7894736842105263,0.9230769230769231,0.8095238095238095
4HJS_18J,0.8636363636363636,0.0,0.8771929824561404,0.8363636363636364,0.9032258064516129,0.8035714285714286,0.8793103448275862,0.86,0.8709677419354839,0.8,0.8709677419354839,0.8048780487804879,0.8833333333333333,0.8923076923076922,0.8771929824561404,0.8913043478260869,0.8823529411764706,0.864406779661017,0.8181818181818181,0.8771929824561404,0.9014084507042254,0.8793103448275862,0.8235294117647058,0.8333333333333334,0.8548387096774194,0.8548387096774194,0.8596491228070176,0.9180327868852459,0.8813559322033898,0.8103448275862069,0.8833333333333333,0.8928571428571429,0.8688524590163934,0.8974358974358975,0.8536585365853658,0.8888888888888888,0.8536585365853658,0.8214285714285714
3D2T_1FL,0.8032786885245902,0.8771929824561404,0.0,0.8928571428571429,0.8,0.8596491228070176,0.8113207547169812,0.9,0.8070175438596492,0.8695652173913043,0.8275862068965517,0.825,0.7962962962962963,0.9230769230769231,0.7843137254901961,0.8863636363636364,0.8541666666666666,0.7735849056603774,0.8333333333333334,0.8518518518518519,0.8823529411764706,0.7647058823529411,0.6071428571428572,0.5576923076923077,0.8103448275862069,0.8103448275862069,0.7884615384615384,0.8148148148148149,0.7924528301886793,0.864406779661017,0.8392857142857143,0.7755102040816326,0.8035714285714286,0.9210526315789473,0.8461538461538461,0.8627450980392157,0.875,0.7924528301886793
3CFN_2AN,0.9104477611940298,0.8363636363636364,0.8928571428571429,0.0,0.8813559322033898,0.8793103448275862,0.8113207547169812,0.6585365853658536,0.8852459016393442,0.9166666666666666,0.7857142857142857,0.825,0.8793103448275862,0.9230769230769231,0.8727272727272728,0.9111111111111111,0.9,0.6734693877551021,0.8947368421052632,0.9122807017543859,0.9295774647887324,0.8947368421052632,0.9166666666666666,0.8970588235294118,0.7454545454545455,0.7454545454545455,0.8947368421052632,0.8148148148148149,0.8771929824561404,0.9193548387096774,0.9166666666666666,0.7234042553191489,0.7358490566037736,0.9487179487179487,0.9024390243902439,0.8846153846153846,0.9285714285714286,0.9152542372881356
4HIS_3MI,0.7580645161290323,0.9032258064516129,0.8,0.8813559322033898,0.0,0.85,0.8035714285714286,0.9074074074074074,0.8387096774193549,0.9019607843137255,0.8,0.8913043478260869,0.7454545454545455,0.927536231884058,0.8214285714285714,0.8222222222222222,0.8200000000000001,0.8103448275862069,0.8448275862068966,0.8620689655172413,0.904109589041096,0.8448275862068966,0.8918918918918919,0.8714285714285714,0.7833333333333333,0.7833333333333333,0.8245614035087719,0.847457627118644,0.8275862068965517,0.873015873015873,0.8688524590163934,0.7924528301886793,0.7966101694915254,0.9534883720930233,0.8333333333333334,0.7843137254901961,0.9111111111111111,0.847457627118644
5BOJ_4TX,0.6896551724137931,0.8035714285714286,0.8596491228070176,0.8793103448275862,0.85,0.0,0.8813559322033898,0.8627450980392157,0.8548387096774194,0.8043478260869565,0.8360655737704918,0.8888888888888888,0.8852459016393442,0.8769230769230769,0.8983050847457628,0.9166666666666666,0.7391304347826086,0.847457627118644,0.8421052631578947,0.8392857142857143,0.9027777777777778,0.9,0.8428571428571429,0.835820895522388,0.7796610169491526,0.7796610169491526,0.9,0.8833333333333333,0.8833333333333333,0.8888888888888888,0.9032258064516129,0.8545454545454545,0.8524590163934427,0.9523809523809523,0.9090909090909091,0.803921568627451,0.9090909090909091,0.8035714285714286
4DES_57D,0.8787878787878788,0.8793103448275862,0.8113207547169812,0.8113207547169812,0.8035714285714286,0.8813559322033898,0.0,0.8571428571428572,0.4666666666666667,0.8723404255319149,0.8688524590163934,0.8292682926829268,0.4651162790697675,0.9402985074626866,0.19999999999999996,0.8888888888888888,0.88,0.8421052631578947,0.8571428571428572,0.875,0.8333333333333334,0.6086956521739131,0.8873239436619719,0.8656716417910448,0.8524590163934427,0.8524590163934427,0.5454545454545454,0.8181818181818181,0.2894736842105263,0.7636363636363637,0.7307692307692308,0.8490566037735849,0.847457627118644,0.9230769230769231,0.85,0.8867924528301887,0.8780487804878049,0.8596491228070176
3CFT_5NS,0.8813559322033898,0.86,0.9,0.6585365853658536,0.9074074074074074,0.8627450980392157,0.8571428571428572,0.0,0.8909090909090909,0.9024390243902439,0.8703703703703703,0.7878787878787878,0.8846153846153846,0.95,0.8775510204081632,0.8947368421052632,0.8837209302325582,0.8627450980392157,0.9019607843137255,0.9215686274509804,0.921875,0.9019607843137255,0.9242424242424242,0.9206349206349207,0.8727272727272728,0.8727272727272728,0.9019607843137255,0.8125,0.8823529411764706,0.9285714285714286,0.9056603773584906,0.8723404255319149,0.8679245283018868,0.9375,0.9142857142857143,0.8913043478260869,0.9142857142857143,0.9038461538461539
5IHH_6B5,0.8714285714285714,0.8709677419354839,0.8070175438596492,0.8852459016393442,0.8387096774193549,0.8548387096774194,0.4666666666666667,0.8909090909090909,0.0,0.84,0.9117647058823529,0.8478260869565217,0.30952380952380953,0.9295774647887324,0.41860465116279066,0.9,0.8909090909090909,0.9076923076923077,0.85,0.8666666666666667,0.8115942028985508,0.6981132075471699,0.8493150684931507,0.8904109589041096,0.8970588235294118,0.8970588235294118,0.6470588235294117,0.8888888888888888,0.25,0.7627118644067796,0.7966101694915254,0.9180327868852459,0.8939393939393939,0.9318181818181819,0.8666666666666667,0.896551724137931,0.8666666666666667,0.8333333333333334
5L4F_6J1,0.875,0.8,0.8695652173913043,0.9166666666666666,0.9019607843137255,0.8043478260869565,0.8723404255319149,0.9024390243902439,0.84,0.0,0.8846153846153846,0.8064516129032258,0.8541666666666666,0.9090909090909091,0.8695652173913043,0.8181818181818181,0.875,0.9,0.8723404255319149,0.8936170212765957,0.9,0.8478260869565217,0.8666666666666667,0.8793103448275862,0.9074074074074074,0.9074074074074074,0.8222222222222222,0.92,0.851063829787234,0.8125,0.8775510204081632,0.9130434782608696,0.9038461538461539,0.8076923076923077,0.7931034482758621,0.8837209302325582,0.7931034482758621,0.5
