,1T3R_017,3EL5_1UN,3HAU_2NC,3EKV_478,3AID_ARQ,3GI6_D78,3I7E_DJR,3EL9_DR7,3BXR_DRR,3BXS_DRS,1Z1H_HBB,1Z1R_HBH,1KZK_JE2,3MXD_K53,3MXE_K54,3GI4_K60,3GI5_K62,2QHY_MZ1,2QHZ_MZ2,2QI0_MZ3,2QI1_MZ4,2QI3_MZ5,2QI4_MZ6,2QI5_MZ7,2QI6_MZ8,2QI7_MZ9,1B6L_PI4,1B6K_PI5,1MTR_PI6,1B6P_PI7,1D4K_PI8,1D4L_PI9,3EL4_ROC,2AID_THK
1T3R_017,0.0,0.7747747747747747,0.8813559322033898,0.2763157894736842,0.7173913043478262,0.5588235294117647,0.1351351351351351,0.7156862745098039,0.8362068965517242,0.8383838383838383,0.7211538461538461,0.7102803738317758,0.7798165137614679,0.5520833333333333,0.5887850467289719,0.5865384615384616,0.5784313725490196,0.6666666666666667,0.6893203883495146,0.6504854368932038,0.6568627450980392,0.6145833333333333,0.63,0.6435643564356436,0.574468085106383,0.5777777777777777,0.847457627118644,0.7622950819672132,0.6822429906542056,0.7606837606837606,0.7786885245901639,0.6981132075471699,0.75,0.9333333333333333
3EL5_1UN,0.7747747747747747,0.0,0.8813559322033898,0.787037037037037,0.7835051546391752,0.775,0.7787610619469026,0.7981651376146789,0.8461538461538461,0.8613861386138614,0.8434782608695652,0.8403361344537815,0.6565656565656566,0.7807017543859649,0.8015873015873016,0.775,0.7916666666666666,0.8214285714285714,0.8053097345132744,0.7477477477477478,0.7982456140350878,0.8333333333333334,0.808695652173913,0.8487394957983193,0.8035714285714286,0.8256880733944953,0.7289719626168225,0.8015873015873016,0.7631578947368421,0.8016528925619835,0.8174603174603174,0.8688524590163934,0.5051546391752577,0.8910891089108911
3HAU_2NC,0.8813559322033898,0.8813559322033898,0.0,0.8761061946902655,0.8823529411764706,0.8650793650793651,0.8833333333333333,0.8859649122807017,0.8991596638655462,0.9223300970873787,0.9067796610169492,0.8739495798319328,0.8782608695652174,0.884297520661157,0.8863636363636364,0.8828125,0.872,0.8468468468468469,0.8898305084745762,0.9024390243902439,0.9008264462809917,0.8482142857142857,0.8632478632478633,0.7798165137614679,0.8888888888888888,0.7961165048543689,0.8813559322033898,0.8692307692307693,0.8583333333333334,0.8536585365853658,0.8671875,0.9105691056910569,0.8347107438016529,0.9514563106796117
3EKV_478,0.2763157894736842,0.787037037037037,0.8761061946902655,0.0,0.7011494252873562,0.5208333333333333,0.3780487804878049,0.7142857142857143,0.8392857142857143,0.8421052631578947,0.72,0.7087378640776699,0.780952380952381,0.5111111111111111,0.5544554455445545,0.5510204081632653,0.5416666666666667,0.648936170212766,0.6734693877551021,0.6464646464646464,0.6391752577319587,0.5934065934065934,0.6105263157894737,0.625,0.550561797752809,0.5529411764705883,0.8508771929824561,0.773109243697479,0.6796116504854368,0.7610619469026548,0.7899159663865546,0.696078431372549,0.75,0.9299999999999999
3AID_ARQ,0.7173913043478262,0.7835051546391752,0.8823529411764706,0.7011494252873562,0.0,0.7596153846153846,0.7234042553191489,0.6385542168674698,0.8857142857142857,0.8850574712643678,0.8725490196078431,0.8679245283018868,0.7634408602150538,0.7653061224489796,0.7685185185185185,0.7714285714285715,0.7549019607843137,0.7333333333333334,0.7142857142857143,0.7395833333333333,0.7204301075268817,0.7362637362637363,0.7204301075268817,0.7473684210526316,0.7111111111111111,0.7058823529411764,0.8653846153846154,0.8018018018018018,0.6333333333333333,0.8018867924528301,0.8303571428571428,0.8990825688073394,0.7425742574257426,0.9318181818181819
3GI6_D78,0.5588235294117647,0.775,0.8650793650793651,0.5208333333333333,0.7596153846153846,0.0,0.4949494949494949,0.7321428571428572,0.8412698412698413,0.8648648648648649,0.7478260869565218,0.7478991596638656,0.7796610169491526,0.3870967741935484,0.39603960396039606,0.1839080459770115,0.34042553191489366,0.6759259259259259,0.6727272727272727,0.6111111111111112,0.6168224299065421,0.6542056074766356,0.6545454545454545,0.6785714285714286,0.6057692307692308,0.5368421052631579,0.8515625,0.7727272727272727,0.7226890756302521,0.78125,0.8148148148148149,0.7583333333333333,0.752,0.911504424778761
3I7E_DJR,0.1351351351351351,0.7787610619469026,0.8833333333333333,0.3780487804878049,0.7234042553191489,0.4949494949494949,0.0,0.7087378640776699,0.829059829059829,0.83,0.7142857142857143,0.7155963302752293,0.7837837837837838,0.5757575757575757,0.6090909090909091,0.6074766355140186,0.6,0.6732673267326732,0.6952380952380952,0.6039603960396039,0.61,0.6224489795918368,0.6372549019607843,0.6504854368932038,0.5833333333333333,0.4883720930232558,0.85,0.7661290322580645,0.6880733944954128,0.7647058823529411,0.782258064516129,0.7387387387387387,0.7542372881355932,0.9345794392523364
3EL9_DR7,0.7156862745098039,0.7981651376146789,0.8859649122807017,0.7142857142857143,0.6385542168674698,0.7321428571428572,0.7087378640776699,0.0,0.8793103448275862,0.8888888888888888,0.8672566371681416,0.8632478632478633,0.7692307692307692,0.7592592592592593,0.7304347826086957,0.7543859649122807,0.7610619469026548,0.6907216494845361,0.7128712871287128,0.7238095238095238,0.7184466019417476,0.6382978723404256,0.7058823529411764,0.6666666666666667,0.696969696969697,0.7052631578947368,0.8803418803418803,0.7833333333333333,0.7289719626168225,0.7719298245614035,0.8387096774193549,0.8823529411764706,0.7387387387387387,0.9405940594059405
3BXR_DRR,0.8362068965517242,0.8461538461538461,0.8991596638655462,0.8392857142857143,0.8857142857142857,0.8412698412698413,0.829059829059829,0.8793103448275862,0.0,0.37142857142857144,0.5806451612903225,0.6699029126213591,0.8620689655172413,0.8305084745762712,0.8549618320610687,0.8412698412698413,0.8387096774193549,0.8898305084745762,0.9016393442622951,0.8780487804878049,0.8852459016393442,0.8620689655172413,0.8666666666666667,0.8852459016393442,0.8823529411764706,0.8558558558558559,0.65,0.5148514851485149,0.4946236559139785,0.5,0.505050505050505,0.5729166666666667,0.8661417322834646,0.900990099009901
3BXS_DRS,0.8383838383838383,0.8613861386138614,0.9223300970873787,0.8421052631578947,0.8850574712643678,0.8648648648648649,0.83,0.8888888888888888,0.37142857142857144,0.0,0.4864864864864865,0.6071428571428572,0.88,0.854368932038835,0.8695652173913043,0.8648648648648649,0.8623853211009174,0.89,0.9038461538461539,0.8867924528301887,0.8952380952380953,0.8910891089108911,0.8952380952380953,0.9056603773584906,0.892156862745098,0.8854166666666666,0.6309523809523809,0.6868686868686869,0.6666666666666667,0.6808510638297872,0.6666666666666667,0.5,0.8828828828828829,0.9166666666666666
