,3UUA_0CZ,2B1Z_17M,4MG7_27H,4MG9_27K,4MGD_27N,2B1V_458,2FAI_459,5DLR_5DJ,1ZKY_689,5T92_77W,5TLL_7EL,5FQT_7QN,5AK2_85Z,1XQC_AEJ,1XP1_AIH,1XP9_AIJ,1XPC_AIT,1XP6_AIU,1YIN_CM3,1YIM_CM4,5KR9_CUE,2Q70_DC8,1SJ0_E4D,1QKT_EST,6DF6_G8Y,1X7R_GEN,5FQP_GQD,5AAV_GW5,2IOG_IOG,2IOK_IOK,5FQS_J0W,2QE4_JJ3,5ACC_KE9,2AYR_L4G,2R6W_LLB,2R6Y_LLC,6SUO_LVH,5KCD_OB2,5KCE_OB3,5KCU_OB8,1UOM_PTI,5FQR_QHG,5FQV_VQI,2POG_WST,5AAU_XBR,1GWQ_ZTW
3UUA_0CZ,0.0,0.86,0.8620689655172413,0.7837837837837838,0.6785714285714286,0.8367346938775511,0.8367346938775511,0.75,0.84,0.8688524590163934,0.8,0.9032258064516129,0.875,0.8888888888888888,0.8709677419354839,0.873015873015873,0.873015873015873,0.8709677419354839,0.8615384615384616,0.8688524590163934,0.8205128205128205,0.782608695652174,0.8688524590163934,0.86,0.8805970149253731,0.8095238095238095,0.8833333333333333,0.9148936170212766,0.88,0.8363636363636364,0.8870967741935484,0.8518518518518519,0.9,0.8787878787878788,0.8769230769230769,0.8666666666666667,0.8873239436619719,0.8461538461538461,0.8571428571428572,0.8688524590163934,0.8888888888888888,0.8833333333333333,0.90625,0.8222222222222222,0.9166666666666666,0.7714285714285715
2B1Z_17M,0.86,0.0,0.7916666666666666,0.8421052631578947,0.84,0.835820895522388,0.8,0.8490566037735849,0.8208955223880597,0.7837837837837838,0.85,0.8289473684210527,0.8227848101265822,0.7866666666666666,0.8481012658227848,0.85,0.85,0.8481012658227848,0.8690476190476191,0.8311688311688312,0.8035714285714286,0.796875,0.8607594936708861,0.6779661016949152,0.8571428571428572,0.8548387096774194,0.8108108108108107,0.9090909090909091,0.8586956521739131,0.8666666666666667,0.8,0.7971014492753623,0.8735632183908046,0.75,0.7792207792207793,0.8133333333333334,0.8235294117647058,0.8260869565217391,0.8194444444444444,0.7837837837837838,0.8181818181818181,0.7945205479452055,0.8481012658227848,0.8064516129032258,0.8533333333333333,0.7450980392156863
4MG7_27H,0.8620689655172413,0.7916666666666666,0.0,0.728813559322034,0.8448275862068966,0.7571428571428571,0.8082191780821918,0.8333333333333334,0.8266666666666667,0.8488372093023255,0.8529411764705882,0.8048780487804879,0.8539325842696629,0.8764044943820225,0.8505747126436781,0.8255813953488372,0.8255813953488372,0.8505747126436781,0.8571428571428572,0.8352941176470589,0.8823529411764706,0.821917808219178,0.8620689655172413,0.8243243243243243,0.8586956521739131,0.8571428571428572,0.8170731707317074,0.875,0.8484848484848485,0.8395061728395061,0.8214285714285714,0.8354430379746836,0.8854166666666666,0.8571428571428572,0.7738095238095238,0.7901234567901234,0.8404255319148937,0.8311688311688312,0.8395061728395061,0.8352941176470589,0.8764044943820225,0.8313253012048193,0.8372093023255813,0.863013698630137,0.8823529411764706,0.8769230769230769
4MG9_27K,0.7837837837837838,0.8421052631578947,0.728813559322034,0.0,0.7894736842105263,0.8,0.8214285714285714,0.7435897435897436,0.8245614035087719,0.8529411764705882,0.8367346938775511,0.8333333333333334,0.8428571428571429,0.9027777777777778,0.803030303030303,0.8235294117647058,0.8235294117647058,0.803030303030303,0.8142857142857143,0.8,0.8297872340425532,0.8596491228070176,0.8181818181818181,0.8421052631578947,0.8493150684931507,0.8200000000000001,0.8307692307692307,0.7755102040816326,0.8076923076923077,0.8032786885245902,0.835820895522388,0.7966101694915254,0.8831168831168831,0.8142857142857143,0.7384615384615385,0.7377049180327868,0.8717948717948718,0.8305084745762712,0.8412698412698413,0.8181818181818181,0.8382352941176471,0.8307692307692307,0.855072463768116,0.8518518518518519,0.8615384615384616,0.8181818181818181
4MGD_27N,0.6785714285714286,0.84,0.8448275862068966,0.7894736842105263,0.0,0.84,0.84,0.71875,0.8431372549019608,0.8709677419354839,0.775,0.8870967741935484,0.8939393939393939,0.873015873015873,0.873015873015873,0.8571428571428572,0.8571428571428572,0.873015873015873,0.8805970149253731,0.8709677419354839,0.825,0.8125,0.8709677419354839,0.8627450980392157,0.8985507246376812,0.813953488372093,0.8666666666666667,0.8936170212765957,0.8666666666666667,0.8181818181818181,0.8709677419354839,0.8545454545454545,0.9166666666666666,0.8970588235294118,0.8787878787878788,0.8688524590163934,0.904109589041096,0.8269230769230769,0.8181818181818181,0.8524590163934427,0.873015873015873,0.8666666666666667,0.890625,0.8260869565217391,0.8813559322033898,0.7777777777777778
2B1V_458,0.8367346938775511,0.835820895522388,0.7571428571428571,0.8,0.84,0.0,0.5555555555555556,0.78,0.5094339622641509,0.8607594936708861,0.85,0.8133333333333334,0.8518518518518519,0.8333333333333334,0.7702702702702703,0.7733333333333333,0.7733333333333333,0.7702702702702703,0.782051282051282,0.7671232876712328,0.8448275862068966,0.6949152542372881,0.7837837837837838,0.8181818181818181,0.8433734939759037,0.8166666666666667,0.8108108108108107,0.8571428571428572,0.8586956521739131,0.8356164383561644,0.8461538461538461,0.703125,0.8863636363636364,0.8690476190476191,0.8395061728395061,0.858974358974359,0.8636363636363636,0.7727272727272727,0.8028169014084507,0.8,0.8181818181818181,0.8108108108108107,0.8181818181818181,0.7241379310344828,0.8378378378378378,0.8571428571428572
2FAI_459,0.8367346938775511,0.8,0.8082191780821918,0.8214285714285714,0.84,0.5555555555555556,0.0,0.803921568627451,0.537037037037037,0.8461538461538461,0.85,0.7972972972972973,0.8375,0.8181818181818181,0.7183098591549295,0.7567567567567568,0.7567567567567568,0.7183098591549295,0.75,0.7323943661971831,0.8448275862068966,0.7377049180327868,0.7671232876712328,0.78125,0.8292682926829268,0.8360655737704918,0.7777777777777778,0.8387096774193549,0.8461538461538461,0.8194444444444444,0.8157894736842105,0.703125,0.8604651162790697,0.8554216867469879,0.810126582278481,0.858974358974359,0.8372093023255813,0.791044776119403,0.8194444444444444,0.8157894736842105,0.8026315789473684,0.7945205479452055,0.8181818181818181,0.7241379310344828,0.8378378378378378,0.8571428571428572
5DLR_5DJ,0.75,0.8490566037735849,0.8333333333333334,0.7435897435897436,0.71875,0.78,0.803921568627451,0.0,0.8076923076923077,0.8412698412698413,0.7906976744186046,0.8387096774193549,0.8484848484848485,0.84375,0.8615384615384616,0.8636363636363636,0.8636363636363636,0.8615384615384616,0.8695652173913043,0.859375,0.8095238095238095,0.8235294117647058,0.859375,0.8703703703703703,0.9027777777777778,0.8260869565217391,0.8360655737704918,0.75,0.8421052631578947,0.8070175438596492,0.8412698412698413,0.8421052631578947,0.8591549295774648,0.9014084507042254,0.8507462686567164,0.8387096774193549,0.8472222222222222,0.7924528301886793,0.8275862068965517,0.8412698412698413,0.84375,0.8360655737704918,0.8615384615384616,0.8125,0.85,0.7948717948717949
1ZKY_689,0.84,0.8208955223880597,0.8266666666666667,0.8245614035087719,0.8431372549019608,0.5094339622641509,0.537037037037037,0.8076923076923077,0.0,0.8481012658227848,0.8524590163934427,0.8,0.8536585365853658,0.8051948051948052,0.7397260273972603,0.76,0.76,0.7397260273972603,0.736842105263158,0.7361111111111112,0.847457627118644,0.7419354838709677,0.7702702702702703,0.8208955223880597,0.8313253012048193,0.819672131147541,0.7808219178082192,0.8769230769230769,0.8602150537634409,0.8378378378378378,0.8333333333333334,0.7272727272727273,0.875,0.8705882352941177,0.8414634146341463,0.875,0.8522727272727273,0.7384615384615385,0.7714285714285715,0.7866666666666666,0.8051948051948052,0.7972972972972973,0.8051948051948052,0.75,0.8243243243243243,0.8596491228070176
5T92_77W,0.8688524590163934,0.7837837837837838,0.8488372093023255,0.8529411764705882,0.8709677419354839,0.8607594936708861,0.8461538461538461,0.8412698412698413,0.8481012658227848,0.0,0.8591549295774648,0.6533333333333333,0.6538461538461539,0.7439024390243902,0.8555555555555556,0.8571428571428572,0.8571428571428572,0.8555555555555556,0.8369565217391304,0.8539325842696629,0.8382352941176471,0.8289473684210527,0.8666666666666667,0.7671232876712328,0.8631578947368421,0.863013698630137,0.6301369863013699,0.7272727272727273,0.8415841584158416,0.8588235294117648,0.3548387096774194,0.8690476190476191,0.735632183908046,0.8494623655913979,0.8351648351648352,0.8390804597701149,0.6976744186046512,0.8375,0.8313253012048193,0.8539325842696629,0.7738095238095238,0.5714285714285714,0.6081081081081081,0.868421052631579,0.8192771084337349,0.8656716417910448
