,4DGR_3LV,1F8E_49A,1F8C_4AM,1F8D_9AM,1XOE_ABX,2QWC_DAN,1BJI_DPC,2QWF_G20,2QWG_G28,2QWH_G39,2QWB_SIA,2QWE_ZMR
4DGR_3LV,0.0,0.8767123287671232,0.863013698630137,0.8767123287671232,0.8767123287671232,0.8611111111111112,0.810126582278481,0.7948717948717949,0.8472222222222222,0.8142857142857143,0.863013698630137,0.8461538461538461
1F8E_49A,0.8767123287671232,0.0,0.16279069767441856,0.2272727272727273,0.835820895522388,0.375,0.5483870967741935,0.6363636363636364,0.4509803921568627,0.6379310344827587,0.6140350877192983,0.4363636363636364
1F8C_4AM,0.863013698630137,0.16279069767441856,0.0,0.35416666666666663,0.8382352941176471,0.24444444444444446,0.5555555555555556,0.6417910447761195,0.46153846153846156,0.6440677966101696,0.5185185185185186,0.32692307692307687
1F8D_9AM,0.8767123287671232,0.2272727272727273,0.35416666666666663,0.0,0.835820895522388,0.18604651162790697,0.6363636363636364,0.6363636363636364,0.5636363636363637,0.6610169491525424,0.6140350877192983,0.4363636363636364
1XOE_ABX,0.8767123287671232,0.835820895522388,0.8382352941176471,0.835820895522388,0.0,0.835820895522388,0.8607594936708861,0.8607594936708861,0.855072463768116,0.803030303030303,0.8208955223880597,0.8378378378378378
2QWC_DAN,0.8611111111111112,0.375,0.24444444444444446,0.18604651162790697,0.835820895522388,0.0,0.6567164179104478,0.6567164179104478,0.5892857142857143,0.6833333333333333,0.5094339622641509,0.34615384615384615
1BJI_DPC,0.810126582278481,0.5483870967741935,0.5555555555555556,0.6363636363636364,0.8607594936708861,0.6567164179104478,0.0,0.5217391304347826,0.31481481481481477,0.6811594202898551,0.7702702702702703,0.6756756756756757
2QWF_G20,0.7948717948717949,0.6363636363636364,0.6417910447761195,0.6363636363636364,0.8607594936708861,0.6567164179104478,0.5217391304347826,0.0,0.5081967213114754,0.7183098591549295,0.7866666666666666,0.4193548387096774
2QWG_G28,0.8472222222222222,0.4509803921568627,0.46153846153846156,0.5636363636363637,0.855072463768116,0.5892857142857143,0.31481481481481477,0.5081967213114754,0.0,0.6206896551724138,0.7301587301587302,0.6190476190476191
2QWH_G39,0.8142857142857143,0.6379310344827587,0.6440677966101696,0.6610169491525424,0.803030303030303,0.6833333333333333,0.6811594202898551,0.7183098591549295,0.6206896551724138,0.0,0.7301587301587302,0.7014925373134329
2QWB_SIA,0.863013698630137,0.6140350877192983,0.5185185185185186,0.6140350877192983,0.8208955223880597,0.5094339622641509,0.7702702702702703,0.7866666666666666,0.7301587301587302,0.7301587301587302,0.0,0.5967741935483871
2QWE_ZMR,0.8461538461538461,0.4363636363636364,0.32692307692307687,0.4363636363636364,0.8378378378378378,0.34615384615384615,0.6756756756756757,0.4193548387096774,0.6190476190476191,0.7014925373134329,0.5967741935483871,0.0
