,1HW8_114,1HWI_115,1HWJ_116,1HWK_117,3CCT_3HI,3CCW_4HI,3CCZ_5HI,3CD0_6HI,3CD5_7HI,2Q1L_882,3CDA_8HI,3CDB_9HI,1HWL_FBI,2Q6C_HR1,2Q6B_HR2,3BGL_RID,2R4F_RIE,1HW9_SIM
1HW8_114,0.0,0.797752808988764,0.7441860465116279,0.735632183908046,0.7472527472527473,0.7717391304347826,0.7789473684210526,0.7741935483870968,0.7526881720430108,0.7666666666666666,0.7676767676767677,0.7708333333333334,0.7555555555555555,0.7857142857142857,0.7473684210526316,0.7473684210526316,0.7789473684210526,0.4383561643835616
1HWI_115,0.797752808988764,0.0,0.6164383561643836,0.5492957746478873,0.5733333333333333,0.5866666666666667,0.620253164556962,0.5733333333333333,0.7176470588235294,0.49275362318840576,0.5625,0.6296296296296297,0.6708860759493671,0.4225352112676056,0.5454545454545454,0.617283950617284,0.6375,0.8111111111111111
1HWJ_116,0.7441860465116279,0.6164383561643836,0.0,0.5555555555555556,0.5789473684210527,0.5540540540540541,0.5897435897435898,0.5205479452054795,0.735632183908046,0.5416666666666667,0.6024096385542168,0.6,0.417910447761194,0.5696202531645569,0.5696202531645569,0.6049382716049383,0.6075949367088608,0.7586206896551724
1HWK_117,0.735632183908046,0.5492957746478873,0.5555555555555556,0.0,0.16666666666666663,0.3970588235294118,0.4225352112676056,0.5714285714285714,0.4657534246575342,0.3787878787878788,0.4473684210526315,0.3943661971830986,0.6153846153846154,0.5802469135802469,0.5625,0.3802816901408451,0.617283950617284,0.7777777777777778
3CCT_3HI,0.7472527472527473,0.5733333333333333,0.5789473684210527,0.16666666666666663,0.0,0.4305555555555556,0.45333333333333337,0.5925925925925926,0.55,0.4794520547945206,0.5121951219512195,0.4473684210526315,0.6341463414634146,0.6,0.5833333333333333,0.41333333333333333,0.6352941176470588,0.7872340425531915
3CCW_4HI,0.7717391304347826,0.5866666666666667,0.5540540540540541,0.3970588235294118,0.4305555555555556,0.0,0.25757575757575757,0.4305555555555556,0.5975609756097561,0.5135135135135135,0.5764705882352941,0.5,0.5769230769230769,0.611764705882353,0.627906976744186,0.5063291139240507,0.5802469135802469,0.7849462365591398
3CCZ_5HI,0.7789473684210526,0.620253164556962,0.5897435897435898,0.4225352112676056,0.45333333333333337,0.25757575757575757,0.0,0.5679012345679013,0.611764705882353,0.5324675324675325,0.5909090909090908,0.5365853658536586,0.6097560975609756,0.6404494382022472,0.6404494382022472,0.524390243902439,0.5783132530120482,0.7916666666666666
3CD0_6HI,0.7741935483870968,0.5733333333333333,0.5205479452054795,0.5714285714285714,0.5925925925925926,0.4305555555555556,0.5679012345679013,0.0,0.6818181818181819,0.45833333333333337,0.5301204819277108,0.5952380952380952,0.5066666666666666,0.5308641975308642,0.5487804878048781,0.6477272727272727,0.5679012345679013,0.7872340425531915
3CD5_7HI,0.7526881720430108,0.7176470588235294,0.735632183908046,0.4657534246575342,0.55,0.5975609756097561,0.611764705882353,0.6818181818181819,0.0,0.5696202531645569,0.5909090909090908,0.6206896551724138,0.7472527472527473,0.7127659574468085,0.6404494382022472,0.625,0.7173913043478262,0.7659574468085106
2Q1L_882,0.7666666666666666,0.49275362318840576,0.5416666666666667,0.3787878787878788,0.4794520547945206,0.5135135135135135,0.5324675324675325,0.45833333333333337,0.5696202531645569,0.0,0.16923076923076918,0.5443037974683544,0.6025641025641026,0.43243243243243246,0.43243243243243246,0.55,0.5696202531645569,0.7666666666666666
3CDA_8HI,0.7676767676767677,0.5625,0.6024096385542168,0.4473684210526315,0.5121951219512195,0.5764705882352941,0.5909090909090908,0.5301204819277108,0.5909090909090908,0.16923076923076918,0.0,0.5348837209302326,0.6206896551724138,0.5058823529411764,0.5058823529411764,0.5568181818181819,0.6222222222222222,0.7920792079207921
3CDB_9HI,0.7708333333333334,0.6296296296296297,0.6,0.3943661971830986,0.4473684210526315,0.5,0.5365853658536586,0.5952380952380952,0.6206896551724138,0.5443037974683544,0.5348837209302326,0.0,0.6190476190476191,0.6333333333333333,0.6179775280898876,0.4025974025974026,0.6813186813186813,0.7959183673469388
1HWL_FBI,0.7555555555555555,0.6708860759493671,0.417910447761194,0.6153846153846154,0.6341463414634146,0.5769230769230769,0.6097560975609756,0.5066666666666666,0.7472527472527473,0.6025641025641026,0.6206896551724138,0.6190476190476191,0.0,0.6395348837209303,0.6395348837209303,0.6235294117647059,0.575,0.7692307692307692
2Q6C_HR1,0.7857142857142857,0.4225352112676056,0.5696202531645569,0.5802469135802469,0.6,0.611764705882353,0.6404494382022472,0.5308641975308642,0.7127659574468085,0.43243243243243246,0.5058823529411764,0.6333333333333333,0.6395348837209303,0.0,0.430379746835443,0.6222222222222222,0.5595238095238095,0.797979797979798
2Q6B_HR2,0.7473684210526316,0.5454545454545454,0.5696202531645569,0.5625,0.5833333333333333,0.627906976744186,0.6404494382022472,0.5487804878048781,0.6404494382022472,0.43243243243243246,0.5058823529411764,0.6179775280898876,0.6395348837209303,0.430379746835443,0.0,0.5747126436781609,0.5764705882352941,0.7473684210526316
3BGL_RID,0.7473684210526316,0.617283950617284,0.6049382716049383,0.3802816901408451,0.41333333333333333,0.5063291139240507,0.524390243902439,0.6477272727272727,0.625,0.55,0.5568181818181819,0.4025974025974026,0.6235294117647059,0.6222222222222222,0.5747126436781609,0.0,0.6404494382022472,0.7857142857142857
2R4F_RIE,0.7789473684210526,0.6375,0.6075949367088608,0.617283950617284,0.6352941176470588,0.5802469135802469,0.5783132530120482,0.5679012345679013,0.7173913043478262,0.5696202531645569,0.6222222222222222,0.6813186813186813,0.575,0.5595238095238095,0.5764705882352941,0.6404494382022472,0.0,0.7916666666666666
