,1ZGB_A1E,1ZGC_A2E,2CKM_AA7,5NAU_DZ0,5NAP_DZ7,1H22_E10,1H23_E12,1EVE_E20,1W4L_GL8,1W6R_GNT,5BWC_HBP,1GPN_HUB,1GPK_HUP,1E66_HUX,5E4T_MBT
1ZGB_A1E,0.0,0.0,0.39655172413793105,0.8602150537634409,0.8723404255319149,0.39655172413793105,0.39655172413793105,0.8333333333333334,0.875,0.94,0.881578947368421,0.8117647058823529,0.8214285714285714,0.8555555555555556,0.8918918918918919
1ZGC_A2E,0.0,0.0,0.39655172413793105,0.8602150537634409,0.8723404255319149,0.39655172413793105,0.39655172413793105,0.8333333333333334,0.875,0.94,0.881578947368421,0.8117647058823529,0.8214285714285714,0.8555555555555556,0.8918918918918919
2CKM_AA7,0.39655172413793105,0.39655172413793105,0.0,0.8783783783783784,0.8933333333333333,0.7931034482758621,0.7931034482758621,0.8611111111111112,0.9042553191489362,0.9493670886075949,0.8301886792452831,0.9315068493150684,0.9295774647887324,0.8405797101449275,0.8653846153846154
5NAU_DZ0,0.8602150537634409,0.8602150537634409,0.8783783783783784,0.0,0.2222222222222222,0.8783783783783784,0.8783783783783784,0.5606060606060606,0.8282828282828283,0.8148148148148149,0.8805970149253731,0.8625,0.8734177215189873,0.8928571428571429,0.9090909090909091
5NAP_DZ7,0.8723404255319149,0.8723404255319149,0.8933333333333333,0.2222222222222222,0.0,0.8783783783783784,0.8783783783783784,0.4426229508196722,0.8041237113402062,0.7848101265822784,0.8970588235294118,0.8625,0.8734177215189873,0.8928571428571429,0.9090909090909091
1H22_E10,0.39655172413793105,0.39655172413793105,0.7931034482758621,0.8783783783783784,0.8783783783783784,0.0,0.0,0.8611111111111112,0.8681318681318682,0.922077922077922,0.8928571428571429,0.7419354838709677,0.7540983606557377,0.904109589041096,0.9272727272727272
1H23_E12,0.39655172413793105,0.39655172413793105,0.7931034482758621,0.8783783783783784,0.8783783783783784,0.0,0.0,0.8611111111111112,0.8681318681318682,0.922077922077922,0.8928571428571429,0.7419354838709677,0.7540983606557377,0.904109589041096,0.9272727272727272
1EVE_E20,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.5606060606060606,0.4426229508196722,0.8611111111111112,0.8611111111111112,0.0,0.8144329896907216,0.8271604938271605,0.9117647058823529,0.8607594936708861,0.8717948717948718,0.8641975308641976,0.9076923076923077
1W4L_GL8,0.875,0.875,0.9042553191489362,0.8282828282828283,0.8041237113402062,0.8681318681318682,0.8681318681318682,0.8144329896907216,0.0,0.5316455696202531,0.8414634146341463,0.900990099009901,0.91,0.9134615384615384,0.9425287356321839
1W6R_GNT,0.94,0.94,0.9493670886075949,0.8148148148148149,0.7848101265822784,0.922077922077922,0.922077922077922,0.8271604938271605,0.5316455696202531,0.0,0.9130434782608696,0.9036144578313253,0.8875,0.9186046511627907,0.9253731343283582
5BWC_HBP,0.881578947368421,0.881578947368421,0.8301886792452831,0.8805970149253731,0.8970588235294118,0.8928571428571429,0.8928571428571429,0.9117647058823529,0.8414634146341463,0.9130434782608696,0.0,0.9393939393939394,0.9375,0.9411764705882353,0.9148936170212766
1GPN_HUB,0.8117647058823529,0.8117647058823529,0.9315068493150684,0.8625,0.8625,0.7419354838709677,0.7419354838709677,0.8607594936708861,0.900990099009901,0.9036144578313253,0.9393939393939394,0.0,0.576271186440678,0.8860759493670887,0.9016393442622951
1GPK_HUP,0.8214285714285714,0.8214285714285714,0.9295774647887324,0.8734177215189873,0.8734177215189873,0.7540983606557377,0.7540983606557377,0.8717948717948718,0.91,0.8875,0.9375,0.576271186440678,0.0,0.8831168831168831,0.9166666666666666
1E66_HUX,0.8555555555555556,0.8555555555555556,0.8405797101449275,0.8928571428571429,0.8928571428571429,0.904109589041096,0.904109589041096,0.8641975308641976,0.9134615384615384,0.9186046511627907,0.9411764705882353,0.8860759493670887,0.8831168831168831,0.0,0.85
5E4T_MBT,0.8918918918918919,0.8918918918918919,0.8653846153846154,0.9090909090909091,0.9090909090909091,0.9272727272727272,0.9272727272727272,0.9076923076923077,0.9425287356321839,0.9253731343283582,0.9148936170212766,0.9016393442622951,0.9166666666666666,0.85,0.0
