,4Q1Y_017,1ODW_0E8,1BWB_146,1HWR_216,4U7Q_3EM,4U7V_3EN,5DGW_5B5,5DGU_5B7,1QBU_846,6DJ1_AB1,1QBS_DMP,1DMP_DMQ,6DJ7_G10,6DV4_GA5,6DV0_GA8,6E7J_HWY,6E9A_J0S,1ODY_LP1,1HVH_Q82,1HXB_ROC,6DIF_TPV,1HVR_XK2,1QBR_XV6
4Q1Y_017,0.0,0.675,0.8598130841121495,0.8522727272727273,0.7478991596638656,0.6979166666666667,0.32558139534883723,0.2716049382716049,0.8482142857142857,0.7476635514018692,0.8409090909090909,0.8202247191011236,0.26249999999999996,0.5588235294117647,0.5631067961165048,0.49473684210526314,0.43181818181818177,0.8090909090909091,0.8631578947368421,0.75,0.8524590163934427,0.8586956521739131,0.8584905660377359
1ODW_0E8,0.675,0.0,0.8354430379746836,0.8166666666666667,0.7065217391304348,0.6029411764705883,0.7045454545454546,0.6904761904761905,0.8488372093023255,0.6666666666666667,0.8,0.8095238095238095,0.6867469879518072,0.6235294117647059,0.627906976744186,0.7011494252873562,0.6829268292682926,0.7976190476190477,0.835820895522388,0.7222222222222222,0.8297872340425532,0.828125,0.8333333333333334
1BWB_146,0.8598130841121495,0.8354430379746836,0.0,0.5967741935483871,0.865546218487395,0.84375,0.8596491228070176,0.8545454545454545,0.44594594594594594,0.8349514563106796,0.5333333333333333,0.4833333333333333,0.8636363636363636,0.7909090909090909,0.8141592920353982,0.8272727272727273,0.819047619047619,0.8415841584158416,0.6571428571428571,0.8198198198198199,0.8440366972477065,0.4833333333333333,0.3787878787878788
1HWR_216,0.8522727272727273,0.8166666666666667,0.5967741935483871,0.0,0.8823529411764706,0.8461538461538461,0.8645833333333334,0.8586956521739131,0.6376811594202898,0.8488372093023255,0.40476190476190477,0.4444444444444444,0.8571428571428572,0.845360824742268,0.87,0.8387096774193549,0.8295454545454546,0.896551724137931,0.5961538461538461,0.865979381443299,0.8586956521739131,0.4444444444444444,0.5901639344262295
4U7Q_3EM,0.7478991596638656,0.7065217391304348,0.865546218487395,0.8823529411764706,0.0,0.39534883720930236,0.7637795275590551,0.7661290322580645,0.8360655737704918,0.6875,0.8725490196078431,0.854368932038835,0.743801652892562,0.7878787878787878,0.7803030303030303,0.752,0.7416666666666667,0.736842105263158,0.8899082568807339,0.803030303030303,0.8409090909090909,0.8761904761904762,0.8245614035087719
4U7V_3EN,0.6979166666666667,0.6029411764705883,0.84375,0.8461538461538461,0.39534883720930236,0.0,0.7333333333333334,0.7227722772277227,0.8200000000000001,0.6333333333333333,0.8333333333333334,0.825,0.7070707070707071,0.7636363636363637,0.7545454545454545,0.7307692307692308,0.7171717171717171,0.7755102040816326,0.8452380952380952,0.7592592592592593,0.8482142857142857,0.8536585365853658,0.8043478260869565
5DGW_5B5,0.32558139534883723,0.7045454545454546,0.8596491228070176,0.8645833333333334,0.7637795275590551,0.7333333333333334,0.0,0.15000000000000002,0.8583333333333334,0.7652173913043478,0.8541666666666666,0.8585858585858586,0.4193548387096774,0.5096153846153846,0.5142857142857142,0.44329896907216493,0.39560439560439564,0.8017241379310345,0.8737864077669903,0.776,0.84375,0.846938775510204,0.868421052631579
5DGU_5B7,0.2716049382716049,0.6904761904761905,0.8545454545454545,0.8586956521739131,0.7661290322580645,0.7227722772277227,0.15000000000000002,0.0,0.853448275862069,0.7567567567567568,0.8478260869565217,0.8526315789473684,0.375,0.49,0.49504950495049505,0.4193548387096774,0.367816091954023,0.8157894736842105,0.8686868686868687,0.768595041322314,0.8571428571428572,0.8404255319148937,0.8636363636363636
1QBU_846,0.8482142857142857,0.8488372093023255,0.44594594594594594,0.6376811594202898,0.8360655737704918,0.8200000000000001,0.8583333333333334,0.853448275862069,0.0,0.8240740740740741,0.582089552238806,0.5151515151515151,0.8620689655172413,0.7931034482758621,0.8050847457627118,0.8376068376068376,0.8407079646017699,0.8727272727272728,0.7051282051282051,0.8403361344537815,0.8230088495575221,0.5588235294117647,0.1311475409836066
6DJ1_AB1,0.7476635514018692,0.6666666666666667,0.8349514563106796,0.8488372093023255,0.6875,0.6333333333333333,0.7652173913043478,0.7567567567567568,0.8240740740740741,0.0,0.8372093023255813,0.8295454545454546,0.7545454545454545,0.7606837606837606,0.7627118644067796,0.7297297297297297,0.7289719626168225,0.7714285714285715,0.8602150537634409,0.7456140350877193,0.85,0.8555555555555556,0.8217821782178218
1QBS_DMP,0.8409090909090909,0.8,0.5333333333333333,0.40476190476190477,0.8725490196078431,0.8333333333333334,0.8541666666666666,0.8478260869565217,0.582089552238806,0.8372093023255813,0.0,0.34883720930232553,0.8461538461538461,0.8350515463917526,0.86,0.8279569892473118,0.8314606741573034,0.8850574712643678,0.3555555555555555,0.8556701030927836,0.8723404255319149,0.30952380952380953,0.5254237288135593
1DMP_DMQ,0.8202247191011236,0.8095238095238095,0.4833333333333333,0.4444444444444444,0.854368932038835,0.825,0.8585858585858586,0.8526315789473684,0.5151515151515151,0.8295454545454546,0.34883720930232553,0.0,0.8260869565217391,0.8163265306122449,0.8415841584158416,0.8333333333333334,0.8241758241758241,0.8372093023255813,0.5740740740740741,0.8484848484848485,0.8404255319148937,0.31818181818181823,0.47457627118644063
6DJ7_G10,0.26249999999999996,0.6867469879518072,0.8636363636363636,0.8571428571428572,0.743801652892562,0.7070707070707071,0.4193548387096774,0.375,0.8620689655172413,0.7545454545454545,0.8461538461538461,0.8260869565217391,0.0,0.5849056603773585,0.5887850467289719,0.5102040816326531,0.4505494505494505,0.8141592920353982,0.8673469387755102,0.7563025210084033,0.8373983739837398,0.851063829787234,0.8623853211009174
6DV4_GA5,0.5588235294117647,0.6235294117647059,0.7909090909090909,0.845360824742268,0.7878787878787878,0.7636363636363637,0.5096153846153846,0.49,0.7931034482758621,0.7606837606837606,0.8350515463917526,0.8163265306122449,0.5849056603773585,0.0,0.19318181818181823,0.5192307692307692,0.47959183673469385,0.8166666666666667,0.8557692307692308,0.7619047619047619,0.8384615384615385,0.8163265306122449,0.8
6DV0_GA8,0.5631067961165048,0.627906976744186,0.8141592920353982,0.87,0.7803030303030303,0.7545454545454545,0.5142857142857142,0.49504950495049505,0.8050847457627118,0.7627118644067796,0.86,0.8415841584158416,0.5887850467289719,0.19318181818181823,0.0,0.5238095238095238,0.48484848484848486,0.8278688524590164,0.8785046728971962,0.753968253968254,0.8484848484848485,0.83,0.8125
6E7J_HWY,0.49473684210526314,0.7011494252873562,0.8272727272727273,0.8387096774193549,0.752,0.7307692307692308,0.44329896907216493,0.4193548387096774,0.8376068376068376,0.7297297297297297,0.8279569892473118,0.8333333333333334,0.5102040816326531,0.5192307692307692,0.5238095238095238,0.0,0.2530120481927711,0.8305084745762712,0.85,0.743801652892562,0.8333333333333334,0.8210526315789474,0.8363636363636364
6E9A_J0S,0.43181818181818177,0.6829268292682926,0.819047619047619,0.8295454545454546,0.7416666666666667,0.7171717171717171,0.39560439560439564,0.367816091954023,0.8407079646017699,0.7289719626168225,0.8314606741573034,0.8241758241758241,0.4505494505494505,0.47959183673469385,0.48484848484848486,0.2530120481927711,0.0,0.8230088495575221,0.865979381443299,0.7542372881355932,0.8360655737704918,0.8241758241758241,0.8504672897196262
1ODY_LP1,0.8090909090909091,0.7976190476190477,0.8415841584158416,0.896551724137931,0.736842105263158,0.7755102040816326,0.8017241379310345,0.8157894736842105,0.8727272727272728,0.7714285714285715,0.8850574712643678,0.8372093023255813,0.8141592920353982,0.8166666666666667,0.8278688524590164,0.8305084745762712,0.8230088495575221,0.0,0.8924731182795699,0.7719298245614035,0.875,0.8372093023255813,0.8627450980392157
1HVH_Q82,0.8631578947368421,0.835820895522388,0.6571428571428571,0.5961538461538461,0.8899082568807339,0.8452380952380952,0.8737864077669903,0.8686868686868687,0.7051282051282051,0.8602150537634409,0.3555555555555555,0.5740740740740741,0.8673469387755102,0.8557692307692308,0.8785046728971962,0.85,0.865979381443299,0.8924731182795699,0.0,0.875,0.9019607843137255,0.5471698113207547,0.6714285714285715
1HXB_ROC,0.75,0.7222222222222222,0.8198198198198199,0.865979381443299,0.803030303030303,0.7592592592592593,0.776,0.768595041322314,0.8403361344537815,0.7456140350877193,0.8556701030927836,0.8484848484848485,0.7563025210084033,0.7619047619047619,0.753968253968254,0.743801652892562,0.7542372881355932,0.7719298245614035,0.875,0.0,0.8712121212121212,0.8367346938775511,0.8495575221238938
6DIF_TPV,0.8524590163934427,0.8297872340425532,0.8440366972477065,0.8586956521739131,0.8409090909090909,0.8482142857142857,0.84375,0.8571428571428572,0.8230088495575221,0.85,0.8723404255319149,0.8404255319148937,0.8373983739837398,0.8384615384615385,0.8484848484848485,0.8333333333333334,0.8360655737704918,0.875,0.9019607843137255,0.8712121212121212,0.0,0.8526315789473684,0.8317757009345794
1HVR_XK2,0.8586956521739131,0.828125,0.4833333333333333,0.4444444444444444,0.8761904761904762,0.8536585365853658,0.846938775510204,0.8404255319148937,0.5588235294117647,0.8555555555555556,0.30952380952380953,0.31818181818181823,0.851063829787234,0.8163265306122449,0.83,0.8210526315789474,0.8241758241758241,0.8372093023255813,0.5471698113207547,0.8367346938775511,0.8526315789473684,0.0,0.5
1QBR_XV6,0.8584905660377359,0.8333333333333334,0.3787878787878788,0.5901639344262295,0.8245614035087719,0.8043478260869565,0.868421052631579,0.8636363636363636,0.1311475409836066,0.8217821782178218,0.5254237288135593,0.47457627118644063,0.8623853211009174,0.8,0.8125,0.8363636363636364,0.8504672897196262,0.8627450980392157,0.6714285714285715,0.8495575221238938,0.8317757009345794,0.5,0.0
