,4ISH_1GE,4ISI_1GG,4JZD_1NJ,4JZE_1NK,4JZF_1NL,4JYV_1OJ,4JYU_1OK,4NA9_1T7,2EC9_24X,2BZ6_346,2ZZU_359,1WTG_3BP,4X8S_3Z7,4X8T_3Z8,4X8V_3Z9,4X8U_3ZB,1W7X_413,4YT6_4JY,4YT7_4K1,4ZXY_4T1,5L2Z_70C,5L2Y_70D,1W0Y_771,5TQE_7KQ,5TQG_7KS,2FLR_7NH,5U6J_82J,1YGC_905,2B7D_C1B,2C4F_GIL,1WUN_P5B,1WQV_PSM,1Z6J_PY3
4ISH_1GE,0.0,0.7889908256880733,0.7428571428571429,0.8376068376068376,0.8073394495412844,0.8760330578512396,0.8717948717948718,0.6,0.7981651376146789,0.7523809523809524,0.7603305785123967,0.8173076923076923,0.8133333333333334,0.8941176470588236,0.8130081300813008,0.8809523809523809,0.7722772277227723,0.7592592592592593,0.7719298245614035,0.9152542372881356,0.8656716417910448,0.8731343283582089,0.7777777777777778,0.8854961832061069,0.875,0.8529411764705882,0.8629032258064516,0.7837837837837838,0.7614678899082569,0.7614678899082569,0.8181818181818181,0.8611111111111112,0.8160000000000001
4ISI_1GG,0.7889908256880733,0.0,0.7735849056603774,0.864406779661017,0.8571428571428572,0.864406779661017,0.8596491228070176,0.7961165048543689,0.7352941176470589,0.7227722772277227,0.7350427350427351,0.7525773195876289,0.9259259259259259,0.9047619047619048,0.875,0.8780487804878049,0.803921568627451,0.7663551401869159,0.7454545454545455,0.8545454545454545,0.8461538461538461,0.8449612403100775,0.797979797979798,0.8387096774193549,0.8560606060606061,0.8144329896907216,0.8220338983050848,0.8333333333333334,0.7211538461538461,0.7685185185185185,0.7572815533980582,0.7525773195876289,0.7833333333333333
4JZD_1NJ,0.7428571428571429,0.7735849056603774,0.0,0.30379746835443033,0.2465753424657534,0.8347826086956522,0.8288288288288288,0.7722772277227723,0.5978260869565217,0.71,0.7350427350427351,0.801980198019802,0.8846153846153846,0.9047619047619048,0.8292682926829268,0.8780487804878049,0.7291666666666667,0.7307692307692308,0.7102803738317758,0.8849557522123894,0.8970588235294118,0.8962962962962963,0.7473684210526316,0.8837209302325582,0.8897058823529411,0.85,0.8512396694214877,0.7798165137614679,0.7570093457943925,0.6831683168316831,0.8148148148148149,0.801980198019802,0.7413793103448276
4JZE_1NK,0.8376068376068376,0.864406779661017,0.30379746835443033,0.0,0.2857142857142857,0.7787610619469026,0.6862745098039216,0.8468468468468469,0.7211538461538461,0.8125,0.8125,0.8532110091743119,0.8902439024390244,0.9090909090909091,0.8253968253968254,0.8837209302325582,0.7766990291262136,0.8275862068965517,0.8067226890756303,0.75,0.8333333333333334,0.83206106870229,0.7941176470588236,0.7768595041322314,0.8432835820895522,0.8446601941747574,0.856,0.829059829059829,0.8389830508474576,0.7876106194690266,0.8521739130434782,0.8532110091743119,0.7394957983193278
4JZF_1NL,0.8073394495412844,0.8571428571428572,0.2465753424657534,0.2857142857142857,0.0,0.8108108108108107,0.8256880733944953,0.8380952380952381,0.7040816326530612,0.8130841121495327,0.7833333333333333,0.81,0.881578947368421,0.9285714285714286,0.8360655737704918,0.8607594936708861,0.7628865979381443,0.8181818181818181,0.7857142857142857,0.8727272727272728,0.887218045112782,0.8863636363636364,0.78125,0.8818897637795275,0.8962962962962963,0.8105263157894737,0.7767857142857143,0.8303571428571428,0.8090909090909091,0.7281553398058253,0.822429906542056,0.8333333333333334,0.7586206896551724
4JYV_1OJ,0.8760330578512396,0.864406779661017,0.8347826086956522,0.7787610619469026,0.8108108108108107,0.0,0.32499999999999996,0.9152542372881356,0.8632478632478633,0.7685185185185185,0.8217054263565892,0.8425925925925926,0.8902439024390244,0.9213483146067416,0.7563025210084033,0.9090909090909091,0.7010309278350515,0.7289719626168225,0.7207207207207207,0.8181818181818181,0.8592592592592593,0.8582089552238806,0.8058252427184466,0.8346456692913385,0.8432835820895522,0.7731958762886598,0.8373983739837398,0.5876288659793815,0.8189655172413793,0.7876106194690266,0.831858407079646,0.8207547169811321,0.7804878048780488
4JYU_1OK,0.8717948717948718,0.8596491228070176,0.8288288288288288,0.6862745098039216,0.8256880733944953,0.32499999999999996,0.0,0.8727272727272728,0.8584070796460177,0.7714285714285715,0.8253968253968254,0.8252427184466019,0.8987341772151899,0.9176470588235294,0.7586206896551724,0.891566265060241,0.6739130434782609,0.7184466019417476,0.7222222222222222,0.74,0.828125,0.8267716535433071,0.7731958762886598,0.7586206896551724,0.8015873015873016,0.85,0.8416666666666667,0.6145833333333333,0.8125,0.8018018018018018,0.8256880733944953,0.8365384615384616,0.7933884297520661
4NA9_1T7,0.6,0.7961165048543689,0.7722772277227723,0.8468468468468469,0.8380952380952381,0.9152542372881356,0.8727272727272728,0.0,0.7575757575757576,0.77,0.7758620689655172,0.8144329896907216,0.92,0.8831168831168831,0.859504132231405,0.868421052631579,0.8282828282828283,0.7766990291262136,0.7547169811320755,0.8785046728971962,0.8571428571428572,0.8650793650793651,0.8229166666666666,0.859504132231405,0.8846153846153846,0.8279569892473118,0.8728813559322034,0.8130841121495327,0.7669902912621359,0.7669902912621359,0.8380952380952381,0.8613861386138614,0.8034188034188035
2EC9_24X,0.7981651376146789,0.7352941176470589,0.5978260869565217,0.7211538461538461,0.7040816326530612,0.8632478632478633,0.8584070796460177,0.7575757575757576,0.0,0.7450980392156863,0.7435897435897436,0.8,0.925,0.9294117647058824,0.8828125,0.8765432098765432,0.801980198019802,0.7641509433962264,0.7431192660550459,0.8938053097345133,0.8796992481203008,0.8787878787878788,0.7708333333333334,0.8828125,0.8721804511278195,0.8367346938775511,0.8305084745762712,0.8108108108108107,0.7547169811320755,0.5957446808510638,0.8130841121495327,0.7878787878787878,0.75
2BZ6_346,0.7523809523809524,0.7227722772277227,0.71,0.8125,0.8130841121495327,0.7685185185185185,0.7714285714285715,0.77,0.7450980392156863,0.0,0.7327586206896552,0.8,0.8974358974358975,0.9036144578313253,0.8181818181818181,0.8902439024390244,0.6404494382022472,0.5604395604395604,0.5729166666666667,0.8938053097345133,0.8359375,0.8346456692913385,0.7446808510638299,0.8650793650793651,0.8372093023255813,0.8712871287128713,0.8305084745762712,0.5652173913043479,0.7547169811320755,0.693069306930693,0.8018867924528301,0.8118811881188119,0.8306451612903226
