,3KPW_1SQ,3KPV_ADE,3KQY_ES0,3KPU_ES1,3KQM_ES3,3KQO_ES4,3KQP_ES5,3KQT_ES7,3KQW_ES9,3KR2_ET2,2G72_F21,2G8N_F83,2G71_FTS,2G70_HNT,3HCC_LT3,1YZ3_SKA,1HNN_SKF,2AN5_TTL,3KR1_VGD
3KPW_1SQ,0.0,0.8,0.75,0.6451612903225806,0.8787878787878788,0.868421052631579,0.6666666666666667,0.7428571428571429,0.8717948717948718,0.7894736842105263,0.9322033898305084,0.9344262295081968,0.9344262295081968,0.9230769230769231,0.8888888888888888,0.9285714285714286,0.9111111111111111,0.85,0.7894736842105263
3KPV_ADE,0.8,0.0,0.8461538461538461,0.8947368421052632,0.8064516129032258,0.40740740740740744,0.8421052631578947,0.8717948717948718,0.7777777777777778,0.85,0.95,0.9344262295081968,0.9344262295081968,0.9433962264150944,0.9361702127659575,0.9024390243902439,0.8863636363636364,0.9047619047619048,0.85
3KQY_ES0,0.75,0.8461538461538461,0.0,0.7142857142857143,0.8888888888888888,0.8780487804878049,0.7631578947368421,0.6944444444444444,0.8536585365853658,0.6388888888888888,0.935483870967742,0.9206349206349207,0.9375,0.9074074074074074,0.8723404255319149,0.9090909090909091,0.8695652173913043,0.8604651162790697,0.6388888888888888
3KPU_ES1,0.6451612903225806,0.8947368421052632,0.7142857142857143,0.0,0.8787878787878788,0.8974358974358975,0.7428571428571429,0.7777777777777778,0.8421052631578947,0.8780487804878049,0.95,0.9344262295081968,0.9516129032258065,0.9230769230769231,0.9130434782608696,0.9285714285714286,0.9111111111111111,0.85,0.8780487804878049
3KQM_ES3,0.8787878787878788,0.8064516129032258,0.8888888888888888,0.8787878787878788,0.0,0.8125,0.8857142857142857,0.8857142857142857,0.8181818181818181,0.8918918918918919,0.9454545454545454,0.9285714285714286,0.9285714285714286,0.9375,0.9534883720930233,0.9189189189189189,0.926829268292683,0.9210526315789473,0.8918918918918919
3KQO_ES4,0.868421052631579,0.40740740740740744,0.8780487804878049,0.8974358974358975,0.8125,0.0,0.875,0.875,0.7142857142857143,0.8809523809523809,0.9508196721311475,0.9,0.935483870967742,0.9444444444444444,0.9375,0.8780487804878049,0.9130434782608696,0.9069767441860466,0.825
3KQP_ES5,0.6666666666666667,0.8421052631578947,0.7631578947368421,0.7428571428571429,0.8857142857142857,0.875,0.0,0.7567567567567568,0.8205128205128205,0.736842105263158,0.9344262295081968,0.9365079365079365,0.9365079365079365,0.9259259259259259,0.8936170212765957,0.9318181818181819,0.8913043478260869,0.8837209302325582,0.736842105263158
3KQT_ES7,0.7428571428571429,0.8717948717948718,0.6944444444444444,0.7777777777777778,0.8857142857142857,0.875,0.7567567567567568,0.0,0.8780487804878049,0.8,0.9344262295081968,0.953125,0.953125,0.9454545454545454,0.8936170212765957,0.9318181818181819,0.9148936170212766,0.8571428571428572,0.8
3KQW_ES9,0.8717948717948718,0.7777777777777778,0.8536585365853658,0.8421052631578947,0.8181818181818181,0.7142857142857143,0.8205128205128205,0.8780487804878049,0.0,0.8,0.9166666666666666,0.8448275862068966,0.9193548387096774,0.9056603773584906,0.9166666666666666,0.8536585365853658,0.8913043478260869,0.9090909090909091,0.6285714285714286
3KR2_ET2,0.7894736842105263,0.85,0.6388888888888888,0.8780487804878049,0.8918918918918919,0.8809523809523809,0.736842105263158,0.8,0.8,0.0,0.9016393442622951,0.921875,0.9047619047619048,0.9090909090909091,0.8979591836734694,0.9111111111111111,0.8723404255319149,0.9130434782608696,0.3870967741935484
2G72_F21,0.9322033898305084,0.95,0.935483870967742,0.95,0.9454545454545454,0.9508196721311475,0.9344262295081968,0.9344262295081968,0.9166666666666666,0.9016393442622951,0.0,0.5901639344262295,0.4642857142857143,0.6,0.890625,0.8214285714285714,0.679245283018868,0.9016393442622951,0.9193548387096774
2G8N_F83,0.9344262295081968,0.9344262295081968,0.9206349206349207,0.9344262295081968,0.9285714285714286,0.9,0.9365079365079365,0.953125,0.8448275862068966,0.921875,0.5901639344262295,0.0,0.5084745762711864,0.5094339622641509,0.9104477611940298,0.8275862068965517,0.7142857142857143,0.8870967741935484,0.85
2G71_FTS,0.9344262295081968,0.9344262295081968,0.9375,0.9516129032258065,0.9285714285714286,0.935483870967742,0.9365079365079365,0.953125,0.9193548387096774,0.9047619047619048,0.4642857142857143,0.5084745762711864,0.0,0.6379310344827587,0.859375,0.8275862068965517,0.6666666666666667,0.9047619047619048,0.921875
