,5D45_57P,5EDC_5M7,5EDB_5M8,5HZ6_65Y,5HZ8_65Z,3FR2_8CA,5Y0G_8JL,5Y0F_8JO,5Y0X_8JR,5Y12_8JX,5Y13_8K0,1TOU_B1V,1TOW_CRZ,6LJT_EH6,6LJV_EHC,6LJW_EHO,6LJS_EHR,6LJU_EHU,3FR4_F8A,3FR5_I4A,5D47_L19,5D48_L96,2HNX_PLM
5D45_57P,0.0,0.7424242424242424,0.7580645161290323,0.7681159420289855,0.7462686567164178,0.7846153846153846,0.8378378378378378,0.8378378378378378,0.8513513513513513,0.7941176470588236,0.7846153846153846,0.8714285714285714,0.6122448979591837,0.7833333333333333,0.8108108108108107,0.8363636363636364,0.8070175438596492,0.7936507936507937,0.8082191780821918,0.7945205479452055,0.3220338983050848,0.4328358208955224,0.84
5EDC_5M7,0.7424242424242424,0.0,0.375,0.5172413793103448,0.26530612244897955,0.75,0.7916666666666666,0.7916666666666666,0.8378378378378378,0.8472222222222222,0.8405797101449275,0.7878787878787878,0.8103448275862069,0.7017543859649122,0.7285714285714286,0.8181818181818181,0.7894736842105263,0.7377049180327868,0.7777777777777778,0.7464788732394366,0.7804878048780488,0.8222222222222222,0.9272727272727272
5EDB_5M8,0.7580645161290323,0.375,0.0,0.43137254901960786,0.537037037037037,0.8064516129032258,0.7727272727272727,0.7727272727272727,0.8235294117647058,0.8333333333333334,0.84375,0.8615384615384616,0.8113207547169812,0.6923076923076923,0.7794117647058824,0.7959183673469388,0.7647058823529411,0.6851851851851851,0.8450704225352113,0.8142857142857143,0.7792207792207793,0.7951807228915663,0.8958333333333334
5HZ6_65Y,0.7681159420289855,0.5172413793103448,0.43137254901960786,0.0,0.640625,0.8285714285714285,0.7972972972972973,0.7972972972972973,0.8266666666666667,0.8513513513513513,0.8767123287671232,0.8611111111111112,0.8548387096774194,0.7540983606557377,0.7866666666666666,0.8448275862068966,0.8166666666666667,0.765625,0.8607594936708861,0.8333333333333334,0.7710843373493976,0.7586206896551724,0.9107142857142857
5HZ8_65Z,0.7462686567164178,0.26530612244897955,0.537037037037037,0.640625,0.0,0.7538461538461538,0.8266666666666667,0.8266666666666667,0.8552631578947368,0.8648648648648649,0.8591549295774648,0.791044776119403,0.8135593220338984,0.6842105263157895,0.7142857142857143,0.8214285714285714,0.7931034482758621,0.7419354838709677,0.7808219178082192,0.7671232876712328,0.7831325301204819,0.8241758241758241,0.9285714285714286
3FR2_8CA,0.7846153846153846,0.75,0.8064516129032258,0.8285714285714285,0.7538461538461538,0.0,0.7971014492753623,0.7971014492753623,0.7575757575757576,0.8208955223880597,0.8125,0.8484848484848485,0.7254901960784313,0.7272727272727273,0.75,0.7291666666666667,0.75,0.7627118644067796,0.31999999999999995,0.22916666666666663,0.8292682926829268,0.8275862068965517,0.9
5Y0G_8JL,0.8378378378378378,0.7916666666666666,0.7727272727272727,0.7972972972972973,0.8266666666666667,0.7971014492753623,0.0,0.33333333333333337,0.35185185185185186,0.5172413793103448,0.703125,0.8783783783783784,0.819672131147541,0.7777777777777778,0.8051948051948052,0.7636363636363637,0.7796610169491526,0.7878787878787878,0.7866666666666666,0.8051948051948052,0.788235294117647,0.8645833333333334,0.9122807017543859
5Y0F_8JO,0.8378378378378378,0.7916666666666666,0.7727272727272727,0.7972972972972973,0.8266666666666667,0.7971014492753623,0.33333333333333337,0.0,0.35185185185185186,0.5172413793103448,0.703125,0.8933333333333333,0.819672131147541,0.7580645161290323,0.7894736842105263,0.7169811320754718,0.7586206896551724,0.7692307692307692,0.8026315789473684,0.7894736842105263,0.788235294117647,0.8526315789473684,0.9122807017543859
5Y0X_8JR,0.8513513513513513,0.8378378378378378,0.8235294117647058,0.8266666666666667,0.8552631578947368,0.7575757575757576,0.35185185185185186,0.35185185185185186,0.0,0.5087719298245614,0.6984126984126984,0.9066666666666666,0.8166666666666667,0.6666666666666667,0.7361111111111112,0.6599999999999999,0.6851851851851851,0.6833333333333333,0.7671232876712328,0.7866666666666666,0.8,0.8631578947368421,0.9107142857142857
5Y12_8JX,0.7941176470588236,0.8472222222222222,0.8333333333333334,0.8513513513513513,0.8648648648648649,0.8208955223880597,0.5172413793103448,0.5172413793103448,0.5087719298245614,0.0,0.3191489361702128,0.9027777777777778,0.6666666666666667,0.8032786885245902,0.8421052631578947,0.7924528301886793,0.8070175438596492,0.8125,0.84,0.8421052631578947,0.7468354430379747,0.8202247191011236,0.7391304347826086
5Y13_8K0,0.7846153846153846,0.8405797101449275,0.84375,0.8767123287671232,0.8591549295774648,0.8125,0.703125,0.703125,0.6984126984126984,0.3191489361702128,0.0,0.8985507246376812,0.6458333333333333,0.8135593220338984,0.8513513513513513,0.803921568627451,0.8181818181818181,0.8412698412698413,0.8333333333333334,0.8356164383561644,0.8292682926829268,0.8409090909090909,0.75
