,4LAZ_1WW,4LB4_1WX,2IS7_2CL,3M4H_388,3MC5_393,4QX4_3E2,1Z3N_3NA,3T42_3T4,2PDG_47D,4XZH_48I,4LBS_4O8,4LBR_4O9,3DN5_53N,4IGS_64I,2IQ0_6NA,5OU0_AV5,5OUK_AVT,5OUJ_AW8,2IKG_BTO,3P2V_DOY,4XZI_F49,1X97_FIR,3BCJ_FIS,4QXI_I98,2NVC_ITA,2NVD_ITB,1US0_LDT,2IKH_LIT,4LB3_M15,3V35_NTI,2INZ_OHP,2INE_PAC,3G5E_Q74,2PDK_SBI,3U2C_SUZ,3S3G_TLT,2PDL_TOL,4LAU_W8X,5HA7_WY1,1IEI_ZES,3M0I_ZST
4LAZ_1WW,0.0,0.38888888888888884,0.7647058823529411,0.4,0.375,0.8428571428571429,0.8481012658227848,0.38983050847457623,0.7638888888888888,0.8082191780821918,0.37735849056603776,0.28,0.8428571428571429,0.9615384615384616,0.8846153846153846,0.7945205479452055,0.8375,0.825,0.868421052631579,0.8529411764705882,0.863013698630137,0.8933333333333333,0.8933333333333333,0.4,0.7945205479452055,0.8285714285714285,0.6307692307692307,0.8591549295774648,0.27450980392156865,0.821917808219178,0.8200000000000001,0.7959183673469388,0.8395061728395061,0.8985507246376812,0.868421052631579,0.8615384615384616,0.8082191780821918,0.21276595744680848,0.821917808219178,0.7972972972972973,0.8414634146341463
4LB4_1WX,0.38888888888888884,0.0,0.7547169811320755,0.31481481481481477,0.4590163934426229,0.8648648648648649,0.810126582278481,0.49230769230769234,0.7894736842105263,0.8461538461538461,0.21999999999999997,0.28846153846153844,0.8648648648648649,0.9038461538461539,0.8909090909090909,0.8181818181818181,0.8148148148148149,0.8024691358024691,0.8734177215189873,0.8591549295774648,0.8055555555555556,0.868421052631579,0.868421052631579,0.375,0.8181818181818181,0.8513513513513513,0.5625,0.8648648648648649,0.375,0.8289473684210527,0.8301886792452831,0.8301886792452831,0.8170731707317074,0.8714285714285714,0.8441558441558441,0.8507462686567164,0.8,0.32692307692307687,0.8289473684210527,0.7397260273972603,0.8470588235294118
2IS7_2CL,0.7647058823529411,0.7547169811320755,0.0,0.7358490566037736,0.75,0.8,0.8135593220338984,0.7868852459016393,0.8070175438596492,0.7547169811320755,0.75,0.75,0.7755102040816326,0.935483870967742,0.8064516129032258,0.7818181818181819,0.8571428571428572,0.8225806451612903,0.7735849056603774,0.7872340425531915,0.8076923076923077,0.8727272727272728,0.8727272727272728,0.7358490566037736,0.8035714285714286,0.803921568627451,0.7857142857142857,0.8235294117647058,0.7358490566037736,0.8793103448275862,0.5384615384615384,0.5384615384615384,0.8225806451612903,0.8775510204081632,0.7962962962962963,0.7380952380952381,0.8,0.7647058823529411,0.75,0.7636363636363637,0.8064516129032258
3M4H_388,0.4,0.31481481481481477,0.7358490566037736,0.0,0.467741935483871,0.8666666666666667,0.8271604938271605,0.5,0.7922077922077921,0.8481012658227848,0.23529411764705888,0.36363636363636365,0.8666666666666667,0.9259259259259259,0.8928571428571429,0.8205128205128205,0.8170731707317074,0.8048780487804879,0.8461538461538461,0.8611111111111112,0.84,0.8552631578947368,0.8552631578947368,0.23076923076923073,0.8205128205128205,0.8533333333333333,0.3392857142857143,0.8666666666666667,0.23076923076923073,0.8157894736842105,0.8113207547169812,0.8113207547169812,0.8192771084337349,0.8571428571428572,0.8311688311688312,0.835820895522388,0.8181818181818181,0.27450980392156865,0.8311688311688312,0.5909090909090908,0.8488372093023255
3MC5_393,0.375,0.4590163934426229,0.75,0.467741935483871,0.0,0.8421052631578947,0.8470588235294118,0.3278688524590164,0.8,0.7631578947368421,0.44999999999999996,0.44999999999999996,0.6865671641791045,0.9661016949152542,0.8983050847457628,0.7974683544303798,0.8372093023255813,0.8390804597701149,0.7083333333333333,0.8513513513513513,0.8607594936708861,0.9024390243902439,0.9024390243902439,0.467741935483871,0.7974683544303798,0.8133333333333334,0.6666666666666667,0.7945205479452055,0.467741935483871,0.7432432432432432,0.8214285714285714,0.7777777777777778,0.8390804597701149,0.9078947368421053,0.8795180722891567,0.875,0.7792207792207793,0.375,0.8076923076923077,0.8148148148148149,0.8539325842696629
4QX4_3E2,0.8428571428571429,0.8648648648648649,0.8,0.8666666666666667,0.8421052631578947,0.0,0.6865671641791045,0.8641975308641976,0.7536231884057971,0.782608695652174,0.863013698630137,0.863013698630137,0.8529411764705882,0.9591836734693877,0.8775510204081632,0.671875,0.75,0.7702702702702703,0.8309859154929577,0.7704918032786885,0.7692307692307692,0.8888888888888888,0.8888888888888888,0.8666666666666667,0.7313432835820896,0.7258064516129032,0.8378378378378378,0.835820895522388,0.8666666666666667,0.8783783783783784,0.7555555555555555,0.7555555555555555,0.7361111111111112,0.8939393939393939,0.8783783783783784,0.8360655737704918,0.8169014084507042,0.8428571428571429,0.7971014492753623,0.7352941176470589,0.7567567567567568
1Z3N_3NA,0.8481012658227848,0.810126582278481,0.8135593220338984,0.8271604938271605,0.8470588235294118,0.6865671641791045,0.0,0.8666666666666667,0.72,0.810126582278481,0.8375,0.8375,0.8266666666666667,0.8909090909090909,0.8983050847457628,0.7162162162162162,0.7341772151898734,0.7682926829268293,0.8227848101265822,0.7857142857142857,0.8,0.875,0.875,0.8125,0.7662337662337663,0.7464788732394366,0.8292682926829268,0.8571428571428572,0.8271604938271605,0.8658536585365854,0.7777777777777778,0.7777777777777778,0.2586206896551724,0.8783783783783784,0.8375,0.8260869565217391,0.8395061728395061,0.8481012658227848,0.8227848101265822,0.7532467532467533,0.725
3T42_3T4,0.38983050847457623,0.49230769230769234,0.7868852459016393,0.5,0.3278688524590164,0.8641975308641976,0.8666666666666667,0.0,0.8095238095238095,0.7105263157894737,0.484375,0.484375,0.8051948051948052,0.9682539682539683,0.9047619047619048,0.8214285714285714,0.8571428571428572,0.8461538461538461,0.8024691358024691,0.8734177215189873,0.8809523809523809,0.9069767441860466,0.9069767441860466,0.5,0.8214285714285714,0.8375,0.6842105263157895,0.7733333333333333,0.5,0.7721518987341772,0.8524590163934427,0.8333333333333334,0.8586956521739131,0.9125,0.8850574712643678,0.8666666666666667,0.8333333333333334,0.38983050847457623,0.8452380952380952,0.8095238095238095,0.8723404255319149
2PDG_47D,0.7638888888888888,0.7894736842105263,0.8070175438596492,0.7922077922077921,0.8,0.7536231884057971,0.72,0.8095238095238095,0.0,0.5396825396825398,0.7866666666666666,0.7702702702702703,0.8378378378378378,0.9649122807017544,0.8947368421052632,0.6901408450704225,0.759493670886076,0.7468354430379747,0.8481012658227848,0.7971014492753623,0.5806451612903225,0.8860759493670887,0.8860759493670887,0.7922077922077921,0.7763157894736842,0.7746478873239436,0.8536585365853658,0.8533333333333333,0.7763157894736842,0.8902439024390244,0.8363636363636364,0.8363636363636364,0.7307692307692308,0.8904109589041096,0.8765432098765432,0.855072463768116,0.8780487804878049,0.7808219178082192,0.8026315789473684,0.6944444444444444,0.6301369863013699
4XZH_48I,0.8082191780821918,0.8461538461538461,0.7547169811320755,0.8481012658227848,0.7631578947368421,0.782608695652174,0.810126582278481,0.7105263157894737,0.5396825396825398,0.0,0.8441558441558441,0.8441558441558441,0.782608695652174,0.9636363636363636,0.8909090909090909,0.7702702702702703,0.8,0.8170731707317074,0.7972972972972973,0.8088235294117647,0.5666666666666667,0.8831168831168831,0.8831168831168831,0.8481012658227848,0.8181818181818181,0.7857142857142857,0.8641975308641976,0.7647058823529411,0.8481012658227848,0.858974358974359,0.8301886792452831,0.8076923076923077,0.8170731707317074,0.8873239436619719,0.858974358974359,0.8507462686567164,0.8888888888888888,0.8082191780821918,0.8289473684210527,0.7397260273972603,0.8333333333333334
