,4DV8_0LX,4PKR_2ZL,4PKS_30H,4PKT_30O,4PKU_30P,4PKV_30R,4XM6_41R,5D1S_56Q,5D1T_56R,1YQY_915,4PKW_GM6
4DV8_0LX,0.0,0.7733333333333333,0.7901234567901234,0.7692307692307692,0.7875,0.7631578947368421,0.7837837837837838,0.782608695652174,0.7875,0.7894736842105263,0.7848101265822784
4PKR_2ZL,0.7733333333333333,0.0,0.21818181818181814,0.2222222222222222,0.20370370370370372,0.1923076923076923,0.3928571428571429,0.3529411764705882,0.20370370370370372,0.5846153846153845,0.8
4PKS_30H,0.7901234567901234,0.21818181818181814,0.0,0.3278688524590164,0.2833333333333333,0.30508474576271183,0.42622950819672134,0.3928571428571429,0.2833333333333333,0.619718309859155,0.813953488372093
4PKT_30O,0.7692307692307692,0.2222222222222222,0.3278688524590164,0.0,0.31666666666666665,0.21818181818181814,0.43333333333333335,0.4,0.31666666666666665,0.6086956521739131,0.8372093023255813
4PKU_30P,0.7875,0.20370370370370372,0.2833333333333333,0.31666666666666665,0.0,0.2321428571428571,0.4426229508196722,0.4107142857142857,0.1785714285714286,0.6142857142857143,0.8255813953488372
4PKV_30R,0.7631578947368421,0.1923076923076923,0.30508474576271183,0.21818181818181814,0.2321428571428571,0.0,0.3571428571428571,0.37735849056603776,0.13207547169811318,0.5970149253731343,0.8333333333333334
4XM6_41R,0.7837837837837838,0.3928571428571429,0.42622950819672134,0.43333333333333335,0.4426229508196722,0.3571428571428571,0.0,0.3921568627450981,0.38983050847457623,0.5483870967741935,0.810126582278481
5D1S_56Q,0.782608695652174,0.3529411764705882,0.3928571428571429,0.4,0.4107142857142857,0.37735849056603776,0.3921568627450981,0.0,0.4107142857142857,0.5263157894736843,0.8266666666666667
5D1T_56R,0.7875,0.20370370370370372,0.2833333333333333,0.31666666666666665,0.1785714285714286,0.13207547169811318,0.38983050847457623,0.4107142857142857,0.0,0.6142857142857143,0.8255813953488372
1YQY_915,0.7894736842105263,0.5846153846153845,0.619718309859155,0.6086956521739131,0.6142857142857143,0.5970149253731343,0.5483870967741935,0.5263157894736843,0.6142857142857143,0.0,0.8571428571428572
4PKW_GM6,0.7848101265822784,0.8,0.813953488372093,0.8372093023255813,0.8255813953488372,0.8333333333333334,0.810126582278481,0.8266666666666667,0.8255813953488372,0.8571428571428572,0.0
