,4GR9_372,3UXE_465,3OX3_4X4,3OWH_52X,3OX1_695,3TEM_6A1,5LBY_6T2,5LBZ_6T3,3OX2_79X,4ZVM_DM2,4U7G_K17,4U7H_K25,4GQI_M49,2QWX_ML1,2QX8_ML2,3GAM_MXX,3OVM_MZC,3O73_O73,3FW1_STI,3TE7_TE7,3UXH_UXH,5LBW_V0L,3G5M_XM5,3OWX_XRA
4GR9_372,0.0,0.8533333333333333,0.8901098901098901,0.7462686567164178,0.8208955223880597,0.8705882352941177,0.8901098901098901,0.8901098901098901,0.8656716417910448,0.8877551020408163,0.9473684210526316,0.9508196721311475,0.6140350877192983,0.8208955223880597,0.8260869565217391,0.8275862068965517,0.7384615384615385,0.8705882352941177,0.8068181818181819,0.85,0.8405797101449275,0.9176470588235294,0.8656716417910448,0.8765432098765432
3UXE_465,0.8533333333333333,0.0,0.8736842105263158,0.875,0.8961038961038961,0.9263157894736842,0.9081632653061225,0.9081632653061225,0.8450704225352113,0.8942307692307693,0.9180327868852459,0.90625,0.881578947368421,0.881578947368421,0.8846153846153846,0.8615384615384616,0.8717948717948718,0.9148936170212766,0.8556701030927836,0.8863636363636364,0.24489795918367352,0.8863636363636364,0.8767123287671232,0.8588235294117648
3OX3_4X4,0.8901098901098901,0.8736842105263158,0.0,0.7647058823529411,0.8095238095238095,0.8181818181818181,0.8269230769230769,0.8490566037735849,0.8452380952380952,0.8793103448275862,0.8591549295774648,0.8513513513513513,0.8505747126436781,0.7804878048780488,0.7407407407407407,0.858974358974359,0.8023255813953488,0.875,0.8,0.8105263157894737,0.8651685393258427,0.8811881188118812,0.872093023255814,0.7415730337078652
3OWH_52X,0.7462686567164178,0.875,0.7647058823529411,0.0,0.703125,0.8636363636363636,0.9175257731958762,0.8947368421052632,0.8732394366197183,0.9029126213592233,0.9333333333333333,0.9206349206349207,0.6612903225806452,0.5932203389830508,0.30000000000000004,0.8571428571428572,0.37735849056603776,0.8888888888888888,0.8279569892473118,0.8571428571428572,0.88,0.945054945054945,0.8732394366197183,0.8690476190476191
3OX1_695,0.8208955223880597,0.8961038961038961,0.8095238095238095,0.703125,0.0,0.8823529411764706,0.8764044943820225,0.9010989010989011,0.8805970149253731,0.8631578947368421,0.9649122807017544,0.9322033898305084,0.7419354838709677,0.631578947368421,0.6885245901639344,0.9016393442622951,0.65,0.8823529411764706,0.8571428571428572,0.8765432098765432,0.8873239436619719,0.9418604651162791,0.8805970149253731,0.8461538461538461
3TEM_6A1,0.8705882352941177,0.9263157894736842,0.8181818181818181,0.8636363636363636,0.8823529411764706,0.0,0.8181818181818181,0.8962264150943396,0.8051948051948052,0.8636363636363636,0.9142857142857143,0.9473684210526316,0.8690476190476191,0.75,0.7721518987341772,0.8648648648648649,0.8470588235294118,0.8686868686868687,0.8691588785046729,0.65,0.9213483146067416,0.8865979381443299,0.85,0.8369565217391304
5LBY_6T2,0.8901098901098901,0.9081632653061225,0.8269230769230769,0.9175257731958762,0.8764044943820225,0.8181818181818181,0.0,0.8269230769230769,0.8588235294117648,0.8793103448275862,0.92,0.8961038961038961,0.9010989010989011,0.9010989010989011,0.8913043478260869,0.9012345679012346,0.9270833333333334,0.875,0.8545454545454545,0.8105263157894737,0.9021739130434783,0.8811881188118812,0.8850574712643678,0.8210526315789474
5LBZ_6T3,0.8901098901098901,0.9081632653061225,0.8490566037735849,0.8947368421052632,0.9010989010989011,0.8962264150943396,0.8269230769230769,0.0,0.8850574712643678,0.8288288288288288,0.9054054054054054,0.9240506329113924,0.9130434782608696,0.9010989010989011,0.9032258064516129,0.8734177215189873,0.8924731182795699,0.8640776699029127,0.7647058823529411,0.9029126213592233,0.9021739130434783,0.8811881188118812,0.8588235294117648,0.8210526315789474
3OX2_79X,0.8656716417910448,0.8450704225352113,0.8452380952380952,0.8732394366197183,0.8805970149253731,0.8051948051948052,0.8588235294117648,0.8850574712643678,0.0,0.8333333333333334,0.9433962264150944,0.9285714285714286,0.8805970149253731,0.8461538461538461,0.8507462686567164,0.7450980392156863,0.8695652173913043,0.8780487804878049,0.8901098901098901,0.8108108108108107,0.8125,0.8421052631578947,0.7586206896551724,0.7571428571428571
4ZVM_DM2,0.8877551020408163,0.8942307692307693,0.8793103448275862,0.9029126213592233,0.8631578947368421,0.8636363636363636,0.8793103448275862,0.8288288288288288,0.8333333333333334,0.0,0.9529411764705882,0.9310344827586207,0.8865979381443299,0.875,0.8888888888888888,0.8588235294117648,0.89,0.8636363636363636,0.8833333333333333,0.9,0.898989898989899,0.8899082568807339,0.8461538461538461,0.8349514563106796
4U7G_K17,0.9473684210526316,0.9180327868852459,0.8591549295774648,0.9333333333333333,0.9649122807017544,0.9142857142857143,0.92,0.9054054054054054,0.9433962264150944,0.9529411764705882,0.0,0.6666666666666667,0.9272727272727272,0.8867924528301887,0.9298245614035088,0.9090909090909091,0.8928571428571429,0.9589041095890412,0.9506172839506173,0.8923076923076922,0.9090909090909091,0.9253731343283582,0.9019607843137255,0.9242424242424242
4U7H_K25,0.9508196721311475,0.90625,0.8513513513513513,0.9206349206349207,0.9322033898305084,0.9473684210526316,0.8961038961038961,0.9240506329113924,0.9285714285714286,0.9310344827586207,0.6666666666666667,0.0,0.9322033898305084,0.9137931034482758,0.9166666666666666,0.9387755102040817,0.9180327868852459,0.961038961038961,0.9404761904761905,0.9142857142857143,0.896551724137931,0.9444444444444444,0.9090909090909091,0.8805970149253731
4GQI_M49,0.6140350877192983,0.881578947368421,0.8505747126436781,0.6612903225806452,0.7419354838709677,0.8690476190476191,0.9010989010989011,0.9130434782608696,0.8805970149253731,0.8865979381443299,0.9272727272727272,0.9322033898305084,0.0,0.7213114754098361,0.7301587301587302,0.864406779661017,0.65,0.8953488372093024,0.8181818181818181,0.8481012658227848,0.8714285714285714,0.9540229885057472,0.8805970149253731,0.9024390243902439
2QWX_ML1,0.8208955223880597,0.881578947368421,0.7804878048780488,0.5932203389830508,0.631578947368421,0.75,0.9010989010989011,0.9010989010989011,0.8461538461538461,0.875,0.8867924528301887,0.9137931034482758,0.7213114754098361,0.0,0.4,0.8448275862068966,0.3125,0.8554216867469879,0.8817204301075269,0.7361111111111112,0.8714285714285714,0.9540229885057472,0.828125,0.8461538461538461
2QX8_ML2,0.8260869565217391,0.8846153846153846,0.7407407407407407,0.30000000000000004,0.6885245901639344,0.7721518987341772,0.8913043478260869,0.9032258064516129,0.8507462686567164,0.8888888888888888,0.9298245614035088,0.9166666666666666,0.7301587301587302,0.4,0.0,0.85,0.5932203389830508,0.8452380952380952,0.8723404255319149,0.76,0.875,0.9431818181818182,0.8507462686567164,0.85
3GAM_MXX,0.8275862068965517,0.8615384615384616,0.858974358974359,0.8571428571428572,0.9016393442622951,0.8648648648648649,0.9012345679012346,0.8734177215189873,0.7450980392156863,0.8588235294117648,0.9090909090909091,0.9387755102040817,0.864406779661017,0.8448275862068966,0.85,0.0,0.8524590163934427,0.8493150684931507,0.8795180722891567,0.8059701492537313,0.847457627118644,0.9189189189189189,0.6086956521739131,0.803030303030303
3OVM_MZC,0.7384615384615385,0.8717948717948718,0.8023255813953488,0.37735849056603776,0.65,0.8470588235294118,0.9270833333333334,0.8924731182795699,0.8695652173913043,0.89,0.8928571428571429,0.9180327868852459,0.65,0.3125,0.5932203389830508,0.8524590163934427,0.0,0.898876404494382,0.8369565217391304,0.8395061728395061,0.8767123287671232,0.9555555555555556,0.8529411764705882,0.8658536585365854
3O73_O73,0.8705882352941177,0.9148936170212766,0.875,0.8888888888888888,0.8823529411764706,0.8686868686868687,0.875,0.8640776699029127,0.8780487804878049,0.8636363636363636,0.9589041095890412,0.961038961038961,0.8953488372093024,0.8554216867469879,0.8452380952380952,0.8493150684931507,0.898876404494382,0.0,0.8691588785046729,0.8,0.9090909090909091,0.92,0.8780487804878049,0.9191919191919192
3FW1_STI,0.8068181818181819,0.8556701030927836,0.8,0.8279569892473118,0.8571428571428572,0.8691588785046729,0.8545454545454545,0.7647058823529411,0.8901098901098901,0.8833333333333333,0.9506172839506173,0.9404761904761905,0.8181818181818181,0.8817204301075269,0.8723404255319149,0.8795180722891567,0.8369565217391304,0.8691588785046729,0.0,0.8640776699029127,0.8586956521739131,0.8640776699029127,0.9021739130434783,0.8282828282828283
3TE7_TE7,0.85,0.8863636363636364,0.8105263157894737,0.8571428571428572,0.8765432098765432,0.65,0.8105263157894737,0.9029126213592233,0.8108108108108107,0.9,0.8923076923076922,0.9142857142857143,0.8481012658227848,0.7361111111111112,0.76,0.8059701492537313,0.8395061728395061,0.8,0.8640776699029127,0.0,0.8780487804878049,0.9052631578947369,0.8108108108108107,0.8426966292134832
3UXH_UXH,0.8405797101449275,0.24489795918367352,0.8651685393258427,0.88,0.8873239436619719,0.9213483146067416,0.9021739130434783,0.9021739130434783,0.8125,0.898989898989899,0.9090909090909091,0.896551724137931,0.8714285714285714,0.8714285714285714,0.875,0.847457627118644,0.8767123287671232,0.9090909090909091,0.8586956521739131,0.8780487804878049,0.0,0.8780487804878049,0.8656716417910448,0.8333333333333334
5LBW_V0L,0.9176470588235294,0.8863636363636364,0.8811881188118812,0.945054945054945,0.9418604651162791,0.8865979381443299,0.8811881188118812,0.8811881188118812,0.8421052631578947,0.8899082568807339,0.9253731343283582,0.9444444444444444,0.9540229885057472,0.9540229885057472,0.9431818181818182,0.9189189189189189,0.9555555555555556,0.92,0.8640776699029127,0.9052631578947369,0.8780487804878049,0.0,0.9135802469135803,0.8924731182795699
3G5M_XM5,0.8656716417910448,0.8767123287671232,0.872093023255814,0.8732394366197183,0.8805970149253731,0.85,0.8850574712643678,0.8588235294117648,0.7586206896551724,0.8461538461538461,0.9019607843137255,0.9090909090909091,0.8805970149253731,0.828125,0.8507462686567164,0.6086956521739131,0.8529411764705882,0.8780487804878049,0.9021739130434783,0.8108108108108107,0.8656716417910448,0.9135802469135803,0.0,0.7916666666666666
3OWX_XRA,0.8765432098765432,0.8588235294117648,0.7415730337078652,0.8690476190476191,0.8461538461538461,0.8369565217391304,0.8210526315789474,0.8210526315789474,0.7571428571428571,0.8349514563106796,0.9242424242424242,0.8805970149253731,0.9024390243902439,0.8461538461538461,0.85,0.803030303030303,0.8658536585365854,0.9191919191919192,0.8282828282828283,0.8426966292134832,0.8333333333333334,0.8924731182795699,0.7916666666666666,0.0
