,4HOE_18G,4HOF_18H,4H97_53S,3QLS_55V,1AOE_GW3,1M79_MQ1,1M7A_MQU,3QLW_N22,3QLR_QLR,1IA1_TQ3,1IA2_TQ4,1IA3_TQ5,1IA4_TQ6
4HOE_18G,0.0,0.2407407407407407,0.4838709677419355,0.5806451612903225,0.8028169014084507,0.734375,0.7777777777777778,0.6567164179104478,0.5245901639344263,0.765625,0.7761194029850746,0.8,0.8289473684210527
4HOF_18H,0.2407407407407407,0.0,0.423728813559322,0.5737704918032787,0.8,0.7301587301587302,0.7746478873239436,0.6515151515151515,0.5166666666666666,0.7619047619047619,0.7538461538461538,0.7971014492753623,0.8266666666666667
4H97_53S,0.4838709677419355,0.423728813559322,0.0,0.6129032258064516,0.7971014492753623,0.7258064516129032,0.7714285714285715,0.6666666666666667,0.5333333333333333,0.8153846153846154,0.7301587301587302,0.8115942028985508,0.84
3QLS_55V,0.5806451612903225,0.5737704918032787,0.6129032258064516,0.0,0.8153846153846154,0.7413793103448276,0.7878787878787878,0.6333333333333333,0.3921568627450981,0.8360655737704918,0.8064516129032258,0.7741935483870968,0.8591549295774648
1AOE_GW3,0.8028169014084507,0.8,0.7971014492753623,0.8153846153846154,0.0,0.679245283018868,0.25,0.7846153846153846,0.7258064516129032,0.6666666666666667,0.6603773584905661,0.6727272727272727,0.7
1M79_MQ1,0.734375,0.7301587301587302,0.7258064516129032,0.7413793103448276,0.679245283018868,0.0,0.6481481481481481,0.6607142857142857,0.75,0.5777777777777777,0.574468085106383,0.5918367346938775,0.6545454545454545
1M7A_MQU,0.7777777777777778,0.7746478873239436,0.7714285714285715,0.7878787878787878,0.25,0.6481481481481481,0.0,0.7761194029850746,0.7384615384615385,0.6851851851851851,0.6785714285714286,0.6896551724137931,0.7142857142857143
3QLW_N22,0.6567164179104478,0.6515151515151515,0.6666666666666667,0.6333333333333333,0.7846153846153846,0.6607142857142857,0.7761194029850746,0.0,0.6,0.8225806451612903,0.8125,0.8181818181818181,0.8472222222222222
3QLR_QLR,0.5245901639344263,0.5166666666666666,0.5333333333333333,0.3921568627450981,0.7258064516129032,0.75,0.7384615384615385,0.6,0.0,0.8225806451612903,0.7936507936507937,0.8,0.8472222222222222
1IA1_TQ3,0.765625,0.7619047619047619,0.8153846153846154,0.8360655737704918,0.6666666666666667,0.5777777777777777,0.6851851851851851,0.8225806451612903,0.8225806451612903,0.0,0.2432432432432432,0.28205128205128205,0.36363636363636365
1IA2_TQ4,0.7761194029850746,0.7538461538461538,0.7301587301587302,0.8064516129032258,0.6603773584905661,0.574468085106383,0.6785714285714286,0.8125,0.7936507936507937,0.2432432432432432,0.0,0.25,0.3695652173913043
1IA3_TQ5,0.8,0.7971014492753623,0.8115942028985508,0.7741935483870968,0.6727272727272727,0.5918367346938775,0.6896551724137931,0.8181818181818181,0.8,0.28205128205128205,0.25,0.0,0.39583333333333337
1IA4_TQ6,0.8289473684210527,0.8266666666666667,0.84,0.8591549295774648,0.7,0.6545454545454545,0.7142857142857143,0.8472222222222222,0.8472222222222222,0.36363636363636365,0.3695652173913043,0.39583333333333337,0.0
