,3UNJ_0BX,3UNK_0BY,2DS1_1CD,3ULI_1N3,1GII_1PU,1VYW_292,1H1Q_2A6,3LE6_2BZ,4NJ3_2KD,2R3O_2SC,2DUV_371,1V1K_3FP,4BGH_3I6,4RJ3_3QS,2R3P_3SC,1H1S_4SP,2BPM_529,5D1J_56H,1P2A_5BN,1YKR_628,1H1R_6CP,2R64_740,4CFV_75X,4ACM_7YG,5MHQ_8QT,3LFS_A07,3LFN_A27,2BHE_BRY,2UZO_C62,2UZL_C94,2UZE_C95,2UZN_C96,2XMY_CDK,1WCC_CIG,2C5O_CK2,1PXN_CK6,2C5N_CK8,1E1V_CMG,2C68_CT6,1Y8Y_CT7,2C69_CT8,1Y91_CT9,2B53_D23,2B55_D31,2B52_D42,2C6I_DT1,2C6K_DT2,2C6L_DT4,2C6M_DT5,1DI8_DTQ,3IG7_EFP,3IGG_EFQ,3EZR_EZR,3EZV_EZV,6GUH_FB8,6GUK_FC8,6GVA_FCQ,1R78_FMD,2W05_FRT,1OIQ_HDU,1OIR_HDY,6Q4E_HH5,6Q4G_HJK,2W17_I19,5JQ5_I74,2VV9_IM9,1E9H_INR,4CFN_JYM,2W1H_L0F,2FVD_LIA,1KE5_LS1,1KE6_LS2,1KE7_LS3,1KE8_LS4,1KE9_LS5,2VTA_LZ1,2VTH_LZ2,2VTI_LZ3,2VTJ_LZ4,2VTL_LZ5,2VTN_LZ7,2VTO_LZ8,2VTP_LZ9,2VTQ_LZA,2VTR_LZB,2VTS_LZC,2VTT_LZD,2VU3_LZE,3BHT_MFR,3BHU_MHR,2C5Y_MTW,1OI9_N20,1OIY_N41,1VYZ_N5B,1OIU_N76,3NS9_NS9,2G9X_NU5,1E1X_NW1,2WIH_P48,3WBL_PDY,1PYE_PM1,3S2P_PMU,2IW6_QQ2,5IEV_R0N,3MY5_RFZ,3DDQ_RRC,2R3F_SC8,2R3G_SC9,2R3H_SCE,2R3I_SCF,2R3J_SCJ,2R3K_SCQ,2R3L_SCW,2R3M_SCX,2R3N_SCZ,4CFW_SQ9,3PY0_SU9,4BCP_T3C,4BCK_T3E,4BCO_T6Q,4BCM_T7Z,4BCN_T9N,4BCQ_TJF,2BTS_U32,2BTR_U73,3BHV_VAR,2XNB_Y8L,2EXM_ZIP
3UNJ_0BX,0.0,0.2558139534883721,0.891566265060241,0.8674698795180723,0.791044776119403,0.7903225806451613,0.7419354838709677,0.8571428571428572,0.8481012658227848,0.8088235294117647,0.9240506329113924,0.8108108108108107,0.746031746031746,0.8055555555555556,0.8831168831168831,0.8028169014084507,0.8493150684931507,0.881578947368421,0.9178082191780822,0.6984126984126984,0.8142857142857143,0.8831168831168831,0.8961038961038961,0.8051948051948052,0.8441558441558441,0.835820895522388,0.8382352941176471,0.9032258064516129,0.9436619718309859,0.9404761904761905,0.8208955223880597,0.935064935064935,0.7464788732394366,0.8936170212765957,0.8545454545454545,0.6842105263157895,0.7017543859649122,0.9076923076923077,0.8888888888888888,0.8064516129032258,0.875,0.8481012658227848,0.8656716417910448,0.8641975308641976,0.8518518518518519,0.8378378378378378,0.8088235294117647,0.8169014084507042,0.8333333333333334,0.8032786885245902,0.8428571428571429,0.835820895522388,0.9204545454545454,0.9,0.7096774193548387,0.8481012658227848,0.8421052631578947,0.9418604651162791,0.75,0.728813559322034,0.7222222222222222,0.8653846153846154,0.8125,0.736842105263158,0.8518518518518519,0.7,0.873015873015873,0.9130434782608696,0.7903225806451613,0.8354430379746836,0.8615384615384616,0.8846153846153846,0.9,0.8333333333333334,0.855072463768116,0.8478260869565217,0.8571428571428572,0.8032786885245902,0.7358490566037736,0.7346938775510203,0.8275862068965517,0.7586206896551724,0.8225806451612903,0.8714285714285714,0.890625,0.875,0.863013698630137,0.855072463768116,0.8360655737704918,0.8461538461538461,0.9294117647058824,0.7878787878787878,0.7121212121212122,0.7636363636363637,0.8133333333333334,0.8356164383561644,0.7974683544303798,0.921875,0.7534246575342466,0.8421052631578947,0.7903225806451613,0.8970588235294118,0.8433734939759037,0.7536231884057971,0.90625,0.8333333333333334,0.8676470588235294,0.8405797101449275,0.8888888888888888,0.8484848484848485,0.8208955223880597,0.8636363636363636,0.8676470588235294,0.8648648648648649,0.8142857142857143,0.9024390243902439,0.927536231884058,0.8024691358024691,0.7777777777777778,0.7654320987654322,0.8117647058823529,0.7647058823529411,0.7564102564102564,0.8135593220338984,0.8507462686567164,0.8571428571428572,0.8607594936708861,0.8833333333333333
3UNK_0BY,0.2558139534883721,0.0,0.9,0.8651685393258427,0.7777777777777778,0.7941176470588236,0.7857142857142857,0.8082191780821918,0.8333333333333334,0.8108108108108107,0.9302325581395349,0.8125,0.7714285714285715,0.8076923076923077,0.8076923076923077,0.8205128205128205,0.8481012658227848,0.8780487804878049,0.9113924050632911,0.6716417910447761,0.8157894736842105,0.8795180722891567,0.9047619047619048,0.8352941176470589,0.8433734939759037,0.8028169014084507,0.8533333333333333,0.9130434782608696,0.9487179487179487,0.945054945054945,0.8378378378378378,0.9404761904761905,0.7692307692307692,0.8653846153846154,0.8709677419354839,0.71875,0.734375,0.9166666666666666,0.8846153846153846,0.791044776119403,0.8860759493670887,0.8470588235294118,0.8783783783783784,0.8488372093023255,0.8372093023255813,0.8518518518518519,0.8266666666666667,0.8333333333333334,0.8481012658227848,0.8405797101449275,0.8571428571428572,0.8513513513513513,0.9148936170212766,0.9080459770114943,0.7391304347826086,0.8333333333333334,0.8554216867469879,0.946236559139785,0.7721518987341772,0.7384615384615385,0.7307692307692308,0.8813559322033898,0.8309859154929577,0.7590361445783133,0.8505747126436781,0.7272727272727273,0.8857142857142857,0.9210526315789473,0.7941176470588236,0.8620689655172413,0.875,0.8941176470588236,0.9080459770114943,0.8481012658227848,0.8533333333333333,0.8679245283018868,0.875,0.8235294117647058,0.7457627118644068,0.7678571428571428,0.828125,0.765625,0.8235294117647058,0.868421052631579,0.8529411764705882,0.8717948717948718,0.8607594936708861,0.7887323943661972,0.8529411764705882,0.8611111111111112,0.9347826086956522,0.8082191780821918,0.7567567567567568,0.75,0.8433734939759037,0.8354430379746836,0.813953488372093,0.9295774647887324,0.775,0.8554216867469879,0.8115942028985508,0.9066666666666666,0.8295454545454546,0.7763157894736842,0.8676470588235294,0.8333333333333334,0.8169014084507042,0.84,0.8840579710144928,0.863013698630137,0.821917808219178,0.8767123287671232,0.8493150684931507,0.8481012658227848,0.8157894736842105,0.9101123595505618,0.9342105263157895,0.8314606741573034,0.8125,0.797752808988764,0.8,0.8026315789473684,0.7906976744186046,0.8333333333333334,0.8648648648648649,0.855072463768116,0.872093023255814,0.8955223880597015
2DS1_1CD,0.891566265060241,0.9,0.0,0.8761904761904762,0.8461538461538461,0.8620689655172413,0.8791208791208791,0.8571428571428572,0.8725490196078431,0.90625,0.8526315789473684,0.9333333333333333,0.9042553191489362,0.8888888888888888,0.8775510204081632,0.8877551020408163,0.8631578947368421,0.91,0.9157894736842105,0.8958333333333334,0.8854166666666666,0.865979381443299,0.8404255319148937,0.9056603773584906,0.8811881188118812,0.8666666666666667,0.8681318681318682,0.891566265060241,0.9120879120879121,0.9238095238095239,0.9042553191489362,0.8958333333333334,0.892156862745098,0.9295774647887324,0.9125,0.9239130434782609,0.898876404494382,0.9080459770114943,0.8695652173913043,0.8604651162790697,0.8709677419354839,0.8725490196078431,0.8888888888888888,0.8163265306122449,0.8181818181818181,0.9,0.8829787234042553,0.8865979381443299,0.8865979381443299,0.9101123595505618,0.8709677419354839,0.8666666666666667,0.7604166666666666,0.7956989247311828,0.8817204301075269,0.883495145631068,0.8910891089108911,0.9252336448598131,0.9038461538461539,0.9,0.9056603773584906,0.922077922077922,0.8764044943820225,0.8571428571428572,0.8962264150943396,0.883495145631068,0.8690476190476191,0.9,0.8488372093023255,0.8846153846153846,0.8863636363636364,0.9117647058823529,0.9019607843137255,0.8979591836734694,0.9042553191489362,0.8333333333333334,0.8888888888888888,0.8588235294117648,0.9036144578313253,0.8974358974358975,0.8780487804878049,0.896551724137931,0.8850574712643678,0.8804347826086957,0.9204545454545454,0.8947368421052632,0.8736842105263158,0.8804347826086957,0.8953488372093024,0.9,0.883495145631068,0.8936170212765957,0.8877551020408163,0.8780487804878049,0.8811881188118812,0.9207920792079208,0.8981481481481481,0.9310344827586207,0.8725490196078431,0.88,0.8876404494382022,0.8620689655172413,0.9285714285714286,0.9108910891089109,0.9318181818181819,0.8979591836734694,0.8777777777777778,0.9052631578947369,0.9195402298850575,0.8888888888888888,0.9157894736842105,0.935483870967742,0.9368421052631579,0.8865979381443299,0.8969072164948454,0.8367346938775511,0.8863636363636364,0.8796296296296297,0.9019607843137255,0.8828828828828829,0.8636363636363636,0.9090909090909091,0.8691588785046729,0.9069767441860466,0.9021739130434783,0.9213483146067416,0.86,0.9294117647058824
3ULI_1N3,0.8674698795180723,0.8651685393258427,0.8761904761904762,0.0,0.8854166666666666,0.8255813953488372,0.8817204301075269,0.9292929292929293,0.8181818181818181,0.8736842105263158,0.89,0.86,0.8068181818181819,0.8571428571428572,0.8686868686868687,0.8315789473684211,0.9,0.8191489361702128,0.8461538461538461,0.8865979381443299,0.8877551020408163,0.8571428571428572,0.8315789473684211,0.8200000000000001,0.8383838383838383,0.8571428571428572,0.8461538461538461,0.8809523809523809,0.8651685393258427,0.8725490196078431,0.8586956521739131,0.8387096774193549,0.8725490196078431,0.8695652173913043,0.8875,0.8901098901098901,0.9010989010989011,0.8313253012048193,0.8602150537634409,0.8764044943820225,0.8494623655913979,0.8857142857142857,0.8791208791208791,0.8200000000000001,0.8666666666666667,0.8686868686868687,0.8854166666666666,0.8888888888888888,0.8775510204081632,0.8620689655172413,0.7701149425287357,0.7619047619047619,0.8137254901960784,0.8484848484848485,0.8958333333333334,0.8529411764705882,0.7872340425531915,0.8415841584158416,0.8627450980392157,0.8522727272727273,0.8653846153846154,0.8961038961038961,0.8,0.8703703703703703,0.8557692307692308,0.8529411764705882,0.8977272727272727,0.8522727272727273,0.8390804597701149,0.7959183673469388,0.9130434782608696,0.846938775510204,0.8712871287128713,0.9,0.8947368421052632,0.8873239436619719,0.8918918918918919,0.8620689655172413,0.8227848101265822,0.8717948717948718,0.8674698795180723,0.8863636363636364,0.875,0.8586956521739131,0.872093023255814,0.8736842105263158,0.8526315789473684,0.8709677419354839,0.8313253012048193,0.8522727272727273,0.926605504587156,0.8478260869565217,0.8191489361702128,0.8674698795180723,0.8383838383838383,0.8787878787878788,0.8252427184466019,0.8953488372093024,0.8529411764705882,0.86,0.8901098901098901,0.8901098901098901,0.8490566037735849,0.845360824742268,0.9333333333333333,0.8541666666666666,0.9042553191489362,0.8723404255319149,0.8705882352941177,0.8913043478260869,0.8461538461538461,0.8651685393258427,0.8555555555555556,0.8297872340425532,0.8762886597938144,0.8163265306122449,0.7951807228915663,0.8818181818181818,0.86,0.8648648648648649,0.8240740740740741,0.865979381443299,0.839622641509434,0.8571428571428572,0.8804347826086957,0.898876404494382,0.9056603773584906,0.8518518518518519
1GII_1PU,0.791044776119403,0.7777777777777778,0.8461538461538461,0.8854166666666666,0.0,0.8108108108108107,0.8481012658227848,0.8928571428571429,0.8817204301075269,0.8674698795180723,0.8735632183908046,0.8901098901098901,0.9047619047619048,0.8352941176470589,0.8352941176470589,0.8735632183908046,0.8024691358024691,0.8333333333333334,0.891566265060241,0.8271604938271605,0.8571428571428572,0.8488372093023255,0.8333333333333334,0.8709677419354839,0.8791208791208791,0.8481012658227848,0.85,0.8591549295774648,0.926829268292683,0.9375,0.891566265060241,0.9204545454545454,0.8913043478260869,0.9344262295081968,0.9142857142857143,0.9,0.9125,0.88,0.9058823529411765,0.8987341772151899,0.8941176470588236,0.8695652173913043,0.9146341463414634,0.7037037037037037,0.7380952380952381,0.8620689655172413,0.8395061728395061,0.8452380952380952,0.8588235294117648,0.8378378378378378,0.825,0.8181818181818181,0.8260869565217391,0.8651685393258427,0.8795180722891567,0.8444444444444444,0.8651685393258427,0.9052631578947369,0.8924731182795699,0.8108108108108107,0.8829787234042553,0.9411764705882353,0.858974358974359,0.8279569892473118,0.8478260869565217,0.8444444444444444,0.8333333333333334,0.9,0.8266666666666667,0.8202247191011236,0.8552631578947368,0.9010989010989011,0.9021739130434783,0.8170731707317074,0.85,0.9,0.8870967741935484,0.8533333333333333,0.8888888888888888,0.828125,0.8591549295774648,0.8356164383561644,0.8378378378378378,0.8051948051948052,0.9090909090909091,0.8536585365853658,0.7532467532467533,0.8051948051948052,0.88,0.8860759493670887,0.9052631578947369,0.8658536585365854,0.8470588235294118,0.791044776119403,0.8539325842696629,0.8735632183908046,0.875,0.8918918918918919,0.8444444444444444,0.8522727272727273,0.8421052631578947,0.8860759493670887,0.898989898989899,0.875,0.8933333333333333,0.872093023255814,0.8461538461538461,0.8375,0.8783783783783784,0.858974358974359,0.8780487804878049,0.9,0.8461538461538461,0.872093023255814,0.8433734939759037,0.8426966292134832,0.9125,0.865979381443299,0.9021739130434783,0.8350515463917526,0.8823529411764706,0.8977272727272727,0.8541666666666666,0.9078947368421053,0.875,0.881578947368421,0.8804347826086957,0.904109589041096
1VYW_292,0.7903225806451613,0.7941176470588236,0.8620689655172413,0.8255813953488372,0.8108108108108107,0.0,0.8194444444444444,0.8701298701298701,0.8192771084337349,0.8108108108108107,0.9176470588235294,0.8823529411764706,0.868421052631579,0.8375,0.8518518518518519,0.85,0.8026315789473684,0.8205128205128205,0.868421052631579,0.8441558441558441,0.8157894736842105,0.7083333333333333,0.85,0.8352941176470589,0.8571428571428572,0.7313432835820896,0.7536231884057971,0.8461538461538461,0.9210526315789473,0.9213483146067416,0.8974358974358975,0.9012345679012346,0.8705882352941177,0.8867924528301887,0.8888888888888888,0.8918918918918919,0.8904109589041096,0.8529411764705882,0.84,0.8591549295774648,0.8421052631578947,0.8604651162790697,0.8933333333333333,0.7625,0.8095238095238095,0.8518518518518519,0.8571428571428572,0.8625,0.8625,0.8888888888888888,0.7246376811594203,0.6923076923076923,0.8666666666666667,0.8690476190476191,0.8987341772151899,0.8470588235294118,0.782051282051282,0.9230769230769231,0.8850574712643678,0.7941176470588236,0.8488372093023255,0.9180327868852459,0.7611940298507462,0.8681318681318682,0.7804878048780488,0.8604651162790697,0.835820895522388,0.8767123287671232,0.7941176470588236,0.8352941176470589,0.8904109589041096,0.8674698795180723,0.8823529411764706,0.8902439024390244,0.8533333333333333,0.8,0.8947368421052632,0.7878787878787878,0.84375,0.7454545454545455,0.828125,0.803030303030303,0.8235294117647058,0.7887323943661972,0.9014084507042254,0.8717948717948718,0.8,0.7714285714285715,0.8857142857142857,0.8767123287671232,0.8735632183908046,0.84,0.8205128205128205,0.4375,0.8292682926829268,0.8205128205128205,0.8539325842696629,0.8823529411764706,0.8863636363636364,0.8554216867469879,0.8450704225352113,0.8285714285714285,0.8555555555555556,0.8658536585365854,0.8840579710144928,0.8481012658227848,0.8333333333333334,0.8552631578947368,0.8840579710144928,0.8309859154929577,0.8378378378378378,0.8450704225352113,0.8493150684931507,0.8181818181818181,0.7671232876712328,0.8588235294117648,0.875,0.8936170212765957,0.8953488372093024,0.8736842105263158,0.8979591836734694,0.8902439024390244,0.8695652173913043,0.9,0.8169014084507042,0.9027777777777778,0.8850574712643678,0.8955223880597015
1H1Q_2A6,0.7419354838709677,0.7857142857142857,0.8791208791208791,0.8817204301075269,0.8481012658227848,0.8194444444444444,0.0,0.9024390243902439,0.8651685393258427,0.8481012658227848,0.9444444444444444,0.8735632183908046,0.8133333333333334,0.8148148148148149,0.896551724137931,0.4426229508196722,0.9069767441860466,0.8823529411764706,0.8875,0.85,0.21153846153846156,0.8837209302325582,0.6231884057971014,0.8539325842696629,0.8620689655172413,0.8571428571428572,0.858974358974359,0.9014084507042254,0.9240506329113924,0.935483870967742,0.927710843373494,0.9425287356321839,0.8214285714285714,0.9310344827586207,0.8939393939393939,0.8356164383561644,0.8169014084507042,0.5535714285714286,0.8607594936708861,0.8648648648648649,0.8481012658227848,0.8255813953488372,0.8974358974358975,0.813953488372093,0.8924731182795699,0.6666666666666667,0.7534246575342466,0.7792207792207793,0.7631578947368421,0.8472222222222222,0.8333333333333334,0.8421052631578947,0.8829787234042553,0.8863636363636364,0.8311688311688312,0.7682926829268293,0.8735632183908046,0.925531914893617,0.8235294117647058,0.8513513513513513,0.8,0.7454545454545455,0.8055555555555556,0.8222222222222222,0.8295454545454546,0.8255813953488372,0.9054054054054054,0.671875,0.8513513513513513,0.8539325842696629,0.8648648648648649,0.8850574712643678,0.9111111111111111,0.8536585365853658,0.8734177215189873,0.8333333333333334,0.9180327868852459,0.863013698630137,0.8507462686567164,0.8,0.8857142857142857,0.8450704225352113,0.8783783783783784,0.858974358974359,0.8904109589041096,0.8333333333333334,0.8375,0.8441558441558441,0.8428571428571429,0.8356164383561644,0.925531914893617,0.42105263157894735,0.4426229508196722,0.8181818181818181,0.453125,0.8690476190476191,0.5211267605633803,0.6833333333333333,0.8390804597701149,0.7901234567901234,0.8961038961038961,0.9102564102564102,0.8723404255319149,0.7692307692307692,0.9189189189189189,0.8536585365853658,0.8846153846153846,0.8607594936708861,0.904109589041096,0.868421052631579,0.8289473684210527,0.8666666666666667,0.8701298701298701,0.8809523809523809,0.8076923076923077,0.6301369863013699,0.88,0.8111111111111111,0.8192771084337349,0.8172043010752688,0.84375,0.825,0.8369565217391304,0.8571428571428572,0.8701298701298701,0.9066666666666666,0.9130434782608696,0.8153846153846154
3LE6_2BZ,0.8571428571428572,0.8082191780821918,0.8571428571428572,0.9292929292929293,0.8928571428571429,0.8701298701298701,0.9024390243902439,0.0,0.8160919540229885,0.8795180722891567,0.8977272727272727,0.9361702127659575,0.8765432098765432,0.9111111111111111,0.8048780487804879,0.9101123595505618,0.9213483146067416,0.9101123595505618,0.9036144578313253,0.810126582278481,0.8953488372093024,0.898876404494382,0.8850574712643678,0.8936170212765957,0.9139784946236559,0.8,0.8481012658227848,0.8405797101449275,0.9259259259259259,0.925531914893617,0.9294117647058824,0.9069767441860466,0.8901098901098901,0.8771929824561404,0.8805970149253731,0.8987341772151899,0.8974358974358975,0.9493670886075949,0.891566265060241,0.821917808219178,0.9058823529411765,0.8924731182795699,0.8266666666666667,0.9052631578947369,0.8586956521739131,0.8863636363636364,0.8795180722891567,0.8837209302325582,0.8837209302325582,0.881578947368421,0.8928571428571429,0.8888888888888888,0.8854166666666666,0.8636363636363636,0.8641975308641976,0.8804347826086957,0.8888888888888888,0.9381443298969072,0.8913043478260869,0.84,0.8817204301075269,0.9402985074626866,0.8717948717948718,0.8979591836734694,0.8947368421052632,0.9157894736842105,0.8142857142857143,0.9642857142857143,0.8243243243243243,0.9052631578947369,0.8378378378378378,0.9,0.9010989010989011,0.8571428571428572,0.8481012658227848,0.8793103448275862,0.8852459016393442,0.8666666666666667,0.8382352941176471,0.8615384615384616,0.9189189189189189,0.8648648648648649,0.9240506329113924,0.9294117647058824,0.8472222222222222,0.8795180722891567,0.9325842696629214,0.8765432098765432,0.9078947368421053,0.9125,0.8295454545454546,0.9425287356321839,0.9101123595505618,0.8235294117647058,0.9021739130434783,0.8850574712643678,0.9191919191919192,0.948051948051948,0.9042553191489362,0.9247311827956989,0.84,0.8987341772151899,0.875,0.9111111111111111,0.8918918918918919,0.8837209302325582,0.8289473684210527,0.8780487804878049,0.9210526315789473,0.8717948717948718,0.8765432098765432,0.8987341772151899,0.8875,0.8837209302325582,0.8690476190476191,0.8666666666666667,0.868421052631579,0.8526315789473684,0.8095238095238095,0.845360824742268,0.8350515463917526,0.8292682926829268,0.8279569892473118,0.8767123287671232,0.9146341463414634,0.9230769230769231,0.9148936170212766,0.9466666666666667
4NJ3_2KD,0.8481012658227848,0.8333333333333334,0.8725490196078431,0.8181818181818181,0.8817204301075269,0.8192771084337349,0.8651685393258427,0.8160919540229885,0.0,0.8444444444444444,0.851063829787234,0.8787878787878788,0.8666666666666667,0.8877551020408163,0.8526315789473684,0.875,0.8969072164948454,0.8631578947368421,0.8409090909090909,0.8461538461538461,0.8089887640449438,0.8404255319148937,0.851063829787234,0.8383838383838383,0.8686868686868687,0.7831325301204819,0.7407407407407407,0.9166666666666666,0.9230769230769231,0.912621359223301,0.8913043478260869,0.8586956521739131,0.88,0.8805970149253731,0.9113924050632911,0.8604651162790697,0.9222222222222223,0.8674698795180723,0.8295454545454546,0.8588235294117648,0.8444444444444444,0.8823529411764706,0.7468354430379747,0.8613861386138614,0.8514851485148515,0.8877551020408163,0.9052631578947369,0.9081632653061225,0.8969072164948454,0.8,0.8314606741573034,0.8255813953488372,0.8431372549019608,0.8191489361702128,0.9042553191489362,0.8247422680412371,0.8064516129032258,0.86,0.87,0.8333333333333334,0.8613861386138614,0.9066666666666666,0.7142857142857143,0.8773584905660378,0.8514851485148515,0.8712871287128713,0.8941176470588236,0.9111111111111111,0.7901234567901234,0.8144329896907216,0.9101123595505618,0.865979381443299,0.9117647058823529,0.9299999999999999,0.8913043478260869,0.9142857142857143,0.855072463768116,0.8433734939759037,0.8461538461538461,0.8028169014084507,0.8481012658227848,0.8271604938271605,0.8433734939759037,0.8409090909090909,0.8809523809523809,0.8817204301075269,0.8602150537634409,0.8,0.8536585365853658,0.8604651162790697,0.86,0.8295454545454546,0.851063829787234,0.8181818181818181,0.845360824742268,0.8387096774193549,0.8867924528301887,0.9047619047619048,0.86,0.9117647058823529,0.8470588235294118,0.8604651162790697,0.8666666666666667,0.8526315789473684,0.8928571428571429,0.8494623655913979,0.8505747126436781,0.9042553191489362,0.9058823529411765,0.8876404494382022,0.8539325842696629,0.8604651162790697,0.8505747126436781,0.8494623655913979,0.8602150537634409,0.8585858585858586,0.8850574712643678,0.8990825688073394,0.8787878787878788,0.8715596330275229,0.9122807017543859,0.8617021276595744,0.8571428571428572,0.8928571428571429,0.8372093023255813,0.9080459770114943,0.9134615384615384,0.8888888888888888
2R3O_2SC,0.8088235294117647,0.8108108108108107,0.90625,0.8736842105263158,0.8674698795180723,0.8108108108108107,0.8481012658227848,0.8795180722891567,0.8444444444444444,0.0,0.898876404494382,0.9021739130434783,0.85,0.875,0.625,0.898876404494382,0.8850574712643678,0.898876404494382,0.891566265060241,0.8690476190476191,0.8705882352941177,0.8620689655172413,0.898876404494382,0.7790697674418605,0.6923076923076923,0.8026315789473684,0.8051948051948052,0.92,0.9523809523809523,0.9263157894736842,0.9302325581395349,0.9325842696629214,0.8666666666666667,0.8983050847457628,0.8985507246376812,0.8571428571428572,0.8701298701298701,0.9230769230769231,0.726027397260274,0.8082191780821918,0.7297297297297297,0.8181818181818181,0.8441558441558441,0.8709677419354839,0.8723404255319149,0.8488372093023255,0.8395061728395061,0.8452380952380952,0.8588235294117648,0.8831168831168831,0.8674698795180723,0.8625,0.8865979381443299,0.8901098901098901,0.8518518518518519,0.8571428571428572,0.7976190476190477,0.96,0.8555555555555556,0.8421052631578947,0.8333333333333334,0.9090909090909091,0.7638888888888888,0.8762886597938144,0.6582278481012658,0.8181818181818181,0.9090909090909091,0.9397590361445783,0.8421052631578947,0.8947368421052632,0.8846153846153846,0.8888888888888888,0.8777777777777778,0.8850574712643678,0.8641975308641976,0.8620689655172413,0.8870967741935484,0.8533333333333333,0.8732394366197183,0.828125,0.8904109589041096,0.8356164383561644,0.868421052631579,0.891566265060241,0.8,0.810126582278481,0.8837209302325582,0.891566265060241,0.88,0.8717948717948718,0.8181818181818181,0.8795180722891567,0.8863636363636364,0.8428571428571429,0.8791208791208791,0.5797101449275363,0.875,0.9487179487179487,0.8817204301075269,0.8522727272727273,0.8571428571428572,0.8860759493670887,0.91,0.8876404494382022,0.8933333333333333,0.7564102564102564,0.6567164179104478,0.6521739130434783,0.7611940298507462,0.6307692307692307,0.26415094339622647,0.5806451612903225,0.6956521739130435,0.5942028985507246,0.3157894736842105,0.9042553191489362,0.9125,0.8775510204081632,0.8777777777777778,0.8585858585858586,0.8712871287128713,0.8588235294117648,0.865979381443299,0.9078947368421053,0.7671232876712328,0.8666666666666667,0.9042553191489362,0.8888888888888888
