,5ETK_5RU,5ETL_5RV,5ETM_5RW,5ETN_5RX,5ETO_5RY,5ETP_5RZ,1EX8_A4P,4M5M_DX4,3UDV_J1C,4F7V_J1D,1RU1_PH2,4M5G_YH1,4M5H_YH2,4M5K_YH3,4M5L_YH4,4M5J_YH5,4M5I_YH6,4M5N_YH7
5ETK_5RU,0.0,0.5344827586206897,0.5555555555555556,0.36734693877551017,0.3207547169811321,0.5,0.826530612244898,0.7592592592592593,0.8113207547169812,0.8285714285714285,0.7457627118644068,0.42307692307692313,0.4339622641509434,0.5084745762711864,0.6507936507936508,0.5172413793103448,0.6825396825396826,0.8245614035087719
5ETL_5RV,0.5344827586206897,0.0,0.6721311475409837,0.639344262295082,0.5625,0.6615384615384615,0.8316831683168316,0.8135593220338984,0.8482142857142857,0.8545454545454545,0.796875,0.6065573770491803,0.5666666666666667,0.6617647058823529,0.6865671641791045,0.6716417910447761,0.696969696969697,0.8524590163934427
5ETM_5RW,0.5555555555555556,0.6721311475409837,0.0,0.48,0.6065573770491803,0.6666666666666667,0.8064516129032258,0.8113207547169812,0.8155339805825242,0.8217821782178218,0.7037037037037037,0.6551724137931034,0.5094339622641509,0.6875,0.5,0.6774193548387097,0.4807692307692307,0.8545454545454545
5ETN_5RX,0.36734693877551017,0.639344262295082,0.48,0.0,0.4464285714285714,0.4814814814814815,0.8105263157894737,0.75,0.8076923076923077,0.8137254901960784,0.736842105263158,0.46153846153846156,0.276595744680851,0.5172413793103448,0.6825396825396826,0.5,0.6721311475409837,0.8181818181818181
5ETO_5RY,0.3207547169811321,0.5625,0.6065573770491803,0.4464285714285714,0.0,0.5555555555555556,0.8269230769230769,0.7868852459016393,0.8333333333333334,0.8392857142857143,0.7727272727272727,0.540983606557377,0.30188679245283023,0.5606060606060606,0.7222222222222222,0.5692307692307692,0.7142857142857143,0.84375
5ETP_5RZ,0.5,0.6615384615384615,0.6666666666666667,0.4814814814814815,0.5555555555555556,0.0,0.8061224489795918,0.7678571428571428,0.7924528301886793,0.7980769230769231,0.7333333333333334,0.21276595744680848,0.5087719298245614,0.33333333333333337,0.5737704918032787,0.24,0.4545454545454546,0.8305084745762712
1EX8_A4P,0.826530612244898,0.8316831683168316,0.8064516129032258,0.8105263157894737,0.8269230769230769,0.8061224489795918,0.0,0.8636363636363636,0.5277777777777778,0.5283018867924528,0.6103896103896104,0.8020833333333334,0.8041237113402062,0.8137254901960784,0.7959183673469388,0.797979797979798,0.8041237113402062,0.8764044943820225
4M5M_DX4,0.7592592592592593,0.8135593220338984,0.8113207547169812,0.75,0.7868852459016393,0.7678571428571428,0.8636363636363636,0.0,0.8673469387755102,0.8631578947368421,0.8200000000000001,0.7592592592592593,0.7636363636363637,0.7833333333333333,0.8333333333333334,0.7758620689655172,0.8275862068965517,0.4242424242424242
3UDV_J1C,0.8113207547169812,0.8482142857142857,0.8155339805825242,0.8076923076923077,0.8333333333333334,0.7924528301886793,0.5277777777777778,0.8673469387755102,0.0,0.3465346534653465,0.7578947368421053,0.7884615384615384,0.8130841121495327,0.7889908256880733,0.7830188679245282,0.7850467289719626,0.7904761904761904,0.8787878787878788
4F7V_J1D,0.8285714285714285,0.8545454545454545,0.8217821782178218,0.8137254901960784,0.8392857142857143,0.7980769230769231,0.5283018867924528,0.8631578947368421,0.3465346534653465,0.0,0.7634408602150538,0.7941176470588236,0.819047619047619,0.794392523364486,0.7884615384615384,0.7788461538461539,0.7961165048543689,0.8865979381443299
1RU1_PH2,0.7457627118644068,0.796875,0.7037037037037037,0.736842105263158,0.7727272727272727,0.7333333333333334,0.6103896103896104,0.8200000000000001,0.7578947368421053,0.7634408602150538,0.0,0.7241379310344828,0.75,0.7301587301587302,0.6949152542372881,0.7419354838709677,0.7068965517241379,0.8653846153846154
4M5G_YH1,0.42307692307692313,0.6065573770491803,0.6551724137931034,0.46153846153846156,0.540983606557377,0.21276595744680848,0.8020833333333334,0.7592592592592593,0.7884615384615384,0.7941176470588236,0.7241379310344828,0.0,0.49090909090909096,0.24,0.5087719298245614,0.24489795918367352,0.4629629629629629,0.8245614035087719
4M5H_YH2,0.4339622641509434,0.5666666666666667,0.5094339622641509,0.276595744680851,0.30188679245283023,0.5087719298245614,0.8041237113402062,0.7636363636363637,0.8130841121495327,0.819047619047619,0.75,0.49090909090909096,0.0,0.540983606557377,0.696969696969697,0.5254237288135593,0.6875,0.8275862068965517
4M5K_YH3,0.5084745762711864,0.6617647058823529,0.6875,0.5172413793103448,0.5606060606060606,0.33333333333333337,0.8137254901960784,0.7833333333333333,0.7889908256880733,0.794392523364486,0.7301587301587302,0.24,0.540983606557377,0.0,0.532258064516129,0.32727272727272727,0.4655172413793104,0.8412698412698413
4M5L_YH4,0.6507936507936508,0.6865671641791045,0.5,0.6825396825396826,0.7222222222222222,0.5737704918032787,0.7959183673469388,0.8333333333333334,0.7830188679245282,0.7884615384615384,0.6949152542372881,0.5087719298245614,0.696969696969697,0.532258064516129,0.0,0.564516129032258,0.3137254901960784,0.8709677419354839
4M5J_YH5,0.5172413793103448,0.6716417910447761,0.6774193548387097,0.5,0.5692307692307692,0.24,0.797979797979798,0.7758620689655172,0.7850467289719626,0.7788461538461539,0.7419354838709677,0.24489795918367352,0.5254237288135593,0.32727272727272727,0.564516129032258,0.0,0.4464285714285714,0.8360655737704918
4M5I_YH6,0.6825396825396826,0.696969696969697,0.4807692307692307,0.6721311475409837,0.7142857142857143,0.4545454545454546,0.8041237113402062,0.8275862068965517,0.7904761904761904,0.7961165048543689,0.7068965517241379,0.4629629629629629,0.6875,0.4655172413793104,0.3137254901960784,0.4464285714285714,0.0,0.8666666666666667
4M5N_YH7,0.8245614035087719,0.8524590163934427,0.8545454545454545,0.8181818181818181,0.84375,0.8305084745762712,0.8764044943820225,0.4242424242424242,0.8787878787878788,0.8865979381443299,0.8653846153846154,0.8245614035087719,0.8275862068965517,0.8412698412698413,0.8709677419354839,0.8360655737704918,0.8666666666666667,0.0
