,4JH0_1MD,4LKO_1WH,2OPH_277,4N8D_2KS,4N8E_2KV,3C43_315,3C45_317,3HAC_361,2HHA_3TP,2P8S_417,2QOE_448,2QTB_474,2QT9_524,2IIV_565,1RWQ_5AP,3D4L_605,3HAB_677,3NOX_6A5,5I7U_6AJ,5ISM_6DG,5KBY_6RL,1X70_715,5T4E_75L,5T4F_75M,5T4B_75N,2IIT_872,1N1M_A3M,3EIO_AJH,3KWF_B1Q,3CCB_B2Y,2OAG_DLI,2OLE_KR2,3SWW_KXB,3VJK_M51,4A5S_N7F,3F8S_PF2,2QJR_PZF,3G0G_RUM,2FJP_S14,3G0B_T22,2OGZ_U1N,3VJM_W61,3VJL_W94
4JH0_1MD,0.0,0.31746031746031744,0.8823529411764706,0.8641975308641976,0.8072289156626506,0.8415841584158416,0.7894736842105263,0.8452380952380952,0.8666666666666667,0.8555555555555556,0.8131868131868132,0.8383838383838383,0.8210526315789474,0.8275862068965517,0.6933333333333334,0.8588235294117648,0.813953488372093,0.6075949367088608,0.83,0.8260869565217391,0.8494623655913979,0.8314606741573034,0.8269230769230769,0.8598130841121495,0.8440366972477065,0.8351648351648352,0.8985507246376812,0.8372093023255813,0.8369565217391304,0.8615384615384616,0.851063829787234,0.8352941176470589,0.49295774647887325,0.8315789473684211,0.8571428571428572,0.8913043478260869,0.8444444444444444,0.8723404255319149,0.84375,0.8571428571428572,0.8658536585365854,0.8484848484848485,0.8514851485148515
4LKO_1WH,0.31746031746031744,0.0,0.9431818181818182,0.875,0.8170731707317074,0.8725490196078431,0.7978723404255319,0.8554216867469879,0.8888888888888888,0.8651685393258427,0.8478260869565217,0.9029126213592233,0.9,0.8636363636363636,0.647887323943662,0.8823529411764706,0.8235294117647058,0.6329113924050633,0.826530612244898,0.8351648351648352,0.8333333333333334,0.8539325842696629,0.8235294117647058,0.8461538461538461,0.8301886792452831,0.8695652173913043,0.927536231884058,0.8604651162790697,0.8461538461538461,0.8571428571428572,0.8602150537634409,0.8588235294117648,0.25,0.8645833333333334,0.8761904761904762,0.9247311827956989,0.8275862068965517,0.8817204301075269,0.91,0.8409090909090909,0.8902439024390244,0.88,0.8932038834951457
2OPH_277,0.8823529411764706,0.9431818181818182,0.0,0.9466666666666667,0.9113924050632911,0.6835443037974683,0.8666666666666667,0.9090909090909091,0.7972972972972973,0.8888888888888888,0.8414634146341463,0.6923076923076923,0.6056338028169015,0.8441558441558441,0.9759036144578314,0.8947368421052632,0.9012345679012346,0.8977272727272727,0.8817204301075269,0.9204545454545454,0.8536585365853658,0.8481012658227848,0.91,0.91,0.9134615384615384,0.8658536585365854,0.6875,0.8552631578947368,0.8941176470588236,0.9833333333333333,0.8953488372093024,0.868421052631579,0.9438202247191011,0.8863636363636364,0.9191919191919192,0.8734177215189873,0.8765432098765432,0.8928571428571429,0.6388888888888888,0.8765432098765432,0.8571428571428572,0.8901098901098901,0.8804347826086957
4N8D_2KS,0.8641975308641976,0.875,0.9466666666666667,0.0,0.6825396825396826,0.8901098901098901,0.8876404494382022,0.92,0.9382716049382716,0.9125,0.9176470588235294,0.9,0.9090909090909091,0.9113924050632911,0.8918918918918919,0.92,0.925,0.8941176470588236,0.9139784946236559,0.9047619047619048,0.9036144578313253,0.9135802469135803,0.8478260869565217,0.9183673469387755,0.865979381443299,0.9156626506024097,0.9655172413793104,0.8947368421052632,0.9166666666666666,0.7916666666666666,0.9176470588235294,0.863013698630137,0.8765432098765432,0.8953488372093024,0.8817204301075269,0.8974358974358975,0.9135802469135803,0.875,0.9080459770114943,0.8717948717948718,0.9305555555555556,0.898876404494382,0.8888888888888888
4N8E_2KV,0.8072289156626506,0.8170731707317074,0.9113924050632911,0.6825396825396826,0.0,0.8631578947368421,0.8222222222222222,0.8860759493670887,0.8658536585365854,0.8674698795180723,0.875,0.8602150537634409,0.8555555555555556,0.8518518518518519,0.8441558441558441,0.8717948717948718,0.8795180722891567,0.8255813953488372,0.8131868131868132,0.8620689655172413,0.8048780487804879,0.8823529411764706,0.846938775510204,0.8350515463917526,0.8529411764705882,0.8588235294117648,0.8833333333333333,0.8625,0.8048780487804879,0.8596491228070176,0.875,0.8311688311688312,0.8192771084337349,0.8791208791208791,0.8315789473684211,0.8658536585365854,0.8953488372093024,0.8024691358024691,0.8913043478260869,0.782051282051282,0.9090909090909091,0.8829787234042553,0.8736842105263158
3C43_315,0.8415841584158416,0.8725490196078431,0.6835443037974683,0.8901098901098901,0.8631578947368421,0.0,0.6808510638297872,0.8478260869565217,0.6941176470588235,0.845360824742268,0.8181818181818181,0.7216494845360825,0.6555555555555556,0.7934782608695652,0.9191919191919192,0.8351648351648352,0.7241379310344828,0.8446601941747574,0.8333333333333334,0.83,0.8041237113402062,0.8229166666666666,0.8608695652173913,0.8706896551724138,0.875,0.8144329896907216,0.8028169014084507,0.8021978021978022,0.8514851485148515,0.9358974358974359,0.7282608695652174,0.8131868131868132,0.8952380952380953,0.8461538461538461,0.868421052631579,0.8787878787878788,0.8229166666666666,0.85,0.6813186813186813,0.8229166666666666,0.8409090909090909,0.8504672897196262,0.8317757009345794
3C45_317,0.7894736842105263,0.7978723404255319,0.8666666666666667,0.8876404494382022,0.8222222222222222,0.6808510638297872,0.0,0.8817204301075269,0.6375,0.8775510204081632,0.85,0.803921568627451,0.8217821782178218,0.8404255319148937,0.8202247191011236,0.8695652173913043,0.7752808988764045,0.8061224489795918,0.8301886792452831,0.8613861386138614,0.8247422680412371,0.8673469387755102,0.8482142857142857,0.8272727272727273,0.853448275862069,0.8350515463917526,0.8783783783783784,0.8494623655913979,0.8712871287128713,0.92,0.8020833333333334,0.8478260869565217,0.8,0.8867924528301887,0.8454545454545455,0.8762886597938144,0.8787878787878788,0.846938775510204,0.8431372549019608,0.8191489361702128,0.8636363636363636,0.8796296296296297,0.8818181818181818
3HAC_361,0.8452380952380952,0.8554216867469879,0.9090909090909091,0.92,0.8860759493670887,0.8478260869565217,0.8817204301075269,0.0,0.8902439024390244,0.6857142857142857,0.8170731707317074,0.8817204301075269,0.8777777777777778,0.8181818181818181,0.8846153846153846,0.8831168831168831,0.375,0.8620689655172413,0.8351648351648352,0.7721518987341772,0.8571428571428572,0.8227848101265822,0.8556701030927836,0.8673469387755102,0.8613861386138614,0.8271604938271605,0.9516129032258065,0.8441558441558441,0.8148148148148149,0.9322033898305084,0.6891891891891893,0.8421052631578947,0.8837209302325582,0.8888888888888888,0.8762886597938144,0.8765432098765432,0.6521739130434783,0.8690476190476191,0.8764044943820225,0.8795180722891567,0.9066666666666666,0.8426966292134832,0.8947368421052632
2HHA_3TP,0.8666666666666667,0.8888888888888888,0.7972972972972973,0.9382716049382716,0.8658536585365854,0.6941176470588235,0.6375,0.8902439024390244,0.0,0.8977272727272727,0.8409090909090909,0.7752808988764045,0.7816091954022988,0.8292682926829268,0.891566265060241,0.8481012658227848,0.7848101265822784,0.8314606741573034,0.8673469387755102,0.8791208791208791,0.8777777777777778,0.8333333333333334,0.8737864077669903,0.8737864077669903,0.8785046728971962,0.8505747126436781,0.6274509803921569,0.7948717948717949,0.9021739130434783,0.9206349206349207,0.7857142857142857,0.8076923076923077,0.8777777777777778,0.8586956521739131,0.8823529411764706,0.8433734939759037,0.8604651162790697,0.8636363636363636,0.7647058823529411,0.8735632183908046,0.8552631578947368,0.851063829787234,0.865979381443299
2P8S_417,0.8555555555555556,0.8651685393258427,0.8888888888888888,0.9125,0.8674698795180723,0.845360824742268,0.8775510204081632,0.6857142857142857,0.8977272727272727,0.0,0.7738095238095238,0.865979381443299,0.8617021276595744,0.8024691358024691,0.9058823529411765,0.891566265060241,0.7066666666666667,0.8947368421052632,0.8085106382978724,0.7439024390243902,0.8409090909090909,0.5857142857142856,0.875,0.8962264150943396,0.8899082568807339,0.7976190476190477,0.9242424242424242,0.7974683544303798,0.8,0.9384615384615385,0.7590361445783133,0.810126582278481,0.8913043478260869,0.8351648351648352,0.883495145631068,0.8452380952380952,0.7468354430379747,0.8777777777777778,0.8723404255319149,0.875,0.9135802469135803,0.8021978021978022,0.8064516129032258
