,4JLN_18V,4JLJ_1NM,4JLM_1NN,4Q18_2XJ,4Q19_2XL,4Q1C_2XM,4Q1F_2XN,4Q1A_2XZ,4Q1B_2Y0,4Q1D_2Y1,3IPX_B86
4JLN_18V,0.0,0.3492063492063492,0.14035087719298245,0.3857142857142857,0.2833333333333333,0.2068965517241379,0.5569620253164558,0.1228070175438597,0.472972972972973,0.28125,0.8941176470588236
4JLJ_1NM,0.3492063492063492,0.0,0.3278688524590164,0.620253164556962,0.5652173913043479,0.5074626865671642,0.5897435897435898,0.43939393939393945,0.6867469879518072,0.46376811594202894,0.875
4JLM_1NN,0.14035087719298245,0.3278688524590164,0.0,0.4794520547945206,0.39682539682539686,0.3278688524590164,0.5641025641025641,0.25,0.5584415584415585,0.36363636363636365,0.891566265060241
4Q18_2XJ,0.3857142857142857,0.620253164556962,0.4794520547945206,0.0,0.4117647058823529,0.42028985507246375,0.632183908045977,0.3529411764705882,0.5783132530120482,0.5256410256410257,0.8876404494382022
4Q19_2XL,0.2833333333333333,0.5652173913043479,0.39682539682539686,0.4117647058823529,0.0,0.2931034482758621,0.6375,0.24137931034482762,0.47887323943661975,0.5,0.8875
4Q1C_2XM,0.2068965517241379,0.5074626865671642,0.3278688524590164,0.42028985507246375,0.2931034482758621,0.0,0.6075949367088608,0.09259259259259256,0.44285714285714284,0.4411764705882353,0.875
4Q1F_2XN,0.5569620253164558,0.5897435897435898,0.5641025641025641,0.632183908045977,0.6375,0.6075949367088608,0.0,0.5512820512820513,0.5308641975308642,0.410958904109589,0.8888888888888888
4Q1A_2XZ,0.1228070175438597,0.43939393939393945,0.25,0.3529411764705882,0.24137931034482762,0.09259259259259256,0.5512820512820513,0.0,0.4657534246575342,0.3731343283582089,0.8795180722891567
4Q1B_2Y0,0.472972972972973,0.6867469879518072,0.5584415584415585,0.5783132530120482,0.47887323943661975,0.44285714285714284,0.5308641975308642,0.4657534246575342,0.0,0.6144578313253012,0.9120879120879121
4Q1D_2Y1,0.28125,0.46376811594202894,0.36363636363636365,0.5256410256410257,0.5,0.4411764705882353,0.410958904109589,0.3731343283582089,0.6144578313253012,0.0,0.896551724137931
3IPX_B86,0.8941176470588236,0.875,0.891566265060241,0.8876404494382022,0.8875,0.875,0.8888888888888888,0.8795180722891567,0.9120879120879121,0.896551724137931,0.0
