,4KWO_1UD,4LBU_1WJ,4LEQ_1WK,3GC5_2MQ,4PUK_2WU,4Q4O_2YM,4Q4P_2YO,2BBF_344,3TLL_62D,5JXQ_6OK,3GC4_AAQ,3SM0_AEK,3GE7_AFQ,1K4G_AIQ,1K4H_APQ,1ENU_APZ,1S39_AQO,1N2V_BDI,2Z7K_BGU,1Q65_BHB,4PUJ_CKR,1F3E_DPZ,1R5Y_DQU,1Y5X_E89,3RR4_HRD,3S1G_ITE,6RKQ_K75,6RKT_K7H,1Q66_KMB,1S38_MAQ,1Y5V_NE8,1Y5W_NEZ,3EOS_PK2,3EOU_PK3,3C2Y_S60,2QZR_S79,4Q4Q_SAQ,4Q4R_SQO
4KWO_1UD,0.0,0.11111111111111116,0.12698412698412698,0.5694444444444444,0.6029411764705883,0.7037037037037037,0.7816091954022988,0.7567567567567568,0.6712328767123288,0.6790123456790124,0.4864864864864865,0.6896551724137931,0.4084507042253521,0.7439024390243902,0.6973684210526316,0.8591549295774648,0.7681159420289855,0.8289473684210527,0.7014925373134329,0.7088607594936709,0.7023809523809523,0.863013698630137,0.881578947368421,0.6153846153846154,0.6567164179104478,0.6986301369863014,0.7560975609756098,0.736842105263158,0.7439024390243902,0.7972972972972973,0.6493506493506493,0.641025641025641,0.4084507042253521,0.5555555555555556,0.704225352112676,0.7228915662650602,0.7840909090909091,0.7752808988764045
4LBU_1WJ,0.11111111111111116,0.0,0.11290322580645162,0.5633802816901409,0.5970149253731343,0.7,0.7790697674418605,0.7534246575342466,0.6666666666666667,0.675,0.4794520547945206,0.686046511627907,0.4,0.7407407407407407,0.6933333333333334,0.8571428571428572,0.7647058823529411,0.8266666666666667,0.696969696969697,0.7051282051282051,0.6987951807228916,0.8611111111111112,0.88,0.6103896103896104,0.6515151515151515,0.6944444444444444,0.7530864197530864,0.7333333333333334,0.7407407407407407,0.7945205479452055,0.6447368421052632,0.6363636363636364,0.4,0.5492957746478873,0.7,0.7037037037037037,0.7816091954022988,0.7727272727272727
4LEQ_1WK,0.12698412698412698,0.11290322580645162,0.0,0.5571428571428572,0.5909090909090908,0.7125,0.7906976744186046,0.75,0.6619718309859155,0.6708860759493671,0.4722222222222222,0.6976744186046512,0.41428571428571426,0.7375,0.6891891891891893,0.855072463768116,0.7611940298507462,0.8243243243243243,0.6923076923076923,0.7012987012987013,0.7108433734939759,0.8591549295774648,0.8783783783783784,0.6052631578947368,0.6461538461538461,0.6901408450704225,0.75,0.7466666666666666,0.7375,0.7916666666666666,0.64,0.631578947368421,0.41428571428571426,0.5428571428571429,0.6956521739130435,0.7160493827160495,0.7790697674418605,0.7840909090909091
3GC5_2MQ,0.5694444444444444,0.5633802816901409,0.5571428571428572,0.0,0.43999999999999995,0.6666666666666667,0.7638888888888888,0.6607142857142857,0.5454545454545454,0.6363636363636364,0.515625,0.5303030303030303,0.523076923076923,0.676923076923077,0.6333333333333333,0.7924528301886793,0.6666666666666667,0.7796610169491526,0.6274509803921569,0.6507936507936508,0.6470588235294117,0.8214285714285714,0.8275862068965517,0.6212121212121212,0.5686274509803921,0.631578947368421,0.7121212121212122,0.6833333333333333,0.65625,0.736842105263158,0.6190476190476191,0.609375,0.523076923076923,0.1875,0.6363636363636364,0.6307692307692307,0.7671232876712328,0.7733333333333333
4PUK_2WU,0.6029411764705883,0.5970149253731343,0.5909090909090908,0.43999999999999995,0.0,0.5964912280701755,0.6935483870967742,0.4418604651162791,0.2857142857142857,0.4814814814814815,0.55,0.6911764705882353,0.5573770491803278,0.7,0.6545454545454545,0.782608695652174,0.5714285714285714,0.8363636363636364,0.368421052631579,0.6724137931034483,0.4444444444444444,0.7916666666666666,0.8235294117647058,0.6825396825396826,0.2894736842105263,0.4444444444444444,0.6,0.5510204081632653,0.7,0.72,0.6833333333333333,0.6721311475409837,0.5573770491803278,0.4509803921568627,0.40476190476190477,0.4117647058823529,0.6774193548387097,0.6875
4Q4O_2YM,0.7037037037037037,0.7,0.7125,0.6666666666666667,0.5964912280701755,0.0,0.28301886792452835,0.7166666666666667,0.6101694915254237,0.5846153846153845,0.6712328767123288,0.7468354430379747,0.6388888888888888,0.7605633802816901,0.7462686567164178,0.8421052631578947,0.75,0.8787878787878788,0.6415094339622642,0.7571428571428571,0.3793103448275862,0.8275862068965517,0.8333333333333334,0.76,0.6842105263157895,0.7096774193548387,0.7571428571428571,0.7142857142857143,0.7605633802816901,0.7241379310344828,0.7464788732394366,0.7534246575342466,0.6388888888888888,0.6716417910447761,0.6949152542372881,0.6,0.704225352112676,0.5079365079365079
4Q4P_2YO,0.7816091954022988,0.7790697674418605,0.7906976744186046,0.7638888888888888,0.6935483870967742,0.28301886792452835,0.0,0.7,0.639344262295082,0.6714285714285715,0.759493670886076,0.7012987012987013,0.7307692307692308,0.8133333333333334,0.8356164383561644,0.8833333333333333,0.8360655737704918,0.8805970149253731,0.7627118644067796,0.8421052631578947,0.4920634920634921,0.8688524590163934,0.873015873015873,0.7631578947368421,0.6896551724137931,0.6271186440677966,0.7777777777777778,0.7575757575757576,0.8441558441558441,0.828125,0.75,0.7567567567567568,0.7307692307692308,0.7671232876712328,0.78125,0.6857142857142857,0.6323529411764706,0.41666666666666663
2BBF_344,0.7567567567567568,0.7534246575342466,0.75,0.6607142857142857,0.4418604651162791,0.7166666666666667,0.7,0.0,0.62,0.6140350877192983,0.7272727272727273,0.7536231884057971,0.7313432835820896,0.6607142857142857,0.6851851851851851,0.7674418604651163,0.5384615384615384,0.8490566037735849,0.4054054054054054,0.7017543859649122,0.5789473684210527,0.7777777777777778,0.8125,0.5964912280701755,0.6521739130434783,0.6041666666666667,0.8064516129032258,0.8070175438596492,0.7068965517241379,0.7291666666666667,0.5660377358490566,0.5818181818181818,0.7313432835820896,0.6666666666666667,0.47619047619047616,0.5555555555555556,0.6833333333333333,0.6935483870967742
3TLL_62D,0.6712328767123288,0.6666666666666667,0.6619718309859155,0.5454545454545454,0.2857142857142857,0.6101694915254237,0.639344262295082,0.62,0.0,0.5263157894736843,0.6307692307692307,0.6811594202898551,0.6363636363636364,0.7692307692307692,0.711864406779661,0.84,0.7346938775510203,0.8,0.5777777777777777,0.746031746031746,0.5172413793103448,0.8461538461538461,0.8727272727272728,0.7313432835820896,0.28205128205128205,0.46808510638297873,0.6610169491525424,0.6226415094339622,0.7692307692307692,0.8,0.734375,0.7230769230769231,0.6363636363636364,0.5535714285714286,0.5319148936170213,0.49090909090909096,0.6229508196721312,0.6349206349206349
5JXQ_6OK,0.6790123456790124,0.675,0.6708860759493671,0.6363636363636364,0.4814814814814815,0.5846153846153845,0.6714285714285715,0.6140350877192983,0.5263157894736843,0.0,0.6056338028169015,0.7682926829268293,0.6301369863013699,0.7323943661971831,0.7164179104477613,0.8070175438596492,0.6415094339622642,0.8307692307692307,0.45833333333333337,0.7285714285714286,0.47619047619047616,0.8333333333333334,0.8,0.6231884057971014,0.5192307692307692,0.6333333333333333,0.7638888888888888,0.7424242424242424,0.6956521739130435,0.7741935483870968,0.6212121212121212,0.6119402985074627,0.6301369863013699,0.5555555555555556,0.4807692307692307,0.47540983606557374,0.6176470588235294,0.6086956521739131
