,3U6J_03X,3VNT_0JA,3VO3_0KF,3VHE_42Q,5EW3_5T2,2P2I_608,2QU6_857,2P2H_994,1Y6B_AAX,1Y6A_AAZ,4ASE_AV9,4AG8_AXI,3WZE_BAX,2OH4_GIG,3EWH_K11,3WZD_LEV,6XVK_O3E,3BE2_RAJ,3CJF_SAV,3C7Q_XIN
3U6J_03X,0.0,0.8347826086956522,0.7821782178217822,0.7676767676767677,0.8,0.7613636363636364,0.7946428571428572,0.7640449438202247,0.8173076923076923,0.8080808080808081,0.6292134831460674,0.8144329896907216,0.7608695652173914,0.801980198019802,0.8018867924528301,0.6739130434782609,0.696078431372549,0.8018018018018018,0.7666666666666666,0.7924528301886793
3VNT_0JA,0.8347826086956522,0.0,0.7156862745098039,0.7378640776699029,0.8163265306122449,0.8181818181818181,0.8083333333333333,0.9174311926605505,0.8303571428571428,0.8648648648648649,0.8073394495412844,0.8611111111111112,0.803921568627451,0.7352941176470589,0.8461538461538461,0.7850467289719626,0.8151260504201681,0.889763779527559,0.9279279279279279,0.8666666666666667
3VO3_0KF,0.7821782178217822,0.7156862745098039,0.0,0.7473684210526316,0.8068181818181819,0.7954545454545454,0.7777777777777778,0.8617021276595744,0.8235294117647058,0.8613861386138614,0.8446601941747574,0.88,0.7934782608695652,0.8200000000000001,0.8928571428571429,0.8217821782178218,0.8596491228070176,0.8392857142857143,0.8631578947368421,0.8425925925925926
3VHE_42Q,0.7676767676767677,0.7378640776699029,0.7473684210526316,0.0,0.6835443037974683,0.8068181818181819,0.8090909090909091,0.8478260869565217,0.8557692307692308,0.8484848484848485,0.7835051546391752,0.8673469387755102,0.6904761904761905,0.6071428571428572,0.77,0.7708333333333334,0.8165137614678899,0.7714285714285715,0.8969072164948454,0.8411214953271028
5EW3_5T2,0.8,0.8163265306122449,0.8068181818181819,0.6835443037974683,0.0,0.5555555555555556,0.875,0.8641975308641976,0.8586956521739131,0.8372093023255813,0.8571428571428572,0.7721518987341772,0.7692307692307692,0.7590361445783133,0.7613636363636364,0.8444444444444444,0.8613861386138614,0.6781609195402298,0.8795180722891567,0.8421052631578947
2P2I_608,0.7613636363636364,0.8181818181818181,0.7954545454545454,0.8068181818181819,0.5555555555555556,0.0,0.7959183673469388,0.7763157894736842,0.8351648351648352,0.8255813953488372,0.8202247191011236,0.775,0.7066666666666667,0.7906976744186046,0.8043478260869565,0.8202247191011236,0.8041237113402062,0.7391304347826086,0.8536585365853658,0.8315789473684211
2QU6_857,0.7946428571428572,0.8083333333333333,0.7777777777777778,0.8090909090909091,0.875,0.7959183673469388,0.0,0.8333333333333334,0.7889908256880733,0.8240740740740741,0.7641509433962264,0.819047619047619,0.5862068965517242,0.8073394495412844,0.847457627118644,0.7523809523809524,0.7863247863247863,0.8548387096774194,0.8,0.8389830508474576
2P2H_994,0.7640449438202247,0.9174311926605505,0.8617021276595744,0.8478260869565217,0.8641975308641976,0.7763157894736842,0.8333333333333334,0.0,0.7840909090909091,0.7710843373493976,0.7954545454545454,0.8488372093023255,0.8735632183908046,0.8829787234042553,0.752808988764045,0.8089887640449438,0.8181818181818181,0.7553191489361702,0.6231884057971014,0.8333333333333334
1Y6B_AAX,0.8173076923076923,0.8303571428571428,0.8235294117647058,0.8557692307692308,0.8586956521739131,0.8351648351648352,0.7889908256880733,0.7840909090909091,0.0,0.4027777777777778,0.81,0.8910891089108911,0.8673469387755102,0.8761904761904762,0.8411214953271028,0.797979797979798,0.8181818181818181,0.8392857142857143,0.8260869565217391,0.8839285714285714
1Y6A_AAZ,0.8080808080808081,0.8648648648648649,0.8613861386138614,0.8484848484848485,0.8372093023255813,0.8255813953488372,0.8240740740740741,0.7710843373493976,0.4027777777777778,0.0,0.8125,0.8369565217391304,0.8723404255319149,0.8811881188118812,0.81,0.8367346938775511,0.8207547169811321,0.8095238095238095,0.8160919540229885,0.8571428571428572
