,1YWR_LI9,2GTM_LID,2GTN_LIE,3P5K_P5K,3P78_P78,3P79_P79,3P7A_P7A,3P7B_P7B,3P7C_P7C,1YW2_PGJ
1YWR_LI9,0.0,0.851063829787234,0.8314606741573034,0.8942307692307693,0.8932038834951457,0.8640776699029127,0.8877551020408163,0.8571428571428572,0.8956521739130435,0.6888888888888889
2GTM_LID,0.851063829787234,0.0,0.6153846153846154,0.8522727272727273,0.9010989010989011,0.8804347826086957,0.8414634146341463,0.8478260869565217,0.846938775510204,0.8444444444444444
2GTN_LIE,0.8314606741573034,0.6153846153846154,0.0,0.8452380952380952,0.896551724137931,0.875,0.8333333333333334,0.8539325842696629,0.898989898989899,0.8095238095238095
3P5K_P5K,0.8942307692307693,0.8522727272727273,0.8452380952380952,0.0,0.27419354838709675,0.6075949367088608,0.30000000000000004,0.28787878787878785,0.5,0.8787878787878788
3P78_P78,0.8932038834951457,0.9010989010989011,0.896551724137931,0.27419354838709675,0.0,0.46478873239436624,0.5147058823529411,0.4864864864864865,0.5662650602409638,0.8888888888888888
3P79_P79,0.8640776699029127,0.8804347826086957,0.875,0.6075949367088608,0.46478873239436624,0.0,0.6133333333333333,0.7362637362637363,0.7676767676767677,0.8585858585858586
3P7A_P7A,0.8877551020408163,0.8414634146341463,0.8333333333333334,0.30000000000000004,0.5147058823529411,0.6133333333333333,0.0,0.49295774647887325,0.6588235294117647,0.8709677419354839
3P7B_P7B,0.8571428571428572,0.8478260869565217,0.8539325842696629,0.28787878787878785,0.4864864864864865,0.7362637362637363,0.49295774647887325,0.0,0.45679012345679015,0.8514851485148515
3P7C_P7C,0.8956521739130435,0.846938775510204,0.898989898989899,0.5,0.5662650602409638,0.7676767676767677,0.6588235294117647,0.45679012345679015,0.0,0.9017857142857143
1YW2_PGJ,0.6888888888888889,0.8444444444444444,0.8095238095238095,0.8787878787878788,0.8888888888888888,0.8585858585858586,0.8709677419354839,0.8514851485148515,0.9017857142857143,0.0
