,4PTE_2WF,4PTG_2WG,3F7Z_34O,3DU8_553,5HLP_65A,5K5N_6QH,5KPK_6VK,4ACC_7YG,1Q3W_ATU,3GB2_G3B,6HK3_G8B,6HK4_G8E,1Q41_IXM,6Y9R_OH8,6Y9S_OHK,4AFJ_SJJ,1Q3D_STU,1Q5K_TMU,3I4B_Z48,3ZRK_ZRK,3ZRL_ZRL,3ZRM_ZRM
4PTE_2WF,0.0,0.5,0.9,0.8115942028985508,0.8961038961038961,0.8433734939759037,0.8961038961038961,0.7875,0.9066666666666666,0.8904109589041096,0.8024691358024691,0.7532467532467533,0.9230769230769231,0.788235294117647,0.7875,0.7761194029850746,0.9010989010989011,0.8333333333333334,0.825,0.8166666666666667,0.8253968253968254,0.803030303030303
4PTG_2WG,0.5,0.0,0.8588235294117648,0.8333333333333334,0.8536585365853658,0.8333333333333334,0.8941176470588236,0.8089887640449438,0.9036144578313253,0.8888888888888888,0.7529411764705882,0.7931034482758621,0.9324324324324325,0.7956989247311828,0.8089887640449438,0.7866666666666666,0.8526315789473684,0.7922077922077921,0.8295454545454546,0.8732394366197183,0.8783783783783784,0.8717948717948718
3F7Z_34O,0.9,0.8588235294117648,0.0,0.891566265060241,0.8414634146341463,0.8089887640449438,0.9204545454545454,0.8854166666666666,0.9425287356321839,0.8026315789473684,0.8494623655913979,0.8958333333333334,0.9473684210526316,0.87,0.8494623655913979,0.8205128205128205,0.9215686274509804,0.8674698795180723,0.8817204301075269,0.8904109589041096,0.9230769230769231,0.9146341463414634
3DU8_553,0.8115942028985508,0.8333333333333334,0.891566265060241,0.0,0.858974358974359,0.9130434782608696,0.858974358974359,0.8522727272727273,0.868421052631579,0.9102564102564102,0.8651685393258427,0.8505747126436781,0.8787878787878788,0.8736842105263158,0.8901098901098901,0.868421052631579,0.8936170212765957,0.8860759493670887,0.8863636363636364,0.8461538461538461,0.8529411764705882,0.8472222222222222
5HLP_65A,0.8961038961038961,0.8536585365853658,0.8414634146341463,0.858974358974359,0.0,0.8426966292134832,0.7222222222222222,0.8936170212765957,0.8289473684210527,0.8860759493670887,0.7906976744186046,0.8924731182795699,0.8153846153846154,0.865979381443299,0.8817204301075269,0.858974358974359,0.8111111111111111,0.8333333333333334,0.8651685393258427,0.8857142857142857,0.8904109589041096,0.8831168831168831
5K5N_6QH,0.8433734939759037,0.8333333333333334,0.8089887640449438,0.9130434782608696,0.8426966292134832,0.0,0.9270833333333334,0.8144329896907216,0.9361702127659575,0.8620689655172413,0.75,0.8125,0.926829268292683,0.79,0.7894736842105263,0.5915492957746479,0.8867924528301887,0.7857142857142857,0.8571428571428572,0.8734177215189873,0.9047619047619048,0.8850574712643678
5KPK_6VK,0.8961038961038961,0.8941176470588236,0.9204545454545454,0.858974358974359,0.7222222222222222,0.9270833333333334,0.0,0.9052631578947369,0.8441558441558441,0.9135802469135803,0.8936170212765957,0.9042553191489362,0.8676470588235294,0.865979381443299,0.8817204301075269,0.9146341463414634,0.8617021276595744,0.9166666666666666,0.8901098901098901,0.9014084507042254,0.8904109589041096,0.8974358974358975
4ACC_7YG,0.7875,0.8089887640449438,0.8854166666666666,0.8522727272727273,0.8936170212765957,0.8144329896907216,0.9052631578947369,0.0,0.9368421052631579,0.9130434782608696,0.5853658536585367,0.4027777777777778,0.927710843373494,0.8155339805825242,0.8282828282828283,0.7831325301204819,0.9181818181818182,0.8295454545454546,0.7978723404255319,0.9024390243902439,0.8928571428571429,0.8863636363636364
1Q3W_ATU,0.9066666666666666,0.9036144578313253,0.9425287356321839,0.868421052631579,0.8289473684210527,0.9361702127659575,0.8441558441558441,0.9368421052631579,0.0,0.9102564102564102,0.9139784946236559,0.9247311827956989,0.7666666666666666,0.8617021276595744,0.9021739130434783,0.9382716049382716,0.8444444444444444,0.8421052631578947,0.9111111111111111,0.8805970149253731,0.8857142857142857,0.8783783783783784
3GB2_G3B,0.8904109589041096,0.8888888888888888,0.8026315789473684,0.9102564102564102,0.8860759493670887,0.8620689655172413,0.9135802469135803,0.9130434782608696,0.9102564102564102,0.0,0.9130434782608696,0.9120879120879121,0.9104477611940298,0.8602150537634409,0.8636363636363636,0.8666666666666667,0.9270833333333334,0.9259259259259259,0.8850574712643678,0.8253968253968254,0.8840579710144928,0.8450704225352113
