,5JI6_6KN,5JFR_6KP,5LYX_7BF,5LYW_7BH,2GA2_A19,1YW7_A41,1YW9_A84,1R5H_AO2,1R58_AO5,2EA2_F77,2EA4_F79,6QED_HZK,6QEF_HZW,2OAZ_I96,6QEG_K4K,2ADU_R20
5JI6_6KN,0.0,0.8666666666666667,0.8734177215189873,0.8961038961038961,0.9253731343283582,0.8888888888888888,0.9047619047619048,0.9315068493150684,0.922077922077922,0.8823529411764706,0.8947368421052632,0.9204545454545454,0.9375,0.8904109589041096,0.9625,0.8148148148148149
5JFR_6KP,0.8666666666666667,0.0,0.8888888888888888,0.8148148148148149,0.9358974358974359,0.9054054054054054,0.8804347826086957,0.9146341463414634,0.8941176470588236,0.8552631578947368,0.8271604938271605,0.8602150537634409,0.8837209302325582,0.891566265060241,0.9318181818181819,0.8095238095238095
5LYX_7BF,0.8734177215189873,0.8888888888888888,0.0,0.6486486486486487,0.9390243902439024,0.9240506329113924,0.9191919191919192,0.8928571428571429,0.9230769230769231,0.9166666666666666,0.8876404494382022,0.9108910891089109,0.8888888888888888,0.9090909090909091,0.8863636363636364,0.8714285714285714
5LYW_7BH,0.8961038961038961,0.8148148148148149,0.6486486486486487,0.0,0.9358974358974359,0.875,0.8804347826086957,0.8441558441558441,0.8941176470588236,0.8701298701298701,0.8690476190476191,0.8842105263157894,0.8705882352941177,0.891566265060241,0.8674698795180723,0.8461538461538461
2GA2_A19,0.9253731343283582,0.9358974358974359,0.9390243902439024,0.9358974358974359,0.0,0.4545454545454546,0.7323943661971831,0.8656716417910448,0.8428571428571429,0.6296296296296297,0.6557377049180328,0.8518518518518519,0.8142857142857143,0.9178082191780822,0.875,0.9122807017543859
1YW7_A41,0.8888888888888888,0.9054054054054054,0.9240506329113924,0.875,0.4545454545454546,0.0,0.7058823529411764,0.7868852459016393,0.855072463768116,0.5882352941176471,0.6666666666666667,0.8902439024390244,0.8260869565217391,0.8840579710144928,0.8382352941176471,0.8235294117647058
1YW9_A84,0.9047619047619048,0.8804347826086957,0.9191919191919192,0.8804347826086957,0.7323943661971831,0.7058823529411764,0.0,0.8571428571428572,0.8651685393258427,0.5970149253731343,0.6578947368421053,0.7978723404255319,0.8023255813953488,0.9120879120879121,0.8522727272727273,0.935064935064935
1R5H_AO2,0.9315068493150684,0.9146341463414634,0.8928571428571429,0.8441558441558441,0.8656716417910448,0.7868852459016393,0.8571428571428572,0.0,0.7205882352941176,0.8405797101449275,0.8571428571428572,0.9,0.8875,0.9102564102564102,0.8846153846153846,0.8852459016393442
1R58_AO5,0.922077922077922,0.8941176470588236,0.9230769230769231,0.8941176470588236,0.8428571428571429,0.855072463768116,0.8651685393258427,0.7205882352941176,0.0,0.881578947368421,0.8795180722891567,0.8695652173913043,0.8395061728395061,0.875,0.891566265060241,0.8769230769230769
2EA2_F77,0.8823529411764706,0.8552631578947368,0.9166666666666666,0.8701298701298701,0.6296296296296297,0.5882352941176471,0.5970149253731343,0.8405797101449275,0.881578947368421,0.0,0.34615384615384615,0.8313253012048193,0.8082191780821918,0.8783783783783784,0.8513513513513513,0.9
2EA4_F79,0.8947368421052632,0.8271604938271605,0.8876404494382022,0.8690476190476191,0.6557377049180328,0.6666666666666667,0.6578947368421053,0.8571428571428572,0.8795180722891567,0.34615384615384615,0.0,0.8333333333333334,0.8125,0.8902439024390244,0.8658536585365854,0.9117647058823529
6QED_HZK,0.9204545454545454,0.8602150537634409,0.9108910891089109,0.8842105263157894,0.8518518518518519,0.8902439024390244,0.7978723404255319,0.9,0.8695652173913043,0.8313253012048193,0.8333333333333334,0.0,0.31746031746031744,0.9263157894736842,0.6493506493506493,0.9375
6QEF_HZW,0.9375,0.8837209302325582,0.8888888888888888,0.8705882352941177,0.8142857142857143,0.8260869565217391,0.8023255813953488,0.8875,0.8395061728395061,0.8082191780821918,0.8125,0.31746031746031744,0.0,0.9176470588235294,0.4838709677419355,0.9285714285714286
2OAZ_I96,0.8904109589041096,0.891566265060241,0.9090909090909091,0.891566265060241,0.9178082191780822,0.8840579710144928,0.9120879120879121,0.9102564102564102,0.875,0.8783783783783784,0.8902439024390244,0.9263157894736842,0.9176470588235294,0.0,0.7837837837837838,0.873015873015873
6QEG_K4K,0.9625,0.9318181818181819,0.8863636363636364,0.8674698795180723,0.875,0.8382352941176471,0.8522727272727273,0.8846153846153846,0.891566265060241,0.8513513513513513,0.8658536585365854,0.6493506493506493,0.4838709677419355,0.7837837837837838,0.0,0.9420289855072463
2ADU_R20,0.8148148148148149,0.8095238095238095,0.8714285714285714,0.8461538461538461,0.9122807017543859,0.8235294117647058,0.935064935064935,0.8852459016393442,0.8769230769230769,0.9,0.9117647058823529,0.9375,0.9285714285714286,0.873015873015873,0.9420289855072463,0.0
