,2R9S_255,2OK1_33A,3RTP_34I,4W4V_3H8,4W4W_3HJ,4W4Y_3HQ,4X21_3WH,4Y46_4F2,4Y5H_519,1PMV_537,3OY1_589,2O2U_738,4Z9L_880,3PTG_932,1PMN_984,2B1P_AIZ,6EKD_B9K,6EMH_BGE,2O0U_C0M,3KVX_FMY,2P33_J07,3G9L_J67,3G90_J72,3TTJ_JBI,3FI2_JK1,3FI3_JK2,3TTI_KBI,2WAJ_SNB,3OXI_SYY
2R9S_255,0.0,0.872093023255814,0.898989898989899,0.8111111111111111,0.8255813953488372,0.8275862068965517,0.8478260869565217,0.8636363636363636,0.8470588235294118,0.8529411764705882,0.851063829787234,0.9058823529411765,0.8673469387755102,0.8842105263157894,0.8494623655913979,0.8315789473684211,0.8505747126436781,0.8414634146341463,0.900990099009901,0.9299999999999999,0.8478260869565217,0.91,0.9120879120879121,0.8409090909090909,0.8409090909090909,0.8315789473684211,0.8829787234042553,0.8780487804878049,0.8987341772151899
2OK1_33A,0.872093023255814,0.0,0.8723404255319149,0.8314606741573034,0.8333333333333334,0.8620689655172413,0.788235294117647,0.9101123595505618,0.8953488372093024,0.7903225806451613,0.8829787234042553,0.8461538461538461,0.8631578947368421,0.8681318681318682,0.8695652173913043,0.7586206896551724,0.9101123595505618,0.891566265060241,0.8260869565217391,0.8936170212765957,0.7590361445783133,0.8842105263157894,0.896551724137931,0.9120879120879121,0.8214285714285714,0.851063829787234,0.9263157894736842,0.8289473684210527,0.8648648648648649
3RTP_34I,0.898989898989899,0.8723404255319149,0.0,0.8627450980392157,0.8541666666666666,0.8673469387755102,0.8383838383838383,0.8645833333333334,0.8617021276595744,0.8701298701298701,0.875,0.7710843373493976,0.9090909090909091,0.23076923076923073,0.9056603773584906,0.8349514563106796,0.8877551020408163,0.8936170212765957,0.7878787878787878,0.9158878504672897,0.85,0.8200000000000001,0.8387096774193549,0.89,0.8673469387755102,0.8679245283018868,0.9245283018867925,0.9139784946236559,0.8148148148148149
4W4V_3H8,0.8111111111111111,0.8314606741573034,0.8627450980392157,0.0,0.19999999999999996,0.24193548387096775,0.8585858585858586,0.8494623655913979,0.8461538461538461,0.881578947368421,0.8383838383838383,0.8636363636363636,0.8653846153846154,0.846938775510204,0.86,0.7578947368421053,0.8369565217391304,0.8275862068965517,0.8431372549019608,0.9038461538461539,0.8229166666666666,0.8952380952380953,0.9183673469387755,0.8526315789473684,0.44285714285714284,0.6590909090909092,0.9019607843137255,0.875,0.8674698795180723
4W4W_3HJ,0.8255813953488372,0.8333333333333334,0.8541666666666666,0.19999999999999996,0.0,0.12727272727272732,0.8494623655913979,0.8522727272727273,0.8488372093023255,0.8714285714285714,0.8279569892473118,0.8536585365853658,0.8910891089108911,0.8369565217391304,0.8865979381443299,0.8210526315789474,0.8255813953488372,0.8148148148148149,0.845360824742268,0.8979591836734694,0.8494623655913979,0.8775510204081632,0.9130434782608696,0.8681318681318682,0.33870967741935487,0.6823529411764706,0.9072164948453608,0.9058823529411765,0.8717948717948718
4W4Y_3HQ,0.8275862068965517,0.8620689655172413,0.8673469387755102,0.24193548387096775,0.12727272727272732,0.0,0.8631578947368421,0.8539325842696629,0.8505747126436781,0.8888888888888888,0.8421052631578947,0.8690476190476191,0.8811881188118812,0.851063829787234,0.8762886597938144,0.8350515463917526,0.813953488372093,0.8024691358024691,0.8585858585858586,0.898989898989899,0.8631578947368421,0.900990099009901,0.925531914893617,0.8695652173913043,0.4242424242424242,0.686046511627907,0.9081632653061225,0.9069767441860466,0.8734177215189873
4X21_3WH,0.8478260869565217,0.788235294117647,0.8383838383838383,0.8585858585858586,0.8494623655913979,0.8631578947368421,0.0,0.7073170731707317,0.6835443037974683,0.8169014084507042,0.8,0.8876404494382022,0.7684210526315789,0.8210526315789474,0.7444444444444445,0.8061224489795918,0.8723404255319149,0.8651685393258427,0.83,0.8811881188118812,0.19354838709677424,0.883495145631068,0.8709677419354839,0.8131868131868132,0.851063829787234,0.8529411764705882,0.7802197802197802,0.898876404494382,0.8795180722891567
4Y46_4F2,0.8636363636363636,0.9101123595505618,0.8645833333333334,0.8494623655913979,0.8522727272727273,0.8539325842696629,0.7073170731707317,0.0,0.25,0.8695652173913043,0.7586206896551724,0.8795180722891567,0.7802197802197802,0.8602150537634409,0.7840909090909091,0.8787878787878788,0.8888888888888888,0.8953488372093024,0.8787878787878788,0.9191919191919192,0.7228915662650602,0.91,0.9120879120879121,0.7088607594936709,0.8666666666666667,0.8673469387755102,0.7037037037037037,0.9176470588235294,0.8987341772151899
4Y5H_519,0.8470588235294118,0.8953488372093024,0.8617021276595744,0.8461538461538461,0.8488372093023255,0.8505747126436781,0.6835443037974683,0.25,0.0,0.8656716417910448,0.7816091954022988,0.8765432098765432,0.7613636363636364,0.8571428571428572,0.75,0.8645833333333334,0.8735632183908046,0.8795180722891567,0.8762886597938144,0.8947368421052632,0.7,0.9191919191919192,0.9101123595505618,0.7654320987654322,0.8636363636363636,0.8645833333333334,0.7125,0.9024390243902439,0.881578947368421
1PMV_537,0.8529411764705882,0.7903225806451613,0.8701298701298701,0.881578947368421,0.8714285714285714,0.8888888888888888,0.8169014084507042,0.8695652173913043,0.8656716417910448,0.0,0.8831168831168831,0.873015873015873,0.9012345679012346,0.8648648648648649,0.9102564102564102,0.7972972972972973,0.9315068493150684,0.9264705882352942,0.8734177215189873,0.8961038961038961,0.8333333333333334,0.8846153846153846,0.8840579710144928,0.9189189189189189,0.8732394366197183,0.8875,0.9358974358974359,0.8888888888888888,0.9166666666666666
