,3FUC_9D9,1LVU_9PP,2QPL_BTY,1V48_HA1,1VFN_HPA,1B8N_IMG,1B8O_IMH,2AI2_P1D,2AI1_P1G,2AI3_P2G
3FUC_9D9,0.0,0.8243243243243243,0.84375,0.4833333333333333,0.8113207547169812,0.6129032258064516,0.8450704225352113,0.7466666666666666,0.736842105263158,0.7333333333333334
1LVU_9PP,0.8243243243243243,0.0,0.8166666666666667,0.6865671641791045,0.8888888888888888,0.863013698630137,0.8873239436619719,0.8765432098765432,0.7922077922077921,0.7894736842105263
2QPL_BTY,0.84375,0.8166666666666667,0.0,0.8095238095238095,0.8536585365853658,0.8333333333333334,0.935483870967742,0.9166666666666666,0.8235294117647058,0.8208955223880597
1V48_HA1,0.4833333333333333,0.6865671641791045,0.8095238095238095,0.0,0.8571428571428572,0.7571428571428571,0.8783783783783784,0.782051282051282,0.5735294117647058,0.5671641791044777
1VFN_HPA,0.8113207547169812,0.8888888888888888,0.8536585365853658,0.8571428571428572,0.0,0.8200000000000001,0.8541666666666666,0.7358490566037736,0.8688524590163934,0.8666666666666667
1B8N_IMG,0.6129032258064516,0.863013698630137,0.8333333333333334,0.7571428571428571,0.8200000000000001,0.0,0.47058823529411764,0.7142857142857143,0.7222222222222222,0.7183098591549295
1B8O_IMH,0.8450704225352113,0.8873239436619719,0.935483870967742,0.8783783783783784,0.8541666666666666,0.47058823529411764,0.0,0.7352941176470589,0.8571428571428572,0.8552631578947368
2AI2_P1D,0.7466666666666666,0.8765432098765432,0.9166666666666666,0.782051282051282,0.7358490566037736,0.7142857142857143,0.7352941176470589,0.0,0.5507246376811594,0.6621621621621622
2AI1_P1G,0.736842105263158,0.7922077922077921,0.8235294117647058,0.5735294117647058,0.8688524590163934,0.7222222222222222,0.8571428571428572,0.5507246376811594,0.0,0.1964285714285714
2AI3_P2G,0.7333333333333334,0.7894736842105263,0.8208955223880597,0.5671641791044777,0.8666666666666667,0.7183098591549295,0.8552631578947368,0.6621621621621622,0.1964285714285714,0.0
