,1NDV_FR0,1NDW_FR2,1NDY_FR3,1UML_FR4,1NDZ_FR5,2E1W_FR6,1V79_FR7,1QXL_FR8,1O5R_FR9,1V7A_FRC
1NDV_FR0,0.0,0.8571428571428572,0.8375,0.8673469387755102,0.854368932038835,0.8414634146341463,0.8433734939759037,0.86,0.8571428571428572,0.8588235294117648
1NDW_FR2,0.8571428571428572,0.0,0.27083333333333337,0.421875,0.56,0.5087719298245614,0.5423728813559322,0.4477611940298507,0.4776119402985075,0.5737704918032787
1NDY_FR3,0.8375,0.27083333333333337,0.0,0.5277777777777778,0.5696202531645569,0.30188679245283023,0.5081967213114754,0.5466666666666666,0.5342465753424658,0.5625
1UML_FR4,0.8673469387755102,0.421875,0.5277777777777778,0.0,0.22972972972972971,0.65,0.6867469879518072,0.10447761194029848,0.2142857142857143,0.625
1NDZ_FR5,0.854368932038835,0.56,0.5696202531645569,0.22972972972972971,0.0,0.6627906976744187,0.696629213483146,0.28205128205128205,0.35,0.6395348837209303
2E1W_FR6,0.8414634146341463,0.5087719298245614,0.30188679245283023,0.65,0.6627906976744187,0.0,0.2777777777777778,0.6626506024096386,0.654320987654321,0.3793103448275862
1V79_FR7,0.8433734939759037,0.5423728813559322,0.5081967213114754,0.6867469879518072,0.696629213483146,0.2777777777777778,0.0,0.6976744186046512,0.7058823529411764,0.467741935483871
1QXL_FR8,0.86,0.4477611940298507,0.5466666666666666,0.10447761194029848,0.28205128205128205,0.6626506024096386,0.6976744186046512,0.0,0.2465753424657534,0.6385542168674698
1O5R_FR9,0.8571428571428572,0.4776119402985075,0.5342465753424658,0.2142857142857143,0.35,0.654320987654321,0.7058823529411764,0.2465753424657534,0.0,0.6296296296296297
1V7A_FRC,0.8588235294117648,0.5737704918032787,0.5625,0.625,0.6395348837209303,0.3793103448275862,0.467741935483871,0.6385542168674698,0.6296296296296297,0.0
