,1MRS_5HU,4UNQ_H6D,4UNS_QZ3,4UNR_QZE,4UNN_QZZ,1MRN_T5A,1W2G_THM,1GTV_TMP,4UNP_TXW,5NR7_YUI
1MRS_5HU,0.0,0.8902439024390244,0.872093023255814,0.8470588235294118,0.8354430379746836,0.5256410256410257,0.4528301886792453,0.24,0.9014084507042254,0.7727272727272727
4UNQ_H6D,0.8902439024390244,0.0,0.759493670886076,0.7468354430379747,0.5238095238095238,0.8952380952380953,0.8783783783783784,0.8734177215189873,0.8714285714285714,0.8404255319148937
4UNS_QZ3,0.872093023255814,0.759493670886076,0.0,0.75,0.7625,0.8598130841121495,0.858974358974359,0.8414634146341463,0.6923076923076923,0.8383838383838383
4UNR_QZE,0.8470588235294118,0.7468354430379747,0.75,0.0,0.5714285714285714,0.8504672897196262,0.8607594936708861,0.8433734939759037,0.8974358974358975,0.8163265306122449
4UNN_QZZ,0.8354430379746836,0.5238095238095238,0.7625,0.5714285714285714,0.0,0.875,0.8333333333333334,0.8311688311688312,0.8732394366197183,0.7777777777777778
1MRN_T5A,0.5256410256410257,0.8952380952380953,0.8598130841121495,0.8504672897196262,0.875,0.0,0.5540540540540541,0.4305555555555556,0.8804347826086957,0.7685185185185185
1W2G_THM,0.4528301886792453,0.8783783783783784,0.858974358974359,0.8607594936708861,0.8333333333333334,0.5540540540540541,0.0,0.2978723404255319,0.8524590163934427,0.7012987012987013
1GTV_TMP,0.24,0.8734177215189873,0.8414634146341463,0.8433734939759037,0.8311688311688312,0.4305555555555556,0.2978723404255319,0.0,0.8656716417910448,0.7073170731707317
4UNP_TXW,0.9014084507042254,0.8714285714285714,0.6923076923076923,0.8974358974358975,0.8732394366197183,0.8804347826086957,0.8524590163934427,0.8656716417910448,0.0,0.8148148148148149
5NR7_YUI,0.7727272727272727,0.8404255319148937,0.8383838383838383,0.8163265306122449,0.7777777777777778,0.7685185185185185,0.7012987012987013,0.7073170731707317,0.8148148148148149,0.0
