,3GWT_066,4MYQ_19T,4KP6_1S1,3D3P_20A,4NW7_2O5,1XM6_5RM,1Y2H_6DE,5LAQ_6M5,5OHJ_9VE,1XLX_CIO,1XLZ_FIL,2QYL_NPV,3W5E_NVW,1XM4_PIL,3WD9_QPC,1XMU_ROF,3FRG_SK4,1XOT_VDN,1XOS_VIA,3O56_ZG1,3O57_ZG2
3GWT_066,0.0,0.8585858585858586,0.9393939393939394,0.8080808080808081,0.8484848484848485,0.8842105263157894,0.8409090909090909,0.8879310344827587,0.773109243697479,0.865979381443299,0.8314606741573034,0.865979381443299,0.8666666666666667,0.8043478260869565,0.75,0.8585858585858586,0.4027777777777778,0.8727272727272728,0.8715596330275229,0.8545454545454545,0.8461538461538461
4MYQ_19T,0.8585858585858586,0.0,0.9024390243902439,0.8555555555555556,0.6438356164383562,0.9036144578313253,0.8082191780821918,0.9245283018867925,0.8803418803418803,0.9080459770114943,0.9012345679012346,0.8690476190476191,0.6835443037974683,0.8554216867469879,0.6842105263157895,0.8470588235294118,0.8636363636363636,0.8279569892473118,0.8979591836734694,0.8787878787878788,0.8571428571428572
4KP6_1S1,0.9393939393939394,0.9024390243902439,0.0,0.8953488372093024,0.9036144578313253,0.922077922077922,0.8873239436619719,0.9072164948453608,0.9487179487179487,0.9125,0.9342105263157895,0.9259259259259259,0.9090909090909091,0.9125,0.9047619047619048,0.9156626506024097,0.9176470588235294,0.9021739130434783,0.8888888888888888,0.8804347826086957,0.88
3D3P_20A,0.8080808080808081,0.8555555555555556,0.8953488372093024,0.0,0.8314606741573034,0.8837209302325582,0.8051948051948052,0.8773584905660378,0.8760330578512396,0.8505747126436781,0.8536585365853658,0.8888888888888888,0.8279569892473118,0.7951807228915663,0.7647058823529411,0.8160919540229885,0.8202247191011236,0.86,0.87,0.5128205128205128,0.45679012345679015
4NW7_2O5,0.8484848484848485,0.6438356164383562,0.9036144578313253,0.8314606741573034,0.0,0.9176470588235294,0.8421052631578947,0.883495145631068,0.8521739130434782,0.8571428571428572,0.8607594936708861,0.8148148148148149,0.6875,0.8148148148148149,0.7051282051282051,0.8072289156626506,0.8255813953488372,0.8775510204081632,0.91,0.845360824742268,0.8252427184466019
1XM6_5RM,0.8842105263157894,0.9036144578313253,0.922077922077922,0.8837209302325582,0.9176470588235294,0.0,0.8888888888888888,0.7558139534883721,0.8828828828828829,0.7058823529411764,0.7761194029850746,0.9,0.9101123595505618,0.7945205479452055,0.8928571428571429,0.8481012658227848,0.8658536585365854,0.813953488372093,0.7976190476190477,0.8936170212765957,0.9029126213592233
1Y2H_6DE,0.8409090909090909,0.8082191780821918,0.8873239436619719,0.8051948051948052,0.8421052631578947,0.8888888888888888,0.0,0.9042553191489362,0.8461538461538461,0.88,0.8695652173913043,0.88,0.8518518518518519,0.8333333333333334,0.8441558441558441,0.84,0.8133333333333334,0.8333333333333334,0.8452380952380952,0.8636363636363636,0.8404255319148937
5LAQ_6M5,0.8879310344827587,0.9245283018867925,0.9072164948453608,0.8773584905660378,0.883495145631068,0.7558139534883721,0.9042553191489362,0.0,0.8604651162790697,0.7934782608695652,0.7790697674418605,0.9117647058823529,0.8990825688073394,0.7666666666666666,0.8952380952380953,0.8367346938775511,0.8627450980392157,0.8317757009345794,0.819047619047619,0.8859649122807017,0.8760330578512396
5OHJ_9VE,0.773109243697479,0.8803418803418803,0.9487179487179487,0.8760330578512396,0.8521739130434782,0.8828828828828829,0.8461538461538461,0.8604651162790697,0.0,0.8571428571428572,0.8269230769230769,0.8869565217391304,0.8861788617886179,0.8037383177570093,0.8823529411764706,0.6494845360824743,0.8434782608695652,0.8264462809917356,0.825,0.8661417322834646,0.8582089552238806
1XLX_CIO,0.865979381443299,0.9080459770114943,0.9125,0.8505747126436781,0.8571428571428572,0.7058823529411764,0.88,0.7934782608695652,0.8571428571428572,0.0,0.5666666666666667,0.891566265060241,0.8901098901098901,0.6060606060606061,0.8850574712643678,0.8271604938271605,0.8313253012048193,0.8723404255319149,0.8709677419354839,0.8631578947368421,0.8529411764705882
1XLZ_FIL,0.8314606741573034,0.9012345679012346,0.9342105263157895,0.8536585365853658,0.8607594936708861,0.7761194029850746,0.8695652173913043,0.7790697674418605,0.8269230769230769,0.5666666666666667,0.0,0.868421052631579,0.8690476190476191,0.49122807017543857,0.8625,0.7638888888888888,0.8181818181818181,0.8764044943820225,0.875,0.8666666666666667,0.8556701030927836
2QYL_NPV,0.865979381443299,0.8690476190476191,0.9259259259259259,0.8888888888888888,0.8148148148148149,0.9,0.88,0.9117647058823529,0.8869565217391304,0.891566265060241,0.868421052631579,0.0,0.8390804597701149,0.8641975308641976,0.8170731707317074,0.8554216867469879,0.8588235294117648,0.8842105263157894,0.8829787234042553,0.9090909090909091,0.875
3W5E_NVW,0.8666666666666667,0.6835443037974683,0.9090909090909091,0.8279569892473118,0.6875,0.9101123595505618,0.8518518518518519,0.8990825688073394,0.8861788617886179,0.8901098901098901,0.8690476190476191,0.8390804597701149,0.0,0.8651685393258427,0.5675675675675675,0.8817204301075269,0.8602150537634409,0.8613861386138614,0.8932038834951457,0.8529411764705882,0.8113207547169812
1XM4_PIL,0.8043478260869565,0.8554216867469879,0.9125,0.7951807228915663,0.8148148148148149,0.7945205479452055,0.8333333333333334,0.7666666666666666,0.8037383177570093,0.6060606060606061,0.49122807017543857,0.8641975308641976,0.8651685393258427,0.0,0.8313253012048193,0.4426229508196722,0.7875,0.8602150537634409,0.8586956521739131,0.8260869565217391,0.8061224489795918
3WD9_QPC,0.75,0.6842105263157895,0.9047619047619048,0.7647058823529411,0.7051282051282051,0.8928571428571429,0.8441558441558441,0.8952380952380953,0.8823529411764706,0.8850574712643678,0.8625,0.8170731707317074,0.5675675675675675,0.8313253012048193,0.0,0.8505747126436781,0.7407407407407407,0.8673469387755102,0.9,0.846938775510204,0.803921568627451
1XMU_ROF,0.8585858585858586,0.8470588235294118,0.9156626506024097,0.8160919540229885,0.8072289156626506,0.8481012658227848,0.84,0.8367346938775511,0.6494845360824743,0.8271604938271605,0.7638888888888888,0.8554216867469879,0.8817204301075269,0.4426229508196722,0.8505747126436781,0.0,0.8505747126436781,0.8526315789473684,0.851063829787234,0.8556701030927836,0.8349514563106796
3FRG_SK4,0.4027777777777778,0.8636363636363636,0.9176470588235294,0.8202247191011236,0.8255813953488372,0.8658536585365854,0.8133333333333334,0.8627450980392157,0.8434782608695652,0.8313253012048193,0.8181818181818181,0.8588235294117648,0.8602150537634409,0.7875,0.7407407407407407,0.8505747126436781,0.0,0.8673469387755102,0.8541666666666666,0.8585858585858586,0.8490566037735849
1XOT_VDN,0.8727272727272728,0.8279569892473118,0.9021739130434783,0.86,0.8775510204081632,0.813953488372093,0.8333333333333334,0.8317757009345794,0.8264462809917356,0.8723404255319149,0.8764044943820225,0.8842105263157894,0.8613861386138614,0.8602150537634409,0.8673469387755102,0.8526315789473684,0.8673469387755102,0.0,0.49367088607594933,0.8598130841121495,0.8303571428571428
1XOS_VIA,0.8715596330275229,0.8979591836734694,0.8888888888888888,0.87,0.91,0.7976190476190477,0.8452380952380952,0.819047619047619,0.825,0.8709677419354839,0.875,0.8829787234042553,0.8932038834951457,0.8586956521739131,0.9,0.851063829787234,0.8541666666666666,0.49367088607594933,0.0,0.8476190476190476,0.8392857142857143
3O56_ZG1,0.8545454545454545,0.8787878787878788,0.8804347826086957,0.5128205128205128,0.845360824742268,0.8936170212765957,0.8636363636363636,0.8859649122807017,0.8661417322834646,0.8631578947368421,0.8666666666666667,0.9090909090909091,0.8529411764705882,0.8260869565217391,0.846938775510204,0.8556701030927836,0.8585858585858586,0.8598130841121495,0.8476190476190476,0.0,0.3375
3O57_ZG2,0.8461538461538461,0.8571428571428572,0.88,0.45679012345679015,0.8252427184466019,0.9029126213592233,0.8404255319148937,0.8760330578512396,0.8582089552238806,0.8529411764705882,0.8556701030927836,0.875,0.8113207547169812,0.8061224489795918,0.803921568627451,0.8349514563106796,0.8490566037735849,0.8303571428571428,0.8392857142857143,0.3375,0.0
