UniProt_ID,Cluster,Num_Ligands,cluster_mcs,ligands_list
O14757,104,3,"[#6]1:[#6]:[#6](:[#6]:[#6](:[#6]:1)-[#8,#6])-[#6]1:[#6]:[#6]:[#7]:[#6]2:[#6]:1:[#6](:[#6]:[#7]:2)-[#6]#[#7]","['5OPV_A3H', '5OPU_A3K', '5OPS_A3Q']"
O14757,107,8,"[#6](:[#6]:[#6]:,-[#6]-,:[#6]:[#6]:[#6]-,:[#6]-[#7]-[#6]1-[#6]-[#6]-[#6]-[#7]-[#6]-1):[#6]:[#6]","['3PA3_C70', '3PA4_C72', '3PA5_C73', '6FC8_D4Q', '6FCK_D4Z', '6FCF_D58', '2YDJ_YDJ', '2YDK_YDK']"
O14757,110,2,[#6]-[#7]1:[#6]:[#6](:[#6]:[#7]:1)-[#6]1:[#6]:[#7]:[#7]2:[#6]:1:[#7]:[#6](:[#6]:[#6]:2-[#7])-[#6](-[#6]-[#6]-[#6])-[#6],"['3OT3_22K', '3OT8_MI5']"
O14757,113,8,"[#6,#7]1:[#7,#6]:[#6]2:[#6](:[#7]:1):[#7]:[#6]:[#7,#6]:[#6]:2-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1","['5OP5_3FE', '2YM4_4YM', '2YM3_YM3', '2YM5_YM5', '2YM6_YM6', '2WMX_ZY6', '2WMV_ZYV', '2WMW_ZYW']"
O14757,114,2,"[#6]-[#7]-[#6]1:[#6](:[#6]:[#7]:[#6](:[#7]:1)-[#7]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#8]-[#6])-[#6](=[#8])-[#7]1-[#6]-[#6]-[#8,#6]-[#6]-[#6]-1)-[#6,#7](-[#9,#6])-[#9,#6]","['5OQ5_4K4', '5OP4_A0T']"
O14757,115,2,"[#6]1:[#6]:[#6](:[#6]:[#6](:[#6]:1)-[#8])-[#6]:[#6]:[#7]:[#6]:[#6]-,:[#6](:[#6]:[#6]:[#6]-,:[#6]):[#6]:[#6]","['4QYE_3DL', '2R0U_M54']"
O14757,116,3,"[#6]-[#6]:[#7,#6]:[#7,#6]:[#6]:[#6]-[#6]-[#7]-[#6]1-[#6]-[#6]-[#7,#6](-[#6]-[#6]-1)-[#6,#8]","['3NLB_5BE', '2E9N_76A', '2E9O_A58']"
O14757,119,5,"[#6](:[#6]):[#6]:[#6,#7]:[#6,#7]:[#6]-[#6]1:[#6]:[#6]2:[#6](:[#7]:1):[#6]:[#6]:[#6](:[#6]:2)-[#6,#8]-[#7,#6]-[#6]-[#6]-[#6,#7]-[#6]","['2HY0_306', '2HXQ_373', '2HXL_422', '5DLS_5CV', '2HOG_710']"
O14757,120,3,[#6](:[#6]):[#6](:[#7]:[#6])-[#7]-[#6]1:[#6]:[#7]:[#6](:[#6]:[#7]:1)-[#6]#[#7],"['5F4N_5UY', '2YM7_YM7', '2YM8_YM8']"
O14757,122,6,"[#6](:[#6]):,-[#6]:[#6]-,:[#6](:,-[#6]:[#6]:[#6]:[#6]:,-[#6]:,-[#7]:,-[#6]:,-[#6]):[#6]:[#7]:[#6]:,-[#7]","['4QYG_3DW', '4QYH_3DX', '4RVM_3X7', '4RVK_3XK', '4RVL_3XL', '5OPR_A3E']"
O14757,126,2,"[#6](:[#6]:[#6]:[#6](:,-[#6]:[#6]-,:[#6](:,-[#7]:,-[#6]:,-[#6]:,-[#6]):[#7]:[#6]):[#7]:[#7]):[#6]","['5OPB_A1N', '2C3L_IDZ']"
O14757,132,9,"[#6]-[#6,#7]1:[#6]:[#6]2:[#7,#6]:[#7,#6]:[#6,#7]:[#7,#6]:2:[#6](:[#6]:1:[#6]:[#6]:[#6]):[#6,#7]","['2QHN_582', '1NVR_STU', '2YER_TQ1', '1NVS_UCM', '1NVQ_UCN', '2X8D_X8D', '2X8E_X8E', '2X8I_X8I', '2YEX_YEX']"
O14757,133,7,"[#6]1:[#7,#8]:[#6](:[#6]:[#7,#6]:[#6](:[#7]:[#6]:[#7]:1)-[#16,#7]-[#6]-[#6]-[#7,#6,#8])-[#7,#6]","['2CGX_3D3', '2BRO_DF2', '2BRH_DFW', '2BRG_DFY', '2BRM_DFZ', '2BR1_PFP', '2BRB_PFQ']"
O14757,81,2,[#6](:[#6]):[#6]-[#6]1:[#6]:[#7]:[#6]2:[#7]:1:[#6]:[#6](:[#7]:[#6]:2)-[#6]1:[#6]:[#7]:[#7]:[#6]:1,"['2XF0_4UB', '2XEZ_XEZ']"
O14757,88,2,"[#6]1:[#6]:[#7]:[#6](:[#6]:[#6]:1-[#7]1-[#6]-[#6]-[#8,#7]-[#6]-[#6]-1)-[#7]-[#6]1:[#7]:[#6]:[#6](:[#16]:1)-[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1","['3TKH_07S', '3TKI_S25']"
O14757,99,2,"[#6](:[#6]:[#6]:,-[#6]:,-[#7]-[#6]1:[#7]:[#6](:[#6]:[#16]:1)-[#6](=[#8])-[#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#7]1-[#6]-[#6]-[#7]-[#6]-[#6]-1):[#6]:[#6]:[#6]","['4HYH_1AM', '4HYI_1AO']"
O43570,15,2,"[#6]1:[#6]:[#6](:[#6]:[#6](:[#6]:1)-[#16,#17])-[#6](=[#8])-[#6]-[#16]-[#6]1:[#7]:[#6]:[#6]:[#6]:[#7]:1","['4KP5_E1F', '4KP8_E1G']"
O43570,18,4,"[#6]1:[#6](:[#6](:[#6]:[#6](:[#6]:1-[#16](=[#8])(=[#8])-[#7])-[#17])-[#16,#7]-[#6])-[#6](=[#8])-[#7]-[#6]-[#6]-[#8]","['6R6Y_EA3', '6G5L_EM5', '6G7A_EOQ', '6R71_JTW']"
O43570,19,5,[#6]-[#6]-[#16](=[#8])(=[#8])-[#6]1:[#6]:[#6](:[#6](:[#6](:[#6]:1-[#9])-[#9])-[#16](=[#8])(=[#8])-[#7])-[#9],"['5MSB_V13', '4Q0L_V14', '4QJO_V1F', '4QJW_WWO', '4QJ0_WWX']"
O76074,20,2,[#6]-[#6]-[#6]-[#8]-[#6]-[#6]-[#7]:[#6](:[#6](:[#7]:[#6]1:[#6]:[#7]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6](:[#7]:[#6]:1)-[#8]-[#6])-[#7]-[#6]-[#6]-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1)=[#8],"['3HC8_PD4', '3TGE_TGE']"
O76074,26,10,"[#6,#7]1:[#6]:[#6](=[#8]):[#7]:[#6](:[#7]:1)-[#6](:[#6]:[#6]-[#16,#6](=[#8,#6])-[#7,#6,#8]):[#6](:[#16,#6,#7])-[#8]-[#6]-[#6]","['2CHM_3P4', '4I9Z_5BA', '4IA0_5BB', '3SIE_5BO', '3SHZ_5CO', '4OEX_5EO', '4OEW_5IO', '4G2W_NI0', '1XP0_VDN', '3BJC_WAN']"
O76074,28,2,"[#6](:[#6](:[#6]:[#6,#8]):[#6](=[#8]):[#6]:[#6]-[#6](:[#6]:[#6]):[#16,#6]:[#6]):[#8,#6]:[#6]:[#6]-[#6]-[#6]","['4MD6_24E', '2H44_7CA']"
P00374,23,2,[#6]-[#6](=[#6]-[#6]1:[#6]:[#8]:[#6]2:[#6]:1:[#6](:[#7]:[#6](:[#7]:2)-[#7])-[#7])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8]-[#6],"['3GYF_51P', '3NXO_D2B']"
P00374,29,3,"[#6]1:[#6](:[#6]:[#7]:[#6]2:[#6]:1:[#6](:[#7]:[#6](:[#7]:2)-[#7])-[#7])-[#6,#7]-[#6]","['4QJC_IXE', '1DLR_MXA', '1BOZ_PRD']"
P00374,33,2,[#6]-[#8]-[#6]1:[#6]:[#6](:[#6]:[#6]:[#6]:1)-[#6]-[#6]1:[#6]:[#7]:[#6](:[#7]:[#6]:1-[#7])-[#7],"['3FS6_DH1', '3S3V_TOP']"
P00374,36,7,"[#6]-[#16,#7]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6](-[#6]-[#6]-[#6](=[#8])-[#8])-[#6](=[#8])-[#8]","['3NU0_3TU', '3NTZ_3TZ', '1DRF_FOL', '3GHC_GHC', '3GHW_GHW', '1HFQ_MOT', '3EIG_MTX']"
P00374,37,4,"[#7,#6]-[#6,#7]-[#6]1:[#6]:[#6]2:[#6](:[#7]:[#6](:[#7]:[#6]:2:[#7]:[#6]:1)-[#7])-[#7]","['4QJC_IXE', '1DLR_MXA', '4G95_OAG', '1BOZ_PRD']"
P00374,39,7,"[#6]-[#6]-[#6]1:[#6](:[#6](:[#7]:[#6](:[#7]:1)-[#7])-[#7])-[#8,#6]","['4KAK_06U', '4KEB_1QZ', '4KFJ_1R0', '4KBN_25U', '6A7C_9QO', '6A7E_9QR', '4DDR_MMV']"
P00520,7,4,"[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#7,#6]-[#6,#9])-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#7,#6]:[#6]:1","['3IK3_0LI', '1FPU_PRC', '1IEP_STI', '3OY3_XY3']"
P00734,135,2,[#6]-[#6](-[#6])-[#7]1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6](=[#8])-[#7]-[#6]1:[#6](:[#6]:[#6]:[#6]:[#6]:1-[#8]-[#6]-[#6]1:[#6]:[#6](:[#8]:[#7]:1)-[#6]1:[#6]:[#6]:[#6](:[#16]:1)-[#17])-[#8]-[#6]-[#6]-[#6]-[#8]-[#6]1-[#6](-[#6](-[#6](-[#6](-[#8]-1)-[#6]-[#8])-[#8])-[#8])-[#8],"['6EO8_2FN', '6EO9_2OJ']"
P00734,150,3,[#6]-[#6](-[#6](=[#8])-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1)-[#7]1-[#6]-[#6]-[#6](-[#6]-1=[#8])-[#7]-[#16](=[#8])(=[#8])-[#6],"['2JH0_701', '2JH6_894', '2JH5_895']"
P00734,155,5,"[#6]-,:[#6]-[#6]-[#7]-[#6](=[#8])-[#6]1-[#6]-[#6]-[#6]-[#7]-1-[#6](=[#8])-[#6](-[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#7]","['1TA2_176', '3DHK_23U', '2ZO3_33U', '3DA9_44U', '6TDT_LXW']"
P00734,158,2,"[#6,#16]-[#7]-[#6](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6](=[#8])-[#7]1-[#6]-[#6]-[#6]-[#6]-1-[#6](=[#8])-[#7]-[#6]-[#6]1-[#6]-[#6]-[#6,#7](-[#6]-[#6]-1)-[#7,#6]","['3TU7_0BM', '1TOM_MIN']"
