c1cc(ccc1NS(=O)(=O)N)S(=O)(=O)N  3V5G_0F3
COc1ccc2c(c1)CCN=C2c3ccc(cc3)S(=O)(=O)N  3VBD_0FZ
C1=CC=C(C(=O)C=C1)O  5THI_0TR
c1c(cc(c(c1F)N)Cl)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N  2HOC_1CN
c1cc(ccc1NC(=O)CC23CC4CC(C2)CC(C4)C3)S(=O)(=O)N  4ILX_1EZ
c1ccc(cc1)CC(=O)NCc2ccc(cc2)S(=O)(=O)N  4ITP_1GD
c1cc(sc1)CC(=O)Nc2nnc(s2)S(=O)(=O)N  4IWZ_1GO
c1(nnc(s1)S(=O)(=O)N)N  2HNC_1SA
Cc1ncc(n1CCOS(=O)(=O)N)[N+](=O)[O-]  5O07_1VQ
c1cc2c(cc1OS(=O)(=O)N)S(=O)(=O)C(=C2)CC3CCCCCC3  3DD8_2C7
Cc1ncc(n1CCNS(=O)(=O)N)[N+](=O)[O-]  4MO8_2VQ
CC1=CC(=S)N(C=C1)O  4Q7S_2YU
CC1(CC(CC(N1O)(C)C)NC(=S)Nc2ccc(cc2Cl)S(=O)(=O)N)C  3EFT_3BS
CCCC(CCC)C(=O)N[C@@H]1Cc2ccc(cc2C1)S(=O)(=O)N  2QO8_3CC
C1=CN(C(=S)C(=C1)C(F)(F)F)O  4Q83_3FH
C1CN(CCC1OS(=O)(=O)N)S(=O)(=O)[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O  4R59_3J3
C1CN(C[C@@H]1OS(=O)(=O)N)S(=O)(=O)[C@H]2[C@H]([C@H]([C@@H](C(O2)CO)O)O)O  4R5B_3J4
CC1=CC=CN(C1=S)O  4Q7P_3MH
CC(C)(C)OC(=O)NCCCCOc1ccc(cc1)S(=O)(=O)N  4RFC_3O1
c1cc(ccc1OCCCCN)S(=O)(=O)N  4RFD_3O5
c1cc2c(cc1n3cc(nn3)CO[C@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CO)O)O)O)S(=O)(=O)NC2=O  6GCY_3QR
c1ccc(cc1)n2cc(nn2)CN(Cc3cn(nn3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)c5nnc(s5)S(=O)(=O)N  4RN4_3T7
CCCSc1c(c(c(c(c1F)F)S(=O)(=O)N)F)F  4WW6_3TV
C=CCOc1ccc(cc1)S(=O)(=O)N  4RUX_3W3
CCCOc1ccc(cc1)S(=O)(=O)N  4RUY_3W6
CCOc1ccc(cc1)S(=O)(=O)N  4RUZ_3W8
CC(C)NC[C@H](COc1ccc(cc1)C(=O)NCCc2ccc(cc2)S(=O)(=O)N)O  5WLV_42G
c1ccc(cc1)CCNS(=O)(=O)c2cc(ccc2C(=O)O)S(=O)(=O)N  5AMD_45I
C1=CN(C(=S)C=C1C(F)(F)F)O  4Q87_4FH
CC1=CC(=S)NC=C1  4Q90_4H2
Cc1ccc(cc1)S(=O)(=O)N  4YXI_4J8
CCc1ccc(cc1)S(=O)(=O)N  4YXO_4JC
CCCc1ccc(cc1)S(=O)(=O)N  4YXU_4JE
c1ccc2c(c1)CCCN2C(=O)c3ccc(cc3)S(=O)(=O)N  4Z0Q_4K9
c1cc(ccc1C(=O)N2CCc3cc(c(cc3C2)O)O)S(=O)(=O)N  4Z1K_4KB
c1ccc2c(c1)CCN(C2)C(=O)c3ccc(cc3)S(=O)(=O)N  4Z1J_4KC
Cc1c[nH]cn1  2FNN_4MZ
c1cc(ccc1[N+](=O)[O-])S(=O)(=O)N  6RH4_4NZ
c1cc(ccc1C#N)N(Cc2ccc(c(c2)Br)OS(=O)(=O)N)n3cnnc3  1XQ0_4TR
c1cc(ccc1CN(c2ccc(cc2)C#N)n3cnnc3)OS(=O)(=O)N  1XPZ_4TZ
c1cc(ccc1N)N=Nc2ccc(cc2)S(=O)(=O)N  5BYI_4WA
CC#CCNS(=O)(=O)c1cc(ccc1C(=O)O)S(=O)(=O)N  5AML_51J
c1cc(ccc1c2ccc(cc2)S(=O)(=O)N)C(=O)c3ccc(cc3)N  5E2R_520
CCn1cc(c2c1cccc2)c3cc(n(n3)C)C(=O)O  6B4D_53X
CC(C)c1ccccc1c2ccc(cc2)S(=O)(=O)N  5E2S_5CX
c1ccc2c(c1)CC[C@@H]2Nc3c(c(c(c(c3S(=O)(=O)N)F)F)SCCO)F  5DOH_5DU
c1ccc2c(c1)CC[C@@H]2Nc3c(c(c(c(c3S(=O)(=O)CCO)F)F)S(=O)(=O)N)F  5DRS_5EF
CC(=O)OC[C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)S(=O)(=O)NCCCCCOS(=O)(=O)N)OC(=O)C)OC(=O)C)OC(=O)C  4ZWX_5KZ
CC1=CN(C(=S)C=C1)O  4Q7V_5MH
c1cc(c(cc1OCc2[nH]nnn2)Cl)Cl  5EH7_5O5
C/C(=CC(=O)O)/c1ccc(cc1)OC  5EH8_5O6
c1cc(cc(c1)COc2cccc(c2)/C=C/C(=O)O)CC(=O)O  5EHV_5ON
c1cc(c(cc1Cl)Cl)/C=C/C(=O)O  5EHW_5OO
CCCCNCc1ccc(cc1)S(=O)(=O)N  5EKH_5RD
c1cc(sc1)CC(=O)Nc2ccc(cc2F)S(=O)(=O)N  3R17_5UM
c1cc(sc1)CC(=O)Nc2ccc(cc2)S(=O)(=O)N  3R16_5UN
c1ccc2c(c1)C(=CS2(=O)=O)CNS(=O)(=O)N  5FDI_5WM
c1ccc2c(c1)c(cs2)CNS(=O)(=O)N  5FDC_5WN
c1cc2c(cc1OS(=O)(=O)N)OC(=O)C3=C2CCCCC3  1TTM_667
c1ccc(c(c1)OCc2[nH]nnn2)Cl  5FLP_6J5
CC1=CC=CC(=S)N1O  4Q7W_6MH
C/C(=CC(=O)O)/c1ccc(cc1)Cl  5FLS_6ZX
c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N  5SZ4_72D
Cc1ccccc1c2ccc(cc2)S(=O)(=O)N  5SZ5_72E
c1cc(cc(c1)c2ccc(cc2)S(=O)(=O)N)C=O  5SZ6_72G
c1ccc2c(c1)cc(cn2)c3ccc(cc3)S(=O)(=O)N  5SZ3_72H
c1ccc(cc1)C(=O)Nc2nc3cc(ccc3o2)S(=O)(=O)N  5TFX_7B1
C1=CC=C(C(=S)C=C1)O  5THN_7CZ
C1=CC(=S)N(C=C1C(F)(F)F)O  4Q8X_7FH
CC1=CC(=S)N(C(=C1)C)O  4Q81_7MH
c1cc(ccc1CSc2ccc(s2)S(=O)(=O)N)Cl  5MJN_7O8
c1ccc(cc1)[C@@H]2C(=O)NC(=O)O2  5TXY_7Q1
c1ccc(cc1)[C@@H]2C(=O)NC(=O)S2  5TYA_7QS
COc1ccc(c(c1)OC)[C@@H]2C(=O)NC(=O)O2  5TY9_7QV
COc1ccc(c(c1)OC)C[C@@H]2C(=O)NC(=S)S2  5U0F_7R1
c1ccc(cc1)C[C@@H]2C(=O)NC(=S)S2  5U0E_7R4
COc1ccc(c(c1)OC)[C@@H]2C(=O)NC(=S)O2  5U0D_7R7
CC(C)NC[C@@H](COc1ccc(cc1)S(=O)(=O)N)O  5WLT_86B
c1ccc(cc1)[C@@H]2c3cc(c(cc3CCN2C(=O)c4ccc(cc4)S(=O)(=O)N)O)O  5N0D_8F2
