c1ccc(cc1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O  3UNJ_0BX
c1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O)Cl  3UNK_0BY
C[C@@H]1C[C@H]2C[N@]1CCN3C(=O)c4cccc(c4N3)C5=Nc6c(cccc6O2)NC5=O  2DS1_1CD
COc1ccc(cc1)c2[nH]c3c(n2)c(c(cn3)Br)NCCCNC(=O)C4(CC4)CN  3ULI_1N3
c1ccnc(c1)NC(=O)Nc2cccc3c2[C@H]4CCCN4C3=O  1GII_1PU
c1ccc2cc(ccc2c1)CC(=O)Nc3cc(n[nH]3)C4CC4  1VYW_292
c1ccc(cc1)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3  1H1Q_2A6
Cc1c-2nc(c3cc(ccc3nc2nn1)[N+](=O)[O-])c4ccccc4Cl  3LE6_2BZ
COC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)c2cc(c3cc(ccc3n2)c4cccc(c4)Cl)C(=O)O  4NJ3_2KD
c1ccc(cc1)c2cc(n3c(n2)c(cn3)CO)NCc4cccnc4  2R3O_2SC
Cc1cc2c(c(c1)N3CCCS3(=O)=O)OC(=C(C2=O)O)c4ccc(c(c4)O)O  2DUV_371
CN(C)C[C@H](COc1ccc(cc1)Nc2cc(ncn2)Nc3cc(ccc3F)C(F)(F)F)O  1V1K_3FP
C[C@H](CO)Nc1c(cnc(n1)Nc2ccc(cc2)S(=O)(=O)N)Br  4BGH_3I6
COC1CCN(CC1)c2nccc(n2)Nc3cc4c(ccn4C5CCCC5)cn3  4RJ3_3QS
c1cc(c(c(c1)Cl)Cl)c2cc(n3c(n2)c(cn3)SC#N)NCc4ccncc4  2R3P_3SC
c1cc(ccc1Nc2nc3c(c(n2)OCC4CCCCC4)nc[nH]3)S(=O)(=O)N  1H1S_4SP
C[C@@H](c1ccc(cc1)N2CCNC2=O)C(=O)/N=C/3C=C(N=N3)C4CC4  2BPM_529
CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)C3CCNCC3  5D1J_56H
c1cc([nH]c1)c2cc(c3c(ccc4c3c2C(=O)N4)F)NCCN  1P2A_5BN
c1cc(c(c(c1)Cl)C(=O)c2ccc3nc(cn3c2)Nc4ccc(cc4)S(=O)(=O)N)Cl  1YKR_628
c1cc(cc(c1)Cl)Nc2nc3c(c(n2)OCC4CCCCC4)[nH]cn3  1H1R_6CP
c1cc(ccc1CC(=O)Nc2c3cc(ccc3[nH]n2)N4CCCS4(=O)=O)N5CCCCC5  2R64_740
Cc1c(cccc1O)c2[nH]c3c(n2)nc(nc3OCC4CCCCC4)N  4CFV_75X
